sample_ID_full,nanodrop_ngul,wc_country
tLIMS12651p1s81I028BS5,57.8,NA
tLIMS12651p1s82I030BS5,71.5,NA
tLIMS12651p1s83I031BS5,292.6,NA
tLIMS12651p1s84I034BS5,82.4,NA
tLIMS12651p1s85I035BS5,98.9,NA
tLIMS12651p1s86I036BS5,521.3,NA
tLIMS12651p1s87I037BS5,415.9,NA
tLIMS12651p1s88MCctrl,NA,NA
tLIMS12651p1s89MCQiactrl,NA,NA
tLIMS12651p1s8I025MS1,573.4,NA
tLIMS12651p1s90WCSctrl,0.001,India
tLIMS12651p1s9I026MS1,1956.7,NA
tLIMS12651p3s179I036MS1,456.2,NA
tLIMS12651p3s180I036BS1,151.1,NA
tLIMS12651p3s181I026MS1,1956.7,NA
tLIMS12651p3s182I020MS1,762.7,NA
tLIMS12651p3s183I020BS1,214.1,NA
tLIMS12651p3s184I018MS1,770.3,NA
tLIMS12651p3s185I018BS1,222.7,NA
tLIMS12651p3s186I014MS1,741.7,NA
tLIMS12651p3s187I030MS1,1694.3,NA
tLIMS12651p3s188I014BS1,185,NA
tLIMS12651p3s189I030BS1,88.9,NA
tLIMS12651p3s190I017BS1,81.7,NA
tLIMS12651p3s191I027MS1,763.8,NA
tLIMS12651p3s192I017MS1,132.6,NA
tLIMS12651p3s193I027BS1,49.3,NA
tLIMS12651p3s194I028MS1,1305.7,NA
tLIMS12651p3s195I024BS1,212.9,NA
tLIMS12651p3s196I024MS1,321.4,NA
tLIMS12651p3s197I028BS1,61.8,NA
tLIMS12651p3s198I036BS2,10.3,NA
tLIMS12651p3s199I026BS1,6.4,NA
tLIMS12651p3s200I021BS1,73,NA
tLIMS12651p3s201I026BS2,153.7,NA
tLIMS12651p3s202I020BS2,90.3,NA
tLIMS12651p3s203I031BS1,273.2,NA
tLIMS12651p3s204I031MS1,493.3,NA
tLIMS12651p3s205I018BS2,66.1,NA
tLIMS12651p3s206I014BS2,31.5,NA
tLIMS12651p3s207I025BS1,32.5,NA
tLIMS12651p3s208I025MS1,573.4,NA
tLIMS12651p3s209I018BS2,18,NA
tLIMS12651p3s210I034MS1,802.4,NA
tLIMS12651p3s211I030BS2,26.5,NA
tLIMS12651p3s212I034BS1,35.1,NA
tLIMS12651p3s213I037MS1,188.7,NA
tLIMS12651p3s214I037BS1,131.7,NA
tLIMS12651p3s216I036BS3,41.5,NA
tLIMS12651p3s218I017BS2,18.6,NA
tLIMS12651p3s219I027BS2,19.4,NA
tLIMS12651p3s220I026BS3,37.4,NA
tLIMS12651p3s221I020BS3,109.2,NA
tLIMS12651p3s222I028BS2,16.3,NA
tLIMS12651p3s223I024BS2,69.6,NA
tLIMS12651p3s224I014BS3,66.3,NA
tLIMS12651p3s225I021BS2,32.8,NA
tLIMS12651p3s226I018BS3,17.6,NA
tLIMS12651p3s227I035MS1,1091.4,NA
tLIMS12651p3s228I035BS1,240.4,NA
tLIMS12651p3s229I030BS3,198.9,NA
tLIMS12651p3s230I017BS3,8.8,NA
tLIMS12651p3s231I031BS2,19.7,NA
tLIMS12651p3s232I027BS3,94.6,NA
tLIMS12651p3s233I025BS2,8.1,NA
tLIMS12651p3s234I034BS2,21.1,NA
tLIMS12651p3s235I024BS3,66.6,NA
tLIMS12651p3s236I028BS3,85.4,NA
tLIMS12651p3s237I037BS2,68,NA
tLIMS12651p3s238I021BS3,107.6,NA
tLIMS12651p3s240I031BS3,33.6,NA
tLIMS12651p3s241I020BS5,159.7,NA
tLIMS12651p3s242I034BS3,37.1,NA
tLIMS12651p3s243I025BS3,61.8,NA
