sample_ID_full,input,filtered,denoised,merged,nonchimeric
tLIMS12651p1s56I017BS3,398050,318418,318418,312977,266165
tLIMS12651p1s57I018BS3,376710,292998,292998,279426,234682
tLIMS12651p1s58I020BS3,797685,641396,641396,631081,506316
tLIMS12651p1s59I021BS3,317526,248277,248277,245185,220429
tLIMS12651p1s5I020MS1,571581,423248,423248,385876,267583
tLIMS12651p1s60I024BS3,384444,304762,304762,302266,281164
tLIMS12651p1s61I025BS3,287424,228978,228978,223237,176702
tLIMS12651p1s62I026BS3,327919,263078,263078,260575,247292
tLIMS12651p1s63I027BS3,316568,260112,260112,259444,244078
tLIMS12651p1s64I028BS3,509981,400944,400944,397675,349342
tLIMS12651p1s65I030BS3,121251,94359,94359,90584,69015
tLIMS12651p1s66I031BS3,244631,189592,189592,186597,173677
tLIMS12651p1s68I034BS3,326464,257829,257829,256145,247457
tLIMS12651p1s69I035BS3,452099,364062,364062,362979,342459
tLIMS12651p1s6I021MS1,264628,197113,197113,175425,125401
tLIMS12651p1s70I036BS3,545932,446165,446165,443679,405867
tLIMS12651p1s71I037BS3,501308,388356,388356,383082,326116
tLIMS12651p1s72I014BS5,429531,346479,346479,340979,303640
tLIMS12651p1s73I017BS5,507534,419940,419940,414119,363033
tLIMS12651p1s74I018BS5,343499,282249,282249,278298,244830
tLIMS12651p1s75I020BS5,473513,384239,384239,378980,342354
tLIMS12651p1s76I021BS5,518537,415205,415205,412678,400010
tLIMS12651p1s77I024BS5,2206723,1820024,1820024,1807937,1660984
tLIMS12651p1s78I025BS5,351151,284927,284927,276027,230291
tLIMS12651p1s79I026BS5,1930897,1587869,1587869,1573616,1369375
tLIMS12651p1s7I024MS1,305023,235053,235053,213630,166879
tLIMS12651p1s80I027BS5,640012,522342,522342,512975,432357
tLIMS12651p1s81I028BS5,269706,216326,216326,214393,202616
tLIMS12651p1s82I030BS5,357093,297167,297167,289839,239523
tLIMS12651p1s83I031BS5,358143,286919,286919,280024,232774
tLIMS12651p1s84I034BS5,312215,247696,247696,241752,202936
tLIMS12651p1s85I035BS5,610,387,387,327,316
tLIMS12651p1s86I036BS5,347014,264869,264869,252539,185109
tLIMS12651p1s87I037BS5,316704,238250,238250,234854,203627
tLIMS12651p1s88MCctrl,337963,274233,274233,268088,222080
tLIMS12651p1s89MCQiactrl,132474,108572,108572,108399,108342
tLIMS12651p1s8I025MS1,224281,165417,165417,147573,112681
tLIMS12651p1s90WCSctrl,100566,81168,81168,80456,80073
tLIMS12651p1s9I026MS1,286300,211786,211786,192660,143513
tLIMS12651p3s179I036MS1,235461,173610,173610,153865,110906
tLIMS12651p3s180I036BS1,261079,205685,205685,202842,156382
tLIMS12651p3s181I026MS1,97461,71961,71961,63593,50607
tLIMS12651p3s182I020MS1,107786,78149,78149,67311,51252
tLIMS12651p3s183I020BS1,203181,158000,158000,155081,132300
tLIMS12651p3s184I018MS1,301375,227372,227372,220865,183615
tLIMS12651p3s185I018BS1,211094,169582,169582,163819,144521
tLIMS12651p3s186I014MS1,171286,127527,127527,119602,97349
tLIMS12651p3s187I030MS1,189868,154091,154091,148189,126387
tLIMS12651p3s188I014BS1,191036,152176,152176,148818,122378
tLIMS12651p3s189I030BS1,214078,172848,172848,168813,127658
tLIMS12651p3s190I017BS1,215752,172706,172706,169662,151272
tLIMS12651p3s191I027MS1,216846,160074,160074,147604,113298
tLIMS12651p3s192I017MS1,299526,220459,220459,196395,150159
tLIMS12651p3s193I027BS1,93218,72325,72325,70947,64118
tLIMS12651p3s194I028MS1,227113,168209,168209,157115,129106
tLIMS12651p3s195I024BS1,185432,147203,147203,145432,129683
tLIMS12651p3s196I024MS1,186986,142402,142402,127610,101906
tLIMS12651p3s197I028BS1,215989,170132,170132,168927,143798
tLIMS12651p3s198I036BS2,185596,151610,151610,150515,142019
tLIMS12651p3s199I026BS1,214203,173961,173961,172549,165376
tLIMS12651p3s200I021BS1,1218723,990170,990170,978969,859241
tLIMS12651p3s201I026BS2,223057,187308,187308,186664,181500
tLIMS12651p3s202I020BS2,222874,172726,172726,168061,122373
tLIMS12651p3s203I031BS1,301852,231845,231845,230119,204994
tLIMS12651p3s204I031MS1,196807,147117,147117,126056,89900
tLIMS12651p3s205I018BS2,236511,181220,181220,172660,149699
tLIMS12651p3s206I014BS2,233009,186657,186657,185166,179052
tLIMS12651p3s207I025BS1,183426,145115,145115,143665,129257
tLIMS12651p3s208I025MS1,148625,110722,110722,100789,85830
tLIMS12651p3s209I018BS2,229207,179929,179929,173078,151942
tLIMS12651p3s210I034MS1,586736,457590,457590,434735,332160
tLIMS12651p3s211I030BS2,172182,136706,136706,135775,135675
tLIMS12651p3s212I034BS1,214399,166942,166942,165352,155793
tLIMS12651p3s213I037MS1,218022,167086,167086,157063,129142
tLIMS12651p3s214I037BS1,5621410,4522561,4522561,4453866,3919893
tLIMS12651p3s216I036BS3,250730,203153,203153,201950,189237
tLIMS12651p3s218I017BS2,208466,169239,169239,168341,164555
tLIMS12651p3s219I027BS2,189244,146609,146609,145530,140398
tLIMS12651p3s220I026BS3,186210,145910,145910,144414,137400
tLIMS12651p3s221I020BS3,481248,383070,383070,375661,295855
tLIMS12651p3s222I028BS2,211214,166735,166735,164959,155045
tLIMS12651p3s223I024BS2,1167258,905283,905283,898281,828715
tLIMS12651p3s224I014BS3,241225,192957,192957,191281,181985
tLIMS12651p3s225I021BS2,250784,204017,204017,201701,188363
tLIMS12651p3s226I018BS3,243082,190395,190395,182370,155919
tLIMS12651p3s227I035MS1,180710,138707,138707,129550,105633
tLIMS12651p3s228I035BS1,263408,213576,213576,206430,162186
tLIMS12651p3s229I030BS3,239226,190085,190085,182609,139026
tLIMS12651p3s230I017BS3,254761,206947,206947,203931,177684
tLIMS12651p3s231I031BS2,234346,188501,188501,186973,167688
tLIMS12651p3s232I027BS3,219308,186411,186411,186066,178558
tLIMS12651p3s233I025BS2,296182,243677,243677,241632,231865
tLIMS12651p3s234I034BS2,219719,175592,175592,174816,167559
tLIMS12651p3s235I024BS3,98140,79614,79614,79018,77628
tLIMS12651p3s236I028BS3,233768,188182,188182,186512,165046
tLIMS12651p3s237I037BS2,223805,173780,173780,172067,159068
tLIMS12651p3s238I021BS3,218664,175453,175453,173431,161234
tLIMS12651p3s240I031BS3,302225,235921,235921,231734,217689
tLIMS12651p3s241I020BS5,233837,193518,193518,191252,178043
tLIMS12651p3s242I034BS3,183872,146371,146371,145409,141109
tLIMS12651p3s243I025BS3,204108,165997,165997,162525,138952
tLIMS12651p3s244I036BS5,253871,192506,192506,184427,141125
tLIMS12651p3s245I026BS5,321471,265576,265576,262470,231896
tLIMS12651p3s246I037BS3,227104,173554,173554,171933,161065
tLIMS12651p3s248I035BS2,377102,303300,303300,301884,293470
tLIMS12651p3s249I018BS5,277881,226411,226411,222146,194875
tLIMS12651p3s250I014BS5,477606,379302,379302,373740,324657
tLIMS12651p3s251I030BS5,216587,180575,180575,177269,161115
tLIMS12651p3s252I017BS5,290808,237128,237128,233455,197692
tLIMS12651p3s253I027BS5,196727,159435,159435,157054,136642
tLIMS12651p3s254I024BS5,211749,173559,173559,171950,158330
tLIMS12651p3s255I035BS3,211644,173997,173997,173475,166285
tLIMS12651p3s256I028BS5,85923,69639,69639,68925,65357
tLIMS12651p3s257I021BS5,222490,179325,179325,178491,176271
tLIMS12651p3s258I031BS5,192117,150158,150158,146723,135300
tLIMS12651p3s259I034BS5,88210,69817,69817,68780,64088
tLIMS12651p3s260I025BS5,287892,232505,232505,225848,191729
tLIMS12651p3s263I034BS5,197474,158128,158128,155034,135194
tLIMS12651p3s264BSctrl,226816,188460,188460,187628,182445
tLIMS12651p3s265MCctrl,200207,163563,163563,160093,141900
tLIMS12651p3s266MCQiactrl,131764,109034,109034,108943,108889
