"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Enhydrobacter",0.0354158374309124,0.0667547328025721,"Enhydrobacter","Enhydrobacter",3,1,16,0.1875,0.0625,2e-04,0.000631442792341476,11,2,27,0.407407407407407,0.0740740740740741,0.000362962962962963,0.00116771576762503,0.186471550437391,1,0.828527131782946,0,1,0,-0.219907407407407,-0.0115740740740741,FALSE,FALSE,26,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Pseudomonas",0.0324712649849083,0.0604711091813506,"Pseudomonas","Pseudomonas",3,1,16,0.1875,0.0625,0.00017,0.000578088805173277,3,0,27,0.111111111111111,0,1.33333333333333e-05,4.83576419861591e-05,0.654553286221794,0.372093023255814,1,0,0.705018359853121,0,0.0763888888888889,0.0625,TRUE,TRUE,27,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Libanicoccus",0.0293621755835209,0.0550832270571034,"Libanicoccus","Libanicoccus",4,2,16,0.25,0.125,0.008255,0.0229570816960693,5,4,27,0.185185185185185,0.148148148148148,0.00792148148148148,0.0279208540347263,0.70604870625768,1,1,0,1,0,0.0648148148148148,-0.0231481481481481,TRUE,FALSE,28,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Prevotella_2",0.028378026076463,0.0533959557674234,"Prevotella_2","Prevotella_2",4,3,16,0.25,0.1875,0.010465,0.0358451927041828,0,0,27,0,0,0,0,0.0147475893363585,0.045377197958026,0.828527131782946,0,0.705018359853121,0,0.25,0.1875,TRUE,TRUE,29,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Prevotella",0.0259705795153749,0.0490364687003641,"Prevotella","Prevotella",5,2,16,0.3125,0.125,0.0018375,0.00490932106643407,11,2,27,0.407407407407407,0.0740740740740741,0.000404444444444444,0.00132884372332703,0.745240128420325,0.620776274207925,1,0,0.914920995057126,0,-0.0949074074074074,0.0509259259259259,FALSE,TRUE,30,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Atopobium",0.0254526656737866,0.0510500677164724,"Atopobium","Atopobium",5,1,16,0.3125,0.0625,0.000245,0.000798648859011268,10,3,27,0.37037037037037,0.111111111111111,0.000945185185185185,0.00340712643459419,0.75231679151976,1,1,0,1,0,-0.0578703703703703,-0.0486111111111111,FALSE,FALSE,31,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Brevundimonas",0.0253758743151427,0.0556544591579958,"Brevundimonas","Brevundimonas",0,0,16,0,0,0,0,6,0,27,0.222222222222222,0,5.77777777777778e-05,0.000170549639363968,0.0692130212087223,1,0.828527131782946,0,NA,NA,-0.222222222222222,0,FALSE,FALSE,32,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Dolosigranulum",0.0245765293999829,0.0459759842875635,"Dolosigranulum","Dolosigranulum",5,0,16,0.3125,0,4.25e-05,9.29157324317757e-05,12,1,27,0.444444444444444,0.037037037037037,9.77777777777778e-05,0.000212337418951958,0.522953256344552,1,0.901025399517506,0,NA,NA,-0.131944444444444,-0.037037037037037,FALSE,FALSE,33,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Holdemanella",0.0242019976315001,0.0475310480420182,"Holdemanella","Holdemanella",5,2,16,0.3125,0.125,0.0007325,0.00227007048348724,3,2,27,0.111111111111111,0.0740740740740741,0.000204444444444444,0.000690001858042835,0.125020473797976,0.620776274207925,0.828527131782946,0,0.914920995057126,0,0.201388888888889,0.0509259259259259,TRUE,TRUE,34,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Chryseobacterium",0.0233013379340938,0.0474921426771334,"Chryseobacterium","Chryseobacterium",4,1,16,0.25,0.0625,0.0007475,0.00287335228145338,4,0,27,0.148148148148148,0,4.14814814814815e-05,0.00014314338437395,0.44327406488197,0.372093023255814,0.901025399517506,0,0.705018359853121,0,0.101851851851852,0.0625,TRUE,TRUE,35,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Negativicoccus",0.0229650140354172,0.0410720244185197,"Negativicoccus","Negativicoccus",4,3,16,0.25,0.1875,0.0024725,0.00727421335953242,5,1,27,0.185185185185185,0.037037037037037,0.000228148148148148,0.00105181541608576,0.70604870625768,0.137266023823029,1,0,0.705018359853121,0,0.0648148148148148,0.150462962962963,TRUE,TRUE,36,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Clostridium_sensu_stricto_1",0.0226070690300601,0.0484491313725393,"Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1",3,0,16,0.1875,0,5e-05,0.000123504385887034,5,3,27,0.185185185185185,0.111111111111111,0.0250459259259259,0.0909652171588873,1,0.282392026578073,1,0,0.705018359853121,0,0.00231481481481483,-0.111111111111111,TRUE,FALSE,37,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Enterobacter",0.0216833728328906,0.0411320020770877,"Enterobacter","Enterobacter",3,1,16,0.1875,0.0625,0.00028,0.000970058417484913,6,0,27,0.222222222222222,0,4.59259259259259e-05,9.90438620495314e-05,1,0.372093023255814,1,0,0.705018359853121,0,-0.0347222222222222,0.0625,FALSE,TRUE,38,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Brachybacterium",0.0215505930449295,0.0442224728922725,"Brachybacterium","Brachybacterium",3,0,16,0.1875,0,3e-05,7.08048962525427e-05,7,1,27,0.259259259259259,0.037037037037037,0.000284444444444444,0.00117294282545863,0.719017145687488,1,1,0,NA,NA,-0.0717592592592592,-0.037037037037037,FALSE,FALSE,39,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Granulicatella",0.0212728170562357,0.0433989228762127,"Granulicatella","Granulicatella",0,0,16,0,0,0,0,7,2,27,0.259259259259259,0.0740740740740741,0.000327407407407407,0.000944101496306216,0.0346227052200722,0.521594684385382,0.828527131782946,0,0.891706138444652,0,-0.259259259259259,-0.0740740740740741,FALSE,FALSE,40,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Mitsuokella",0.0207723858664738,0.0434777945430606,"Mitsuokella","Mitsuokella",2,1,16,0.125,0.0625,7.5e-05,0.000289505325224482,4,4,27,0.148148148148148,0.148148148148148,0.00188444444444444,0.00685142844922661,1,0.635361802123005,1,0,0.914920995057126,0,-0.0231481481481481,-0.0856481481481481,FALSE,FALSE,41,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Bilophila",0.0197127706737672,0.0369500207214179,"Bilophila","Bilophila",5,4,16,0.3125,0.25,0.00334,0.00766261922147599,3,3,27,0.111111111111111,0.111111111111111,0.00054962962962963,0.00175483832584587,0.125020473797976,0.394379004493343,0.828527131782946,0,0.72808431598771,0,0.201388888888889,0.138888888888889,TRUE,TRUE,42,0,16,"ns","ns",0.603333333333333,0.167908603725967
