"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n","module"
"B6.F5",0.0166,0.0166,93,0.1379,0.109355399872192,23,"module4_unexposed"
"B7.F1",0.0082,0.0082,93,0.016,0.0539419375736511,23,"module4_unexposed"
"B7.F2",0.0094,0.0094,92,0.0887,0.0639080525962184,24,"module4_unexposed"
"B7.F3",0.0991,0.0991,93,0.0895,0.110123404940123,23,"module4_unexposed"
"B7.F4",0.0141,0.0141,93,0.1173,0.0513061088717567,23,"module4_unexposed"
"B7.F5",0.0105,0.0105,93,0.1606,0.158183248976088,23,"module4_unexposed"
"B8.F1",0.0194,0.0194,93,0.1896,0.246056468716861,23,"module4_unexposed"
"B8.F2",3e-04,3e-04,93,0.0094,0.00813789081052508,23,"module4_unexposed"
"B8.F3",1e-04,1e-04,92,0.0054,0.0126933638443936,24,"module4_unexposed"
"B8.F4",0.0035,0.0035,93,0.001,0.0223075568426408,23,"module4_unexposed"
"B8.F5",0.0012,0.0012,93,0.0037,0.00821546604597854,23,"module4_unexposed"
"B9.F1",0.0043,0.0043,93,0.0145,0.00137476300652335,23,"module4_unexposed"
"B9.F2",5e-04,5e-04,92,1e-04,0.00017162471395881,24,"module4_unexposed"
"B9.F3",0,0,93,0.0038,0.00798797661593808,23,"module4_unexposed"
"B9.F4",0.0018,0.0018,93,0,0.010009969737529,23,"module4_unexposed"
"B9.F5",0.0036,0.0036,93,0.0143,0.00848703345357203,23,"module4_unexposed"
"B10.F1",0.0071,0.0071,92,0.0505,0.0435705568268497,24,"module4_unexposed"
"B10.F2",0.0052,0.0052,93,0.0042,0.00173960379635985,23,"module4_unexposed"
"B10.F3",0.0109,0.0109,93,0.1751,0.164994674265774,23,"module4_unexposed"
"B10.F4",0.018,0.018,93,0.0204,0.0087137977010406,23,"module4_unexposed"
"B10.F5",0.0034,0.0034,93,0.0327,0.0723318686192699,23,"module4_unexposed"
"B11.F1",0.0055,0.0055,92,0.1153,0.144036643250427,24,"module4_unexposed"
"B11.F2",0.0056,0.0056,93,0.0119,0.00966545170528508,23,"module4_unexposed"
"B11.F3",0.003,0.003,93,0.0177,0.0182401994430112,23,"module4_unexposed"
"B11.F4",0.0048,0.0048,93,2e-04,0.000985906676443761,23,"module4_unexposed"
"B11.F5",0.0017,0.0017,93,0,0.000394467981033979,23,"module4_unexposed"
"B12.F1",0.0101,0.0101,93,0.0139,0.0190958252705371,23,"module4_unexposed"
"B12.F2",0.0028,0.0028,93,1e-04,0.00235603738259064,23,"module4_unexposed"
"B12.F3",0.0079,0.0079,93,0.0515,0.039446798103398,23,"module4_unexposed"
"B12.F4",0.0062,0.0062,92,8e-04,0.0115400457665904,24,"module4_unexposed"
"B12.F5",8e-04,8e-04,93,0.0973,0.180532793470227,23,"module4_unexposed"
"B13.F1",0.0135,0.0135,92,6e-04,0.0227154237450811,24,"module4_unexposed"
"B13.F2",0.0012,0.0012,93,0.006,0.0229562991711329,23,"module4_unexposed"
"B13.F3",0.0307,0.0307,93,0.1994,0.265256512464505,23,"module4_unexposed"
"B13.F4",0.0065,0.0065,93,0.0672,0.0382757947333095,23,"module4_unexposed"
"B13.F5",0.001,0.001,93,0.0214,0.0390743271502035,23,"module4_unexposed"
"B14.F1",0.0058,0.0058,93,0.0088,0.00894945853334956,23,"module4_unexposed"
"B14.F2",3e-04,3e-04,92,0.0128,0.0169588761575891,24,"module4_unexposed"
"B14.F3",0.0047,0.0047,93,0.0626,0.0770911743370354,23,"module4_unexposed"
"B14.F4",0.0081,0.0081,93,0.0014,0.0106664142071588,23,"module4_unexposed"
"B14.F5",0.0148,0.0148,93,0.0354,0.0581324501242013,23,"module4_unexposed"
"B15.F1",0.0098,0.0098,93,0.1546,0.0998553603039592,23,"module4_unexposed"
"B15.F2",0.0042,0.0042,93,0.0302,0.037975912975913,23,"module4_unexposed"
"B15.F3",0.0013,0.0013,92,0.0118,0.0133786351857184,24,"module4_unexposed"
"B15.F4",0.0062,0.0062,93,0.0016,0.00580068876452863,23,"module4_unexposed"
"B15.F5",0.0042,0.0042,93,0.0245,0.0461433635986066,23,"module4_unexposed"
"B16.F1",0.0122,0.0122,93,1e-04,9.03788682155596e-06,23,"module4_unexposed"
"B16.F2",0.0434,0.0434,93,0.169,0.223721841961503,23,"module4_unexposed"
"B16.F3",3e-04,3e-04,93,0.0731,0.0880204674001358,23,"module4_unexposed"
"B16.F4",0.0048,0.0048,93,0,0.00280864972857978,23,"module4_unexposed"
"B16.F5",2e-04,2e-04,92,0.0254,0.0418307832146644,24,"module4_unexposed"
"B17.F1",0,0,93,0.0201,0.0434900949089962,23,"module4_unexposed"
"B17.F2",0,0,92,6e-04,1.53787734953484e-05,24,"module4_unexposed"
"B17.F3",0.0015,0.0015,93,0,0.00019328931070665,23,"module4_unexposed"
"B17.F4",0.0066,0.0066,93,0.0011,3.94467981033979e-06,23,"module4_unexposed"
"B17.F5",6e-04,6e-04,93,0.1022,0.171123988259538,23,"module4_unexposed"
"B18.F1",0.0023,0.0023,93,0.0033,0.0602776840515441,23,"module4_unexposed"
"B18.F2",0.0015,0.0015,93,1e-04,0.00019328931070665,23,"module4_unexposed"
"B18.F3",0.0211,0.0211,93,0.0569,0.0499706492388369,23,"module4_unexposed"
"B18.F4",0.0029,0.0029,93,0.0035,0.000119326564262779,23,"module4_unexposed"
"B18.F5",0.0027,0.0027,92,0.0013,0.0320556826849733,24,"module4_unexposed"
"B19.F1",0.0192,0.0192,93,0.004,0.000835623597771935,23,"module4_unexposed"
"B19.F2",0.0046,0.0046,93,0.0206,0.0472976970959267,23,"module4_unexposed"
"B19.F3",3e-04,3e-04,92,0.0179,0.00980439581533736,24,"module4_unexposed"
"B19.F4",0.0303,0.0303,93,0.0202,0.0173126106629943,23,"module4_unexposed"
"B19.F5",0.0015,0.0015,93,0.055,0.0211204419371108,23,"module4_unexposed"
"B20.F1",0.0288,0.0288,93,0.2833,0.30705782111666,23,"module4_unexposed"
"B20.F2",0.0236,0.0236,92,1e-04,1.89861401177141e-05,24,"module4_unexposed"
"B20.F3",9e-04,9e-04,93,0.0014,0.0026454819394983,23,"module4_unexposed"
"B20.F4",0.0071,0.0071,93,0.0067,0.00121716873635032,23,"module4_unexposed"
"B20.F5",8e-04,8e-04,93,1e-04,0.00386018188245124,23,"module4_unexposed"
