"","Estimate","Std.Error","pvalue","padj","method","genus","signif","pscale","n_tested","failed_convergence","nsamples_country1","nsamples_country2","ninfants_country1","ninfants_country2","comparison"
"Qipengyuania",-5.341,1.075,1e-06,4.46153846153846e-06,"zinb","Qipengyuania","IND",5.3505153587439,58,0,753,128,302,51,"IND-UK"
"Brevibacterium",-1.777,0.415,2.4e-05,6.96e-05,"zinb","Brevibacterium","IND",4.15739076038944,58,0,753,128,302,51,"IND-UK"
"Ornithinimicrobium",-3.143,1.057,0.0031,0.0062,"zinb","Ornithinimicrobium","IND",2.20760831050175,58,0,753,128,302,51,"IND-UK"
"Deinococcus",-49.739,56876032.419,1,1,"zinb","Deinococcus","ns",0,58,0,753,128,302,51,"IND-UK"
"unassigned",0.16,0.537,0.77,0.853584905660377,"zinb","unassigned","ns",0.0687532733473714,58,0,753,128,302,51,"IND-UK"
"Sphingomonas",-1.19,0.255,4.3e-06,1.55875e-05,"zinb","Sphingomonas","IND",4.8072235335134,58,0,753,128,302,51,"IND-UK"
"Bifidobacterium1",0.03,0.127,0.81,0.8859375,"zinb","Bifidobacterium","ns",0.0525969150909806,70,0,753,243,302,108,"IND-MLW"
"Streptococcus1",0.149,0.06,0.014,0.0233333333333333,"nb","Streptococcus","MLW",1.63202321470541,70,0,753,243,302,108,"IND-MLW"
"Staphylococcus1",-0.323,0.084,0.00015,0.00042,"nb","Staphylococcus","IND",3.3767507096021,70,0,753,243,302,108,"IND-MLW"
"Bacteroides1",1.91,0.681,0.0053,0.010027027027027,"zinb","Bacteroides","MLW",1.99882781445195,70,0,753,243,302,108,"IND-MLW"
"Veillonella1",0.153,0.14,0.27,0.370588235294118,"zinb","Veillonella","ns",0.431108371924692,70,0,753,243,302,108,"IND-MLW"
"Lactobacillus1",0.146,0.195,0.45,0.572727272727273,"zinb","Lactobacillus","ns",0.242052135704643,70,0,753,243,302,108,"IND-MLW"
"Collinsella1",0.373,0.174,0.033,0.0513333333333333,"zinb","Collinsella","ns",1.2896005338832,70,0,753,243,302,108,"IND-MLW"
"Haemophilus1",0.001,0.205,1,1,"zinb","Haemophilus","ns",0,70,0,753,243,302,108,"IND-MLW"
"Klebsiella1",0.42,0.19,0.027,0.0429545454545455,"zinb","Klebsiella","MLW",1.36699087231294,70,0,753,243,302,108,"IND-MLW"
"Enterococcus1",-0.725,0.21,0.00063,0.00142258064516129,"zinb","Enterococcus","IND",2.84692310436643,70,0,753,243,302,108,"IND-MLW"
"Rothia1",0.055,0.114,0.63,0.711290322580645,"zinb","Rothia","ns",0.147953100030415,70,0,753,243,302,108,"IND-MLW"
"unassigned_Lachnospiraceae",1.651,0.252,1.6e-10,1.01818181818182e-09,"zinb","unassigned_Lachnospiraceae","MLW",8.99217466248804,70,0,753,243,302,108,"IND-MLW"
"Gemella1",-0.067,0.131,0.61,0.711290322580645,"zinb","Gemella","ns",0.147953100030415,70,0,753,243,302,108,"IND-MLW"
"Bacillus1",-0.039,0.232,0.87,0.922727272727273,"zinb","Bacillus","ns",0.0349266429089933,70,0,753,243,302,108,"IND-MLW"
"Prevotella_9",1.589,0.262,3.2e-09,1.72307692307692e-08,"zinb","Prevotella_9","MLW",7.76369533397267,70,0,753,243,302,108,"IND-MLW"
"Pseudomonas1",-0.595,0.137,1.9e-05,6.65e-05,"zinb","Pseudomonas","IND",4.1771783546969,70,0,753,243,302,108,"IND-MLW"
"Cutibacterium1",-0.47,0.131,0.00036,9e-04,"zinb","Cutibacterium","IND",3.04575749056068,70,0,753,243,302,108,"IND-MLW"
"Enterobacter1",0.334,0.204,0.1,0.145833333333333,"zinb","Enterobacter","ns",0.83614319736133,70,0,753,243,302,108,"IND-MLW"
"Acinetobacter1",-0.491,0.109,9.2e-06,3.38947368421053e-05,"zinb","Acinetobacter","IND",4.46986773359302,70,0,753,243,302,108,"IND-MLW"
