"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Cloacibacterium",0.578,0.233,0.014,0.1855,"zinb","Cloacibacterium","ns",0.731656086048935,53,0,"dose1_shedding",0.270793036750484,0.00270949130493084
"Rheinheimera",0.328,0.254,0.2,0.55304347826087,"zinb","Rheinheimera","ns",0.257240724705198,53,0,"dose1_shedding",0.321083172147002,0.00277621189448125
"Exiguobacterium",-0.001,0.217,1,1,"zinb","Exiguobacterium","ns",0,53,0,"dose1_shedding",0.361702127659574,0.00349178077232605
"Alishewanella",0.391,0.223,0.081,0.407692307692308,"zinb","Alishewanella","ns",0.389667482706048,53,0,"dose1_shedding",0.379110251450677,0.00401565798679882
"Brachybacterium",0.111,0.204,0.58,0.935294117647059,"zinb","Brachybacterium","ns",0.0290517970578224,53,0,"dose1_shedding",0.398452611218569,0.00272599188937736
"Rubellimicrobium",0.341,0.223,0.13,0.459333333333333,"zinb","Rubellimicrobium","ns",0.337872037148055,53,0,"dose1_shedding",0.346228239845261,0.00289182290138254
"Brevundimonas",0.317,0.234,0.18,0.53,"zinb","Brevundimonas","ns",0.275724130399211,53,0,"dose1_shedding",0.294003868471954,0.00254600734415421
"Stenotrophomonas",-0.114,0.218,0.6,0.935294117647059,"zinb","Stenotrophomonas","ns",0.0290517970578224,53,0,"dose1_shedding",0.257253384912959,0.0016615944266071
"Geobacillus",0.228,0.279,0.41,0.724333333333333,"zinb","Geobacillus","ns",0.140061528399138,53,0,"dose1_shedding",0.241779497098646,0.00235524568974552
"Bergeyella",0.243,0.224,0.28,0.5936,"zinb","Bergeyella","ns",0.226506107729029,53,0,"dose1_shedding",0.230174081237911,0.00133978967307838
"Moraxella",0.16,0.242,0.51,0.871935483870968,"zinb","Moraxella","ns",0.0595156481355473,53,0,"dose1_shedding",0.261121856866538,0.00253014455652402
"Saccharopolyspora",0.483,0.221,0.029,0.256166666666667,"zinb","Saccharopolyspora","ns",0.591477382883898,53,0,"dose1_shedding",0.311411992263056,0.00197653519193035
"Anaerococcus",-0.075,0.24,0.75,0.939545454545455,"zinb","Anaerococcus","ns",0.027082204194918,53,0,"dose1_shedding",0.303675048355899,0.00295821755864749
"Comamonas",0.429,0.209,0.041,0.310428571428571,"zinb","Comamonas","ns",0.508038313693732,53,0,"dose1_shedding",0.359767891682785,0.00248921658319382
"Massilia",1.124,0.278,6.8e-05,0.003604,"zinb","Massilia","positively correlated",2.44321521769297,53,0,"dose1_shedding",0.212765957446809,0.00247364530129756
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.052,0.39,0.89,0.945686274509804,"zinb","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ns",0.0242529141760537,53,0,"dose1_shedding",0.261121856866538,0.0020294198516168
"Qipengyuania",0.408,0.255,0.11,0.416428571428571,"zinb","Qipengyuania","ns",0.380459480919224,53,0,"dose1_shedding",0.234042553191489,0.0016229910350929
"Brevibacterium",0.317,0.255,0.21,0.55304347826087,"zinb","Brevibacterium","ns",0.257240724705198,53,0,"dose1_shedding",0.224371373307544,0.00112898659998366
"Ornithinimicrobium",0.281,0.21,0.18,0.53,"zinb","Ornithinimicrobium","ns",0.275724130399211,53,0,"dose1_shedding",0.346228239845261,0.0014919078384823
"Deinococcus",0.298,0.243,0.22,0.55304347826087,"zinb","Deinococcus","ns",0.257240724705198,53,0,"dose1_shedding",0.251450676982592,0.00152828023015042
"unassigned",0.066,0.459,0.89,0.945686274509804,"zinb","unassigned","ns",0.0242529141760537,53,0,"dose1_shedding",0.309477756286267,0.000330292260743392
"Sphingomonas",0.233,0.2,0.24,0.55304347826087,"zinb","Sphingomonas","ns",0.257240724705198,53,0,"dose1_shedding",0.421663442940039,0.00316943290121449
