"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Aerococcus",0.076,0.409,0.85,0.918333333333333,"zinb","Aerococcus","ns",0.0369996515318586,57,0,"dose1_shedding",0.256317689530686,0.0011993629337864
"Shewanella",-0.156,0.434,0.72,0.909574468085106,"zinb","Shewanella","ns",0.041161738871526,57,0,"dose1_shedding",0.259927797833935,0.00281920469690338
"Chryseobacterium",-0.232,0.393,0.55,0.78375,"zinb","Chryseobacterium","ns",0.105822446161227,57,0,"dose1_shedding",0.270758122743682,0.00132600511496484
"Cloacibacterium",0.301,0.34,0.38,0.741,"zinb","Cloacibacterium","ns",0.130181792020672,57,0,"dose1_shedding",0.288808664259928,0.00271762609321979
"Rheinheimera",0.24,0.33,0.47,0.765,"zinb","Rheinheimera","ns",0.116338564846382,57,0,"dose1_shedding",0.350180505415162,0.00257182069200845
"Exiguobacterium",-0.664,0.439,0.13,0.722,"zinb","Exiguobacterium","ns",0.141462802430361,57,0,"dose1_shedding",0.364620938628159,0.00406399106859214
"Actinomyces",0.651,0.489,0.19,0.722,"zinb","Actinomyces","ns",0.141462802430361,57,0,"dose1_shedding",0.205776173285199,0.00295719915415321
"Alishewanella",0.518,0.326,0.11,0.722,"zinb","Alishewanella","ns",0.141462802430361,57,0,"dose1_shedding",0.418772563176895,0.00401945191047991
"Brachybacterium",0.065,0.323,0.84,0.918333333333333,"zinb","Brachybacterium","ns",0.0369996515318586,57,0,"dose1_shedding",0.40072202166065,0.00221573575430177
"Rubellimicrobium",0.435,0.343,0.21,0.741,"zinb","Rubellimicrobium","ns",0.130181792020672,57,0,"dose1_shedding",0.350180505415162,0.00221374783938714
"Brevundimonas",0.131,0.417,0.75,0.909574468085106,"zinb","Brevundimonas","ns",0.041161738871526,57,0,"dose1_shedding",0.296028880866426,0.00292906231297644
"Stenotrophomonas",-0.076,0.373,0.84,0.918333333333333,"zinb","Stenotrophomonas","ns",0.0369996515318586,57,0,"dose1_shedding",0.288808664259928,0.00164144892365441
"Geobacillus",0.303,0.392,0.44,0.765,"zinb","Geobacillus","ns",0.116338564846382,57,0,"dose1_shedding",0.259927797833935,0.00214576679297078
"Bergeyella",0.262,0.398,0.51,0.765,"zinb","Bergeyella","ns",0.116338564846382,57,0,"dose1_shedding",0.23826714801444,0.00164680759932367
"Moraxella",-0.64,0.406,0.12,0.722,"zinb","Moraxella","ns",0.141462802430361,57,0,"dose1_shedding",0.252707581227437,0.00175455723735522
"Neisseria",0.568,0.411,0.17,0.722,"zinb","Neisseria","ns",0.141462802430361,57,0,"dose1_shedding",0.220216606498195,0.00176452707577795
"Saccharopolyspora",0.143,0.351,0.68,0.901395348837209,"zinb","Saccharopolyspora","ns",0.0450846872008588,57,0,"dose1_shedding",0.317689530685921,0.00180708607384357
"Anaerococcus",-0.398,0.4,0.32,0.741,"zinb","Anaerococcus","ns",0.130181792020672,57,0,"dose1_shedding",0.314079422382672,0.00282249137222851
"Comamonas",0.483,0.328,0.14,0.722,"zinb","Comamonas","ns",0.141462802430361,57,0,"dose1_shedding",0.386281588447653,0.00256023152388975
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.266,0.378,0.48,0.765,"zinb","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ns",0.116338564846382,57,0,"dose1_shedding",0.292418772563177,0.00152576099270109
"Kytococcus",0.08,0.43,0.85,0.918333333333333,"zinb","Kytococcus","ns",0.0369996515318586,57,0,"dose1_shedding",0.220216606498195,0.00153792777170643
"Qipengyuania",0.209,0.377,0.58,0.806341463414634,"zinb","Qipengyuania","ns",0.0934810074843068,57,0,"dose1_shedding",0.24187725631769,0.0017979067401873
"Brevibacterium",0.27,0.398,0.5,0.765,"zinb","Brevibacterium","ns",0.116338564846382,57,0,"dose1_shedding",0.223826714801444,0.000989117716313572
"Ornithinimicrobium",0.307,0.334,0.36,0.741,"zinb","Ornithinimicrobium","ns",0.130181792020672,57,0,"dose1_shedding",0.36101083032491,0.0014920485237895
"Deinococcus",0.832,0.409,0.044,0.722,"zinb","Deinococcus","ns",0.141462802430361,57,0,"dose1_shedding",0.234657039711191,0.00173964352576788
"Nocardioides",0.461,0.421,0.28,0.741,"zinb","Nocardioides","ns",0.130181792020672,57,0,"dose1_shedding",0.205776173285199,0.00081327436606763
"Novosphingobium",0.113,0.405,0.78,0.918333333333333,"zinb","Novosphingobium","ns",0.0369996515318586,57,0,"dose1_shedding",0.234657039711191,0.00111852312416275
"unassigned",0.452,0.734,0.54,0.78375,"zinb","unassigned","ns",0.105822446161227,57,0,"dose1_shedding",0.303249097472924,0.000353868752117653
"Sphingomonas",0.572,0.302,0.06,0.722,"zinb","Sphingomonas","ns",0.141462802430361,57,0,"dose1_shedding",0.407942238267148,0.00303826742961377
