"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"t111844","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia","Mannheimia pernigra"
"t1987157","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Kuttervirus","Kuttervirus Salmonella virus Det7"
"t2562451","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","Vagococcus sp. CF-49"
"t2722756","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Brenneria","Brenneria izadpanahii"
"t2060721","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus","Tequatrovirus Escherichia phage T2"
"t2560441","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus","Tequatrovirus Escherichia virus CF2"
"t2509456","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus protaetiae"
"t537","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Iodobacter","Iodobacter fluviatilis"
"t1581","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lentilactobacillus buchneri"
"t2211212","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sp. DCT19"
"t1324350","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter equi"
"t1177712","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Komagataeibacter","Komagataeibacter medellinensis"
"t2665646","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Alicyclobacillus","Alicyclobacillus sp. SO9"
"t2662262","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio sp. SM1977"
"t2017485","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium avium"
"t2715164","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter shaoyimingii"
"t1778678","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus psychroresistens"
"t2509459","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Promicromonosporaceae","Xylanimonas","Xylanimonas allomyrinae"
"t1577075","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. PBH53"
"t630515","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Microlunatus","Microlunatus soli"
"t1678128","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans","Limnohabitans sp. 63ED37-2"
"t67780","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Edwardsiella","Edwardsiella ictaluri"
"t1607","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Loigolactobacillus","Loigolactobacillus bifermentans"
"t4555","Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Setaria","Setaria italica"
"t847","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","Oxalobacter formigenes"
"t713030","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas sp. oral taxon 136"
"t2742678","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter sp. RHBSTW-01044"
"t164393","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus","Latilactobacillus fuchuensis"
"t1620215","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfuricaulis","Sulfuricaulis limicola"
"t1679721","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Herbinix","Herbinix luporum"
"t1903056","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Macrococcus","Macrococcus bohemicus"
"t1499686","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas saudiphocaensis"
"t28152","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia kristensenii"
"t1355477","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium diazoefficiens"
"t47917","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia fonticola"
"t28251","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Ornithobacterium","Ornithobacterium rhinotracheale"
"t42858","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Mammaliicoccus","Mammaliicoccus lentus"
"t51161","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus delphinicola"
"t196180","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus","Anoxybacillus kamchatkensis"
"t46126","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus chromogenes"
"t2058136","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus","Planococcus sp. MB-3u-03"
"t44689","Eukaryota","Evosea","Eumycetozoa","Dictyosteliales","Dictyosteliaceae","Dictyostelium","Dictyostelium discoideum"
"t399742","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter sp. 638"
"t308354","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus simiae"
"t258","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium spiritivorum"
"t2604047","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia sp. Msb3"
"t37927","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Sinomonas","Sinomonas atrocyanea"
"t2292255","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Levilactobacillus suantsaii"
"t2169808","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Kuttervirus","Kuttervirus Salmonella virus GG32"
"t155085","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus lutrae"
"t2812854","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Schitoviridae","Ithacavirus","Ithacavirus Salmonella phage vB_SalP_TR2"
"t37919","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus opacus"
"t37482","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Laceyella","Laceyella sacchari"
"t2656914","Bacteria","Actinobacteria","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Nonomuraea","Nonomuraea nitratireducens"
"t202950","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baylyi"
"t193462","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces niveus"
"t2735317","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Paenarthrobacter","Paenarthrobacter sp. YJN-D"
"t101564","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas alcaliphila"
"t1332188","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharimonia","Candidatus Nanosynbacterales","Candidatus Nanosynbacteraceae","Candidatus Saccharimonas","Candidatus Saccharimonas aalborgensis"
"t47763","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces lydicus"
"t2589797","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Bogoriellaceae","Georgenia","Georgenia sp. Z443"
"t2751313","Bacteria","Firmicutes","Clostridia","Koleobacterales","Koleobacteraceae","Koleobacter","Koleobacter methoxysyntrophicus"
"t37931","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Paenarthrobacter","Paenarthrobacter ureafaciens"
"t2487063","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium sp. G0162"
"t373687","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sonchi"
"t152268","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Metabacillus","Metabacillus litoralis"
"t2560445","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Mosigvirus","Mosigvirus Escherichia virus HP3"
"t371142","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium daejeonense"
"t391290","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus sp. E263"
"t682956","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus jilunlii"
"t1847728","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Companilactobacillus allii"
"t1638","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria ivanovii"
"t388357","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Kocuria","Kocuria turfanensis"
"t180282","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Delftia tsuruhatensis"
"t2576930","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter sp. AP-Elch-400A-B2"
"t187101","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sneathia","Sneathia vaginalis"
"t2662261","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Raineyella","Raineyella sp. CBA3103"
"t191610","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium atypicum"
"t1324352","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium gallinarum"
"t83771","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","Succinivibrio dextrinosolvens"
"t28197","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Aliarcobacter","Aliarcobacter butzleri"
"t380","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii"
"t279826","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Mesobacillus","Mesobacillus foraminis"
"t731","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Histophilus","Histophilus somni"
"t38305","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium vitaeruminis"
"t211114","Bacteria","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Allokutzneria","Allokutzneria albata"
"t2713310","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Kuttervirus","Kuttervirus Salmonella phage pertopsoe"
"t267363","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Levilactobacillus zymae"
"t2135430","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. P3"
"t714","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter actinomycetemcomitans"
"t2739062","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. M31R6"
"t2173","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter smithii"
"t33050","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis macrogoltabida"
"t1642","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua"
"t446860","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Kocuria","Kocuria flava"
"t2733870","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Autographiviridae","Teseptimavirus","Teseptimavirus Enterobacteria virus IME390"
"t2758440","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Arcanobacterium","Arcanobacterium sp. JY-X040"
"t1869241","Bacteria","Cyanobacteria","","Nostocales","Nostocaceae","Nostoc","Nostoc sp. CENA543"
"t2715960","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. PSBB068"
"t306323","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Brussowvirus","Brussowvirus Streptococcus virus 2972"
"t73141","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiocystis","Thiocystis violascens"
"t666","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio cholerae"
"t380021","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas protegens"
"t1473112","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus guangzhouensis"
"t2816912","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus sp. LG606"
"t339862","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus youngiae"
"t28095","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia gladioli"
"t1193095","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Paucilactobacillus","Paucilactobacillus hokkaidonensis"
"t84022","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium aceticum"
"t2719588","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Kocuria","Kocuria sp. KD4"
"t2732027","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Demerecviridae","Epseptimavirus","Epseptimavirus Salmonella virus S124"
"t223967","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum","Methylorubrum populi"
"t42895","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter sp."
"t2785331","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Entomomonas","Entomomonas sp. F2A"
"t2681308","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Leclercia","Leclercia sp. 119287"
"t2601643","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Phapecoctavirus","Phapecoctavirus Erwinia phage pEp_SNUABM_01"
"t2734022","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Drexlerviridae","Tunavirus","Tunavirus Escherichia virus IME18"
"t2731622","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Taipeivirus","Taipeivirus Escherichia virus KWBSE43-6"
"t2733635","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Autographiviridae","Kayfunavirus","Kayfunavirus Enterobacter virus EcpYZU01"
"t1583098","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium hwasookii"
"t589382","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Agromyces","Agromyces flavus"
"t1476025","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Heyndrickxia","Heyndrickxia Bacillus vini"
"t2733638","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Autographiviridae","Kayfunavirus","Kayfunavirus Escherichia virus GA2A"
"t1651196","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Mosigvirus","Mosigvirus Enterobacteria phage ATK47"
"t2711328","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Kocuria","Kocuria sp. TGY1127_2"
"t742013","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Delftia sp. Cs1-4"
"t128780","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas acidaminiphila"
"t2599308","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Crassaminicella","Crassaminicella sp. SY095"
"t1610493","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Tessaracoccus","Tessaracoccus flavus"
"t1905730","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium parmentieri"
"t2079276","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus","Tequatrovirus Citrobacter phage vB_CroM_CrRp10"
"t404941","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycobacteroides","Mycobacteroides salmoniphilum"
"t2742670","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter sp. RHBSTW-00903"
"t1424294","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Geosporobacter","Geosporobacter ferrireducens"
"t152794","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium efficiens"
"t2772064","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Podoviridae",""," crAssphage cr1_1"
"t60548","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia graminis"
"t2682541","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sp. N1-1"
"t1619311","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus physcomitrellae"
"t2733971","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Chaseviridae","Carltongylesvirus","Carltongylesvirus Escherichia virus GJ1"
"t2218628","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Photorhabdus","Photorhabdus laumondii"
"t1467","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lederbergia","Lederbergia lentus"
"t93219","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea","Pandoraea norimbergensis"
"t2772088","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Podoviridae",""," crAssphage cr114_1"
"t36874","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas cangingivalis"
"t192421","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus","Planococcus maritimus"
"t878220","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium sp. StRB126"
"t2502301","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus","Tequatrovirus Escherichia phage vB_EcoM_G4498"
"t1922217","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia Candidatus Erwinia haradaeae"
"t2419772","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus","Apilactobacillus bombintestini"
"t37329","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Nocardia","Nocardia farcinica"
"t2656521","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Taipeivirus","Taipeivirus Klebsiella virus UPM 2146"
"t3702","Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana"
"t2086471","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter","Adhaeribacter swui"
"t242159","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Ostreococcus","Ostreococcus sp. 'lucimarinus'"
"t2057800","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces qiguomingii"
"t55583","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptococcaceae","Dehalobacter","Dehalobacter restrictus"
"t185300","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter","Paludibacter propionicigenes"
"t1536772","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sp. FSL R7-0273"
"t2487064","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium sp. G0186"
"t2583231","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","Rhizobium indicum"
"t3760","Eukaryota","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus persica"
"t185008","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio hungatei"
"t1921008","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Drexlerviridae","Tunavirus","Tunavirus Escherichia virus T1"
"t461876","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus oremlandii"
"t2750846","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus","Tequatrovirus Escherichia phage vB_EcoM_F1"
"t2704462","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus lycopersici"
"t413501","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter muytjensii"
"t375489","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus cellulosilyticus"
"t90244","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Oligella","Oligella ureolytica"
"t2153485","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. endophyte_N2"
"t414771","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus donghaensis"
"t270351","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium aquaticum"
"t35701","Bacteria","Firmicutes","Clostridia","Eubacteriales","Heliobacteriaceae","Heliomicrobium","Heliomicrobium modesticaldum"
"t2651974","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga sp. BPS33"
"t189381","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Rossellomorea","Rossellomorea Bacillus marisflavi"
"t631","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia intermedia"
"t34103","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Sphaerotilus","Sphaerotilus natans"
"t2704465","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga","Rhodocytophaga rosea"
"t2479367","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","Buttiauxella sp. 3AFRM03"
"t96942","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Vitreoscilla","Vitreoscilla sp. C1"
"t51101","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus","Brevibacillus agri"
"t2714924","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","Diaphorobacter sp. HDW4A"
"t1147042","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Dhillonvirus","Dhillonvirus Staphylococcus phage StB12"
"t178399","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","Marinomonas primoryensis"
"t176292","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Secundilactobacillus","Secundilactobacillus malefermentans"
"t2731623","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Taipeivirus","Taipeivirus Klebsiella virus KpS110"
"t2704463","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus rhizovicinus"
"t2598861","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Alkalihalobacillus","Alkalihalobacillus miscanthi"
"t169427","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia terricola"
"t2004650","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter chinensis"
"t339617","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas viridis"
"t1536775","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sp. FSL H7-0737"
"t10742","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Shamshuipovirus","Shamshuipovirus Escherichia virus HK022"
"t1987156","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Kuttervirus","Kuttervirus Salmonella virus Maynard"
"t296842","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio carbinolicus"
"t556325","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Neomicrococcus","Neomicrococcus aestuarii"
"t1969","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces chartreusis"
"t2734275","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Sashavirus","Sashavirus Salmonella virus Sasha"
"t2607663","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia canariae"
"t1241982","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium nakagawai"
"t2502303","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus","Tequatrovirus Escherichia phage vB_EcoM_G50"
"t1697053","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Oblitimonas","Oblitimonas alkaliphila"
"t161896","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium camporealensis"
