"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"t413810","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halalkalicoccus","Halalkalicoccus jeotgali"
"t2285","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius"
"t353800","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halostagnicola","Halostagnicola larsenii"
"t2066133","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","Marinomonas sp. CT5"
"t1134405","Bacteria","Ignavibacteriae","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","Melioribacter","Melioribacter roseus"
"t1789","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium xenopi"
"t283811","Bacteria","Actinobacteria","Actinomycetia","Glycomycetales","Glycomycetaceae","Stackebrandtia","Stackebrandtia nassauensis"
"t35814","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella holmesii"
"t2014541","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas sp. N3-2A"
"t2815309","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Geobacter sp. Jerry-YX"
"t1843368","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium sp. RAC03"
"t1517551","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. HMP6"
"t2528026","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Maioricimonas","Maioricimonas rarisocia"
"t301375","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanotrichaceae","Methanothrix","Methanothrix Methanosaeta harundinacea"
"t585425","Bacteria","Cyanobacteria","","Synechococcales","Synechococcaceae","Synechococcus","Synechococcus sp. KORDI-52"
"t1883371","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Machinavirus","Machinavirus Erwinia phage vB_EamM_ChrisDB"
"t2020311","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","Rhizobium sp. Kim5"
"t2678260","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. Ost2"
"t1404768","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium amphicarpaeae"
"t1789762","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera sp. BMS"
"t252307","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Robiginitalea","Robiginitalea biformata"
"t1862958","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Ceduovirus","Ceduovirus Lactococcus phage D4410"
"t1147043","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae",""," Staphylococcus phage StB20"
"t73913","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","Methanocaldococcus vulcanius"
"t2247","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","Halorubrum lacusprofundi"
"t70775","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas plecoglossicida"
"t392593","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Inhella","Inhella inkyongensis"
"t1508419","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga caldifontis"
"t553981","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Nitrosacidococcus","Candidatus Nitrosacidococcus tergens"
"t1936003","Bacteria","Planctomycetes","Phycisphaerae","Sedimentisphaerales","Anaerohalosphaeraceae","Anaerohalosphaera","Anaerohalosphaera lusitana"
"t1932","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces tendae"
"t2730360","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas sp. PGE1"
"t2733875","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Autographiviridae","Teseptimavirus","Teseptimavirus Escherichia virus Ebrios"
"t219745","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Mesoplasma","Mesoplasma tabanidae"
"t44012","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Ferrimonadaceae","Ferrimonas","Ferrimonas balearica"
"t1987154","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Kuttervirus","Kuttervirus Salmonella virus STML131"
"t2731220","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium sp. MethCAN"
