"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"77","Haemophilus",0.11649875031009,0.222597662852592,"Haemophilus","India",43,247,17.4,0.1,0.5,"UK",19,39,48.7,2.4,6.7,7.84209665870607e-05,0.000857729322045977,-31.3,FALSE,14,1,"UK",-0.265076376713038,-0.550925823588438,5.17035048540102,4.66769541725774,9.09802070232211,0.52591826599988,0.283653849714314,0.000136016633675443,0.00157970467791226,7.19998858393569e-05,0.00102387405887935,0.114,2.439,-2.325,0.9375,0.875,0.9375
"78","Halomonas",0.00397935440330435,0.00877664439321599,"Halomonas","India",23,247,9.3,0,0.3,"UK",0,39,0,0,0,0.0533126455714312,0.115181641666672,9.3,TRUE,149,0,"ns",-0.913592539398786,-0.953859453682009,-0.722239898170471,0.0231441286326532,4.95399357715122,0.00471992539116681,0.496996395714956,0.453661096617478,0.590482150258287,0.533827231162557,0.6805233382561,0.049,0,0.049,0.9375,0.875,0.9375
"79","Hydrogenophilus",0.444540158427757,0.751029933667529,"Hydrogenophilus","India",138,247,55.9,1.1,2.8,"UK",0,39,0,0,0,4.43644856223462e-13,3.88189249195529e-11,55.9,TRUE,4,1,"India",2.57592415089736,5.86147819488242,-0.817159677704167,-6.59536788739279,7.03399911780709,-0.788927541159884,0.234775645962391,2.41238899949722e-11,1.85742940716417e-09,5.10330170870267e-07,2.28683960894272e-05,1.14,0,1.14,0.9375,0.875,0.9375
"80","Janibacter",0.063082152608933,0.129863697934939,"Janibacter","India",77,247,31.2,0.2,0.9,"UK",4,39,10.3,0,0,0.00676343139719298,0.0275255928955528,20.9,TRUE,28,0,"India",0.190556463712783,0.302874651668519,-0.400236919333906,-1.2337913838893,7.33225748130236,-0.174006367741557,0.416499800907742,0.0322285014488608,0.0936839011583928,0.150801175885271,0.296410381539881,0.238,0.014,0.224,0.9375,0.875,0.9375
"81","Jeotgalicoccus",0.00796154550869956,0.0209126470898783,"Jeotgalicoccus","India",26,247,10.5,0.1,0.3,"UK",0,39,0,0,0,0.0324512827806883,0.0799855561495838,10.5,TRUE,116,0,"ns",-0.870475744113671,-0.889863248803218,-0.783130262133891,0.0424091688602735,4.92485467786841,0.00638960663137091,0.496394230817464,0.433915159098577,0.567721521128354,0.54313786724403,0.689838083713114,0.057,0,0.057,0.9375,0.875,0.9375
"82","Klebsiella",0.0589105693966734,0.107713144052058,"Klebsiella","India",66,247,26.7,0.4,2.3,"UK",16,39,41,2.4,9.8,0.0854382787704148,0.167388410953938,-14.3,FALSE,31,0,"ns",0.224919659255239,0.0155400150818661,1.95523174393262,2.19096597473077,8.7815536415551,0.239039490236163,0.37500000178348,0.0545772855824632,0.137519562217884,0.0539465546514909,0.148024334067239,0.418,2.475,-2.057,0.9375,0.875,0.9375
"83","Kocuria",0.235466260515269,0.487619838165812,"Kocuria","India",154,247,62.3,0.9,1.7,"UK",10,39,25.6,0.1,0.2,2.03359899147066e-05,0.000355879823507366,36.7,TRUE,7,1,"India",6.45245514764774,7.20873624765415,0.420324100184251,-4.73118508447931,8.59912644100143,-0.519057423043927,0.29927884935452,6.78415775888325e-05,0.00110292180727302,0.000222562645331573,0.00299303112543586,0.871,0.066,0.805,0.9375,0.875,0.9375
"84","Kytococcus",0.0408958099283682,0.0866962933280469,"Kytococcus","India",44,247,17.8,0.2,0.6,"UK",0,39,0,0,0,0.00138720888391619,0.00971046218741333,17.8,TRUE,44,0,"India",-0.587044143221641,-0.554566050865121,-0.782071364625294,-0.618096038885201,5.76642224806915,-0.0928479284205198,0.450721154511778,0.088523553154221,0.17297866640106,0.403142887984023,0.550357518668828,0.182,0,0.182,0.9375,0.875,0.9375
"85","Lachnoanaerobaculum",0.00197952147532302,0.00450850435951699,"Lachnoanaerobaculum","India",1,247,0.4,0,0,"UK",3,39,7.7,0.1,0.4,0.0085710536912448,0.0340894180901782,-7.3,FALSE,168,0,"UK",-1.23419080525365,-1.35062267404258,-0.438797424586246,1.00226794166222,4.79440606662219,0.180606520725044,0.397035257848515,0.141175067073351,0.233141154831028,0.155712944691833,0.256011038014822,0.003,0.074,-0.071,0.9375,0.875,0.9375
"86","Lactobacillus",0.0407603597342642,0.0787961236482116,"Lactobacillus","India",73,247,29.6,0.6,2.5,"UK",14,39,35.9,0.8,2.1,0.45565594091845,0.561547814512174,-6.3,FALSE,45,0,"ns",0.281087023675407,0.137405507365141,1.11154818965155,1.24385491664502,9.93349216847344,0.12770023353122,0.426511815180897,0.216432035167299,0.365747974839361,0.207478301396165,0.374208948265806,0.637,0.775,-0.138,0.9375,0.875,0.9375
"87","Lactococcus",0.0130335395138976,0.0261693561012839,"Lactococcus","India",32,247,13,0,0.2,"UK",7,39,17.9,0,0,0.449649510412243,0.558075633490373,-4.9,FALSE,95,0,"ns",-0.690597092466556,-0.797690939818839,0.0921686749693862,1.01329889832839,5.95162029686634,0.148981611102239,0.419703645474851,0.300197466392447,0.429621189065298,0.235979561240064,0.379640928549588,0.047,0.011,0.036,0.9375,0.875,0.9375
"88","Lapillicoccus",0.0171684908798046,0.045661081528346,"Lapillicoccus","India",20,247,8.1,0,0.2,"UK",0,39,0,0,0,0.0870419736960477,0.167388410953938,8.1,TRUE,82,0,"ns",-0.973883301541365,-1.00447340647897,-0.792610973452563,0.115795284942532,4.92720520835016,0.021944168080805,0.489182692452453,0.527804625027036,0.649985732997028,0.533170409030868,0.680349931091319,0.037,0,0.037,0.9375,0.875,0.9375
"89","Lawsonella",0.0337781112731646,0.0660039339561384,"Lawsonella","India",26,247,10.5,0.1,0.3,"UK",10,39,25.6,0.1,0.1,0.0162334974944702,0.0546319627217748,-15.1,FALSE,51,0,"ns",-0.742939700783461,-0.88107186690926,0.286289264202397,1.5858389036323,7.4408604070723,0.214467950490089,0.383660394114891,0.0465647542368661,0.123200933484341,0.0586184358487285,0.150325082624969,0.066,0.055,0.011,0.9375,0.875,0.9375
"90","Luteimonas",0.0118728342500224,0.037852861264646,"Luteimonas","India",28,247,11.3,0.1,0.3,"UK",1,39,2.6,0,0,0.148153804109703,0.242307623543907,8.7,TRUE,96,0,"ns",-0.788385331601772,-0.815643369946137,-0.596499314731988,-0.0166775200546381,5.27795290700359,-0.00270426023850563,0.497596153878309,0.538919983207136,0.670567471667053,0.55740928527275,0.703680836536048,0.059,0.001,0.058,0.9375,0.875,0.9375
"91","Lysobacter",0.0387719479779405,0.087250964094544,"Lysobacter","India",46,247,18.6,0.1,0.8,"UK",0,39,0,0,0,0.000824433346992476,0.00601149315515347,18.6,TRUE,47,0,"India",-0.584764998036458,-0.534470276534142,-0.810070422960823,-0.715563393450584,5.60453005649193,-0.116551013462285,0.436924310027669,0.0796556232584102,0.157544169729541,0.345236024395532,0.498619803587068,0.146,0,0.146,0.9375,0.875,0.9375
