"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.Malawi","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"90","Kytococcus",0.0278391512907365,0.0546915997833758,"Kytococcus","India",44,247,17.8,0.2,0.6,"Malawi",13,79,16.5,0,0.2,0.865899261424619,0.925458469882397,1.3,TRUE,87,0,"ns",-0.316890944261715,-0.292890819355422,-0.403898410505025,-0.2460833888889,7.18583780657639,-0.0287322759555821,0.484200000052719,0.493384048581889,0.591454622379598,0.533931478170778,0.654824022470946,0.181,0.049,0.132,0.9,0.85,0.95
"91","Lachnoclostridium",0.00777606858235062,0.0178189630929221,"Lachnoclostridium","India",1,247,0.4,0,0,"Malawi",9,79,11.4,0,0.1,1.60853300017461e-05,7.3846287735289e-05,-11,FALSE,158,0,"Malawi",-0.977140418305444,-1.05928791390117,-0.717730740612319,0.546955895868041,5.21158658321042,0.0931370906218715,0.449400000170412,0.130301356252353,0.201260548182808,0.279019679539824,0.386554618756786,0,0.038,-0.038,0.9,0.85,0.95
"92","Lachnospira",0.00223584556652191,0.00562594206858967,"Lachnospira","India",1,247,0.4,0,0,"Malawi",7,79,8.9,0,0.1,0.000255753595489964,0.000794803481368811,-8.5,FALSE,194,0,"Malawi",-1.00386995279694,-1.07729576249158,-0.729956832263174,0.569080348496286,4.84597355064858,0.100379925277815,0.445800000182815,0.236499973571174,0.318648086886896,0.298113861201104,0.408152481498892,0.001,0.018,-0.017,0.9,0.85,0.95
"93","Lachnospiraceae_AC2044_group",0.00215448104145941,0.00567034679257743,"Lachnospiraceae_AC2044_group","India",0,247,0,0,0,"Malawi",5,79,6.3,0,0,0.00075750047507222,0.00215514219668434,-6.3,FALSE,195,0,"Malawi",-1.04618030377766,-1.0829284843031,-0.928066925704771,0.239088844299054,4.6993515738326,0.0425543256862531,0.476704659145975,0.372524934626322,0.462505437385892,0.401048427604552,0.526435971393264,0,0.007,-0.007,0.9,0.85,0.95
"94","Lachnospiraceae_ND3007_group",0.00738867122341157,0.0191832193607949,"Lachnospiraceae_ND3007_group","India",0,247,0,0,0,"Malawi",10,79,12.7,0.1,0.4,4.43296496111114e-07,3.19806757908732e-06,-12.7,FALSE,161,0,"Malawi",-0.964455415941304,-1.07786203233147,-0.546439672961084,0.781745053555261,5.16784241372932,0.132060405511189,0.429914017434768,0.0737485430747854,0.121851953163677,0.16520426767364,0.254645301244956,0,0.092,-0.092,0.9,0.85,0.95
"95","Lachnospiraceae_NK4A136_group",0.0386485058047809,0.0723042539795859,"Lachnospiraceae_NK4A136_group","India",1,247,0.4,0,0,"Malawi",17,79,21.5,0.1,0.2,1.1950389193913e-10,2.52411201149706e-09,-21.1,FALSE,61,0,"Malawi",-0.877629746279302,-1.0581574274748,-0.196373655178393,1.27585355556037,5.41779033007412,0.212686506974137,0.389800000386088,0.0165306108075425,0.0362612152257658,0.0274516792252091,0.0659015002255812,0.002,0.074,-0.072,0.9,0.85,0.95
"96","Lactobacillus",0.092674793774384,0.176606947401009,"Lactobacillus","India",73,247,29.6,0.6,2.5,"Malawi",31,79,39.2,1,2.5,0.127174054469001,0.179644468550616,-9.6,FALSE,26,0,"ns",0.526196897509093,0.364006949475931,1.22971466971112,1.27405059550765,10.3442186412221,0.119122585548332,0.437112577697412,0.0995309959762941,0.17860687460962,0.145549807173019,0.263917433013434,0.636,1.021,-0.385,0.9,0.85,0.95
"97","Lactococcus",0.0145332608635503,0.0320076702970069,"Lactococcus","India",32,247,13,0,0.2,"Malawi",7,79,8.9,0,0.1,0.426638956872064,0.535286144646937,4.1,TRUE,130,0,"ns",-0.640184782081008,-0.536930481458171,-0.935069571965032,-0.45945482207804,6.01048086645685,-0.0682294954623803,0.461707658596649,0.453862470879441,0.554463539488932,0.391302841611711,0.514954399238605,0.047,0.015,0.032,0.9,0.85,0.95
"98","Lapillicoccus",0.0117950050710235,0.0344537595448073,"Lapillicoccus","India",20,247,8.1,0,0.2,"Malawi",1,79,1.3,0,0,0.0333247906060945,0.0590491903722025,6.8,TRUE,136,0,"ns",-0.870229638213337,-0.765289733224433,-1.18910609303285,-0.446220505964472,4.96085140863812,-0.0762267715907099,0.458708258486859,0.160222321519482,0.231882029965213,0.286596761632909,0.397666150063964,0.037,0,0.037,0.9,0.85,0.95
"99","Lawsonella",0.0198254419829564,0.0397531762994973,"Lawsonella","India",26,247,10.5,0.1,0.3,"Malawi",15,79,19,0.1,0.4,0.0535126437746633,0.0878825531909104,-8.5,FALSE,101,0,"ns",-0.606060900783133,-0.678196201878489,-0.384315319126587,0.430535887831605,6.50349911980851,0.0559824735430303,0.467200000109806,0.350551467065292,0.450833098732978,0.398776182758588,0.523266648293886,0.065,0.09,-0.025,0.9,0.85,0.95
"100","Leuconostoc",0.0154809582473769,0.0354820079906705,"Leuconostoc","India",7,247,2.8,0,0.1,"Malawi",7,79,8.9,0.3,2.2,0.0482820703012537,0.0812748183404438,-6.1,FALSE,123,0,"ns",-0.965586706097241,-0.994110884267506,-0.854469127069521,0.221073910407116,5.06627870303988,0.0357805245281223,0.477400000075488,0.331026720996269,0.430741750977195,0.471507879012328,0.590450080490582,0.006,0.297,-0.291,0.9,0.85,0.95
"101","Libanicoccus",0.0081374522317114,0.0176392904485865,"Libanicoccus","India",0,247,0,0,0,"Malawi",11,79,13.9,0.4,1.7,9.67957538976801e-08,8.14697595305474e-07,-13.9,FALSE,154,0,"Malawi",-1.00086164936422,-1.11604760684114,-0.577898161105347,0.777465391200828,5.33101695247116,0.11717440577635,0.43520000021969,0.0327438961537508,0.0666276809238556,0.150628413801177,0.241387069895488,0,0.421,-0.421,0.9,0.85,0.95
"102","Luteimonas",0.0434182864825768,0.0848681109766023,"Luteimonas","India",28,247,11.3,0.1,0.3,"Malawi",19,79,24.1,0.1,0.3,0.00909899998707371,0.0197634193267622,-12.8,FALSE,51,0,"Malawi",-0.504171576821382,-0.595879415715434,-0.134951642474276,0.733904226886979,6.74883165743289,0.0950924477035721,0.445310937996868,0.178866575924132,0.264670181321064,0.241388997879161,0.359939021918911,0.059,0.104,-0.045,0.9,0.85,0.95
"103","Lysobacter",0.0495153995407084,0.10711414100892,"Lysobacter","India",46,247,18.6,0.1,0.8,"Malawi",0,79,0,0,0,1.23005923061431e-06,7.52945347224516e-06,18.6,TRUE,46,0,"India",-0.557046394501542,-0.257369596748442,-1.29461069737432,-1.47837538121121,5.71317642151465,-0.228115458568847,0.383323335744089,0.000792970994575892,0.00301934810010803,0.0187361130788169,0.0482886020772572,0.146,0,0.146,0.9,0.85,0.95
"104","Macrococcus",0.00527388328086082,0.0150512689195306,"Macrococcus","India",21,247,8.5,0,0.2,"Malawi",2,79,2.5,0,0,0.0800285041314515,0.121547051387618,6,TRUE,171,0,"ns",-0.85761358654919,-0.771116425073499,-1.13798229966393,-0.452537486263754,5.0685387440118,-0.0776404489781773,0.453200000157379,0.236086111259565,0.328269242036667,0.337799767257182,0.458716388990006,0.034,0.005,0.029,0.9,0.85,0.95
"105","Marinococcus",0.00743372172668542,0.0255156317850652,"Marinococcus","India",16,247,6.5,0,0.2,"Malawi",0,79,0,0,0,0.0153046901973563,0.0315464022435303,6.5,TRUE,160,0,"India",-0.919203760657652,-0.789172746188116,-1.29051864873079,-0.573786432628775,4.77963617446163,-0.103173118728869,0.445910818018792,0.146278642176245,0.2145534678806,0.241657811602134,0.349953619937874,0.021,0,0.021,0.9,0.85,0.95
"106","Marmoricola",0.00541724017009583,0.0129784796740155,"Marmoricola","India",14,247,5.7,0.1,0.6,"Malawi",4,79,5.1,0,0,1,1,0.600000000000001,TRUE,169,0,"ns",-0.877314779613799,-0.829200873539861,-1.01731226588319,-0.134744249195112,4.94945864558284,-0.0233223043900361,0.487000000043362,0.495408379825258,0.594455926194426,0.493170575626078,0.622438614893318,0.06,0.003,0.057,0.9,0.85,0.95
"107","Marvinbryantia",0.00259781631269633,0.00653846553135693,"Marvinbryantia","India",0,247,0,0,0,"Malawi",6,79,7.6,0,0,0.000174626277742506,0.000618851019368179,-7.6,FALSE,193,0,"Malawi",-1.03277171603188,-1.08412348178613,-0.856598636715328,0.360176946165133,4.71138581616959,0.0618047894689238,0.465506898735757,0.33373569858852,0.416024328890021,0.370652501340819,0.481286456310962,0,0.011,-0.011,0.9,0.85,0.95
"108","Massilia",0.0317793378554591,0.0603323819599238,"Massilia","India",45,247,18.2,0.3,2.6,"Malawi",3,79,3.8,0,0.1,0.000874147000848517,0.00245246797460278,14.4,TRUE,75,0,"India",-0.548695723202062,-0.318167588244956,-1.14059753129163,-1.24655712835498,5.98366174356519,-0.183987113454543,0.404600000330014,0.0129418199262216,0.0316755975205815,0.0643439740109594,0.128281635076172,0.376,0.016,0.36,0.9,0.85,0.95
"109","Megamonas",0.00078416892014863,0.00255553206368625,"Megamonas","India",2,247,0.8,0,0.1,"Malawi",4,79,5.1,0,0.2,0.0323492819703428,0.058344240696511,-4.3,FALSE,201,0,"ns",-1.0588036521724,-1.06212474514658,-1.0506138555508,0.105279201908092,4.76724569379331,0.0177890880812545,0.490901819666398,0.488743842134323,0.589003745540825,0.512887033451901,0.632072225112374,0.005,0.021,-0.016,0.9,0.85,0.95
"110","Methylobacterium",0.0467139083566813,0.0916901458577977,"Methylobacterium","India",35,247,14.2,0.1,0.5,"Malawi",20,79,25.3,0.4,1.4,0.0254316831263474,0.0475666665881683,-11.1,FALSE,50,0,"Malawi",-0.399244954499706,-0.507297168333562,-0.0410542535354441,0.935959895430472,7.62659375009487,0.113374456363788,0.435600000218288,0.0810086484696091,0.147022787717042,0.19063328785339,0.307562967804284,0.088,0.431,-0.343,0.9,0.85,0.95
"111","Methyloversatilis",0.00457701426631727,0.0103025243891189,"Methyloversatilis","India",8,247,3.2,0,0.2,"Malawi",4,79,5.1,0,0.1,0.493965654812019,0.61025952453257,-1.9,FALSE,182,0,"ns",-0.976376907265411,-0.961592756198619,-1.02741220331624,-0.0350562688250218,4.98494540801507,-0.00577497089277282,0.496200000012667,0.559516407687728,0.657812336167224,0.504178184417653,0.630294897065735,0.018,0.015,0.003,0.9,0.85,0.95
"112","Microbacterium",0.0184371898660448,0.0394295384996551,"Microbacterium","India",29,247,11.7,0.1,0.3,"Malawi",10,79,12.7,0.1,0.3,0.842948335462028,0.905721083847498,-1,FALSE,111,0,"ns",-0.625368744945249,-0.59984714573905,-0.714774749686013,-0.0662603314873254,6.23797302107399,-0.0100765427044592,0.495400000015334,0.640951006558854,0.732704987442553,0.568245518991914,0.685641663849312,0.06,0.067,-0.00700000000000001,0.9,0.85,0.95
"113","Micrococcus",0.0876425861559077,0.158308449432117,"Micrococcus","India",175,247,70.9,1.1,2,"Malawi",51,79,64.6,0.7,1.1,0.326976938288284,0.418033807178692,6.30000000000001,TRUE,29,0,"ns",8.48044133740114,8.58655438867833,8.03739457776138,-0.390718475294218,9.42488636220188,-0.0438330524413131,0.471905618970132,0.310678217315986,0.438046961758935,0.418523576506501,0.586917937194914,1.123,0.701,0.422,0.9,0.85,0.95
"114","Microvirga",0.00766398919707283,0.0190426408711163,"Microvirga","India",16,247,6.5,0.1,0.3,"Malawi",1,79,1.3,0,0,0.0830403576199057,0.125180240591201,5.2,TRUE,159,0,"ns",-0.946264265660384,-0.862977673272512,-1.21250168953572,-0.445658583256495,4.92702863675094,-0.0801309476641491,0.456108778391732,0.217942863062776,0.303605583782654,0.356575097069068,0.473936469162627,0.05,0.001,0.049,0.9,0.85,0.95
"115","Mitsuokella",0.00463192296854368,0.0112594647232805,"Mitsuokella","India",1,247,0.4,0,0.1,"Malawi",8,79,10.1,0,0.1,6.48620372995995e-05,0.000262042630690382,-9.7,FALSE,181,0,"Malawi",-0.977276893212096,-1.06496324514016,-0.68621536078235,0.535132865148096,4.87006416162562,0.0894965116843852,0.454909018347836,0.234710620891423,0.313047817354398,0.264712956040462,0.375338795710476,0.004,0.015,-0.011,0.9,0.85,0.95
"116","Moraxella",0.0315592195551853,0.0588756272800961,"Moraxella","India",55,247,22.3,0.3,1.3,"Malawi",10,79,12.7,0.2,1.2,0.0749358490974567,0.114674556952169,9.6,TRUE,76,0,"ns",-0.223070943911718,-0.0543191417282616,-0.761363014365646,-0.895812865560801,7.46333598813061,-0.114522236869469,0.430800000235171,0.140845577702362,0.224342714392768,0.177312517111081,0.277051028273897,0.263,0.214,0.049,0.9,0.85,0.95
"117","Neisseria",0.0285876311469704,0.0548572821629017,"Neisseria","India",42,247,17,0.1,0.6,"Malawi",15,79,19,0.1,0.6,0.734015063982715,0.83298338721634,-2,FALSE,85,0,"ns",-0.315843235455361,-0.290618706673522,-0.392669900702717,-0.186949321345102,6.77700473153018,-0.0263275664452995,0.488000000040023,0.674318251569697,0.757825356474003,0.631318891547903,0.742668306610228,0.139,0.113,0.026,0.9,0.85,0.95
"118","Nesterenkonia",0.01772587992139,0.0402761618259613,"Nesterenkonia","India",31,247,12.6,0,0.1,"Malawi",5,79,6.3,0,0.1,0.150756723290125,0.207162300031329,6.3,TRUE,114,0,"ns",-0.657168866028012,-0.550009204912183,-0.960495088076197,-0.592978778393827,5.55559435794613,-0.0965821090454856,0.449600000169725,0.193896734231987,0.275341672636847,0.310663384837983,0.421919997380256,0.033,0.012,0.021,0.9,0.85,0.95
"119","Nocardioides",0.0195134770244225,0.0413055599499842,"Nocardioides","India",48,247,19.4,0.1,0.2,"Malawi",7,79,8.9,0,0,0.0371524233796835,0.0646964614025523,10.5,TRUE,102,0,"ns",-0.391381300531073,-0.229611165403851,-0.850763795161155,-0.796235041060907,6.30144823171535,-0.121801777751105,0.436600000214787,0.102685983967417,0.167090980720562,0.159908279299513,0.264720839622416,0.066,0.013,0.053,0.9,0.85,0.95
"120","Novosphingobium",0.0304988666679471,0.0696287300212256,"Novosphingobium","India",44,247,17.8,0.1,0.4,"Malawi",2,79,2.5,0.1,0.5,0.000295278173686139,0.000903730167948487,15.3,TRUE,79,0,"India",-0.53648334086316,-0.327312642791268,-1.1378563701935,-1.05665317405999,5.80050984136388,-0.16864362668861,0.411400000304908,0.00994622312077319,0.0231723538499227,0.0529210473743775,0.105881328427538,0.103,0.059,0.044,0.9,0.85,0.95
"121","Ochrobactrum",0.0104820109033658,0.0228501597304702,"Ochrobactrum","India",2,247,0.8,0,0.1,"Malawi",9,79,11.4,0.1,0.9,7.08819473774991e-05,0.000280748105299114,-10.6,FALSE,142,0,"Malawi",-0.934751758421275,-1.03280744021275,-0.655091177656974,0.550291621530011,5.06968120059588,0.0914138833453128,0.448310338106504,0.137809610785713,0.206277266918689,0.254067275589717,0.364659105722592,0.004,0.128,-0.124,0.9,0.85,0.95
