"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India (IPV)","rab.win.India (OPV)","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"25","Bounagaea",0.0606976670535681,0.129834918632287,"Bounagaea","India (OPV)",31,169,18.3,0.3,1.5,"India (IPV)",9,78,11.5,0.1,0.4,0.19809536728329,0.503357080801804,6.8,TRUE,56,0,"ns",-0.927367415688,-0.89676506572211,-0.944744257023246,0.0871596027695176,6.78525702000545,0.0148258180292552,0.492387820538282,0.495892450683586,0.739063963083781,0.5209848109064,0.783829053743297,0.271,0.103,0.168,0.7,0.6,0.75
"26","Brachybacterium",0.10167083760521,0.18829861935195,"Brachybacterium","India (OPV)",66,169,39.1,0.2,0.6,"India (IPV)",26,78,33.3,0.4,1.1,0.400115458755388,0.6883650622833,5.8,TRUE,27,0,"ns",0.561350762572289,0.539814650167866,0.572037916777346,-0.165098513547006,8.67856103377588,-0.0182834076031289,0.489182692343882,0.738603270291335,0.88644811930388,0.701266751811989,0.883039686188621,0.225,0.412,-0.187,0.7,0.6,0.75
"27","Bradyrhizobium",0.210121822195326,0.438898223716879,"Bradyrhizobium","India (OPV)",49,169,29,1.4,4.6,"India (IPV)",5,78,6.4,0.1,0.2,2.7090976603896e-05,0.00139970045786796,22.6,TRUE,8,1,"India (OPV)",-0.52217011114401,-1.0696217679248,-0.196722625546025,1.37604283947507,7.77962883724783,0.165224028362294,0.40304487213176,0.000883915168998176,0.0251971940617207,0.0473316899937374,0.240679792742672,1.393,0.05,1.343,0.7,0.6,0.75
"28","Brevibacterium",0.0469417960580428,0.0911474400760137,"Brevibacterium","India (OPV)",33,169,19.5,0.1,0.4,"India (IPV)",16,78,20.5,0.2,0.7,0.864877066359499,0.978780118034219,-1,FALSE,71,0,"ns",-0.678821788913138,-0.426071368180358,-0.790626718071737,-0.384925188837743,7.43867670284717,-0.0493643686464541,0.471153846250631,0.447123803519331,0.710296956545122,0.434777877642198,0.721624927169945,0.1,0.217,-0.117,0.7,0.6,0.75
"29","Brevundimonas",0.0548782154357284,0.101281698665611,"Brevundimonas","India (OPV)",44,169,26,0.2,0.5,"India (IPV)",20,78,25.6,0.6,2.4,1,1,0.399999999999999,TRUE,61,0,"ns",-0.35572498195959,-0.0525543907160166,-0.495482211808776,-0.519764032192393,8.29294096115159,-0.0580363015860775,0.469056679454923,0.513577252406488,0.764123907844971,0.480797768737842,0.767416700730445,0.181,0.559,-0.378,0.7,0.6,0.75
"30","Burkholderia-Caballeronia-Paraburkholderia",0.0117338441121601,0.0290230435562665,"Burkholderia-Caballeronia-Paraburkholderia","India (OPV)",10,169,5.9,0,0.2,"India (IPV)",4,78,5.1,0,0.1,1,1,0.800000000000001,TRUE,145,0,"ns",-1.34580078537588,-1.18451347990011,-1.41761889424252,-0.181686293364689,5.12460475521767,-0.0320351453025305,0.480769230833634,0.578993395879491,0.800997300918254,0.529064466555237,0.782397672575928,0.039,0.011,0.028,0.7,0.6,0.75
"31","Buttiauxella",0.0264648046257773,0.0597225718901855,"Buttiauxella","India (OPV)",19,169,11.2,0,0.2,"India (IPV)",7,78,9,0.1,0.4,0.661599086032772,0.876477421667348,2.2,TRUE,102,0,"ns",-1.13666102689601,-1.03431284298905,-1.17811412310899,-0.0557884020259181,5.84992140507794,-0.00753990896503598,0.494391025659785,0.574260774773439,0.807879477978473,0.539783809580349,0.796981195205574,0.031,0.07,-0.039,0.7,0.6,0.75
"32","Catenibacterium",0.0337082601694006,0.0715765496052534,"Catenibacterium","India (OPV)",20,169,11.8,0.1,0.4,"India (IPV)",5,78,6.4,0.1,0.5,0.25719056876225,0.577746929828244,5.4,TRUE,89,0,"ns",-1.16680574302241,-1.15160708485108,-1.173663729327,0.0741869451816664,5.82198861411844,0.0101626975902226,0.494791666684086,0.581243029041882,0.801383668116657,0.565998224196917,0.816176676673205,0.078,0.091,-0.013,0.7,0.6,0.75
"33","Cellulosimicrobium",0.0246088272329367,0.051738170171452,"Cellulosimicrobium","India (OPV)",6,169,3.6,0,0,"India (IPV)",7,78,9,0,0.2,0.120709591367939,0.427200209237833,-5.4,FALSE,107,0,"ns",-1.41472450041404,-1.02798595976589,-1.57428343687708,-0.62573909053508,5.22708944844146,-0.101630819662975,0.442819948120766,0.178552455411338,0.425656945754538,0.244792950288214,0.529974005833567,0.004,0.045,-0.041,0.7,0.6,0.75
"34","Chryseobacterium",0.0529632182102637,0.100113850530628,"Chryseobacterium","India (OPV)",39,169,23.1,0.1,0.4,"India (IPV)",17,78,21.8,0.2,0.5,0.871430040572401,0.978780118034219,1.3,TRUE,66,0,"ns",-0.513635258725825,-0.328147362558605,-0.601809484459924,-0.124619096387923,7.80131673171972,-0.0156088579019484,0.492187500026132,0.635707664267169,0.835234151813376,0.55335352729058,0.813176594454976,0.123,0.166,-0.043,0.7,0.6,0.75
"35","Chryseomicrobium",0.0797787328466713,0.148895462735379,"Chryseomicrobium","India (OPV)",26,169,15.4,0.1,0.3,"India (IPV)",15,78,19.2,0.2,0.7,0.465466836737885,0.765588800314751,-3.8,FALSE,37,0,"ns",-0.910372283806439,-0.460658226029926,-1.10959646279976,-0.66400292805096,7.03695416248518,-0.0866117430767237,0.448027238309013,0.292999576771203,0.581369091737928,0.27765180138045,0.580834964785716,0.073,0.202,-0.129,0.7,0.6,0.75
"36","Citricoccus",0.0247893795271444,0.0454331204872803,"Citricoccus","India (OPV)",21,169,12.4,0.1,0.3,"India (IPV)",7,78,9,0.1,0.4,0.520434935872473,0.798687277824093,3.4,TRUE,105,0,"ns",-1.11951196607616,-0.983658521567102,-1.17713529352377,-0.0910567399334576,5.95045778798856,-0.0116061729021185,0.493189102586883,0.588423525595024,0.804577179344451,0.527076671232138,0.775223573158387,0.084,0.098,-0.014,0.7,0.6,0.75
"37","Cloacibacterium",0.0620420267085845,0.124636596436439,"Cloacibacterium","India (OPV)",34,169,20.1,0.1,0.3,"India (IPV)",19,78,24.4,0.4,1.9,0.505473852768306,0.798687277824093,-4.3,FALSE,55,0,"ns",-0.535034431758794,-0.107427972406072,-0.728515155680057,-0.758870108163396,7.79684119999984,-0.0905297257277485,0.448628079484588,0.207973090047259,0.51569896208939,0.253871883136408,0.586138129629259,0.095,0.483,-0.388,0.7,0.6,0.75
"38","Clostridium_sensu_stricto_1",0.027865846221934,0.0518269216284368,"Clostridium_sensu_stricto_1","India (OPV)",14,169,8.3,0.1,0.2,"India (IPV)",3,78,3.8,0,0,0.281786871298038,0.59831458974241,4.5,TRUE,97,0,"ns",-1.32745513758849,-1.29954542909908,-1.33939432574412,-0.0102214334444124,5.3726303125553,-0.00236118553055956,0.49909873823654,0.547669602749835,0.770073912187543,0.603106319452555,0.823825187710237,0.053,0.006,0.047,0.7,0.6,0.75
"39","Cnuella",0.0246278845079847,0.0583587481381929,"Cnuella","India (OPV)",13,169,7.7,0.1,0.3,"India (IPV)",3,78,3.8,0.1,0.5,0.404136907534066,0.6883650622833,3.9,TRUE,106,0,"ns",-1.34680792484025,-1.22504971694007,-1.39748250583718,-0.152426255426376,5.34063077524635,-0.0241131932323502,0.486979166710238,0.571250661026704,0.799365033327323,0.511621972072054,0.78162917517239,0.071,0.077,-0.00600000000000001,0.7,0.6,0.75
