"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"unassigned_Lachnospiraceae",-0.168,0.014,3.1e-27,"zinb","unassigned_Lachnospiraceae",2.48e-26,"negatively correlated",25.6055483191738,24,0,"age",0.297455968688845,0.00919941385663115
"Gemella",-0.066,0.015,2e-05,"zinb","Gemella",4e-05,"negatively correlated",4.39794000867204,24,0,"age",0.657534246575342,0.000493350784682833
"Enterobacter",0.073,0.015,1.2e-06,"zinb","Enterobacter",2.88e-06,"positively correlated",5.54060751224077,24,0,"age",0.317025440313112,0.00234222156167406
"Acinetobacter",0.089,0.014,2.3e-10,"zinb","Acinetobacter",6.9e-10,"positively correlated",9.16115090926274,24,0,"age",0.219178082191781,0.000272138185189387
"Corynebacterium_1",0.036,0.041,0.38,"zinb","Corynebacterium_1",0.48,"ns",0.318758762624413,24,0,"age",0.673189823874755,0.000231099769733505
"Clostridium_sensu_stricto_1",-0.218,0.021,3.4e-23,"zinb","Clostridium_sensu_stricto_1",1.632e-22,"negatively correlated",21.7872798455822,24,0,"age",0.295499021526419,0.00403360354022749
"Atopobium",0.203,0.018,3e-26,"zinb","Atopobium",1.8e-25,"positively correlated",24.7447274948967,24,0,"age",0.217221135029354,0.000386173590344088
"Actinomyces",0.021,0.013,0.11,"zinb","Actinomyces",0.165,"ns",0.782516055786094,24,0,"age",0.301369863013699,0.000704021623283737
"Finegoldia",0.11,0.108,0.31,"zinb","Finegoldia",0.413333333333333,"ns",0.383699569557427,24,0,"age",0.26027397260274,6.03092678323278e-05
"Dolosigranulum",0.011,0.014,0.43,"zinb","Dolosigranulum",0.516,"ns",0.287350298372789,24,0,"age",0.401174168297456,0.000136627878707442
"Anaerococcus",0.006,0.012,0.62,"zinb","Anaerococcus",0.676363636363636,"ns",0.169819749612346,24,0,"age",0.223091976516634,3.65585910014789e-05
"Peptoniphilus",0.065,0.014,2.1e-06,"zinb","Peptoniphilus",4.58181818181818e-06,"positively correlated",5.3389621487127,24,0,"age",0.23091976516634,2.71147575838555e-05
"Bifidobacterium1",0.08,0.057,0.16,"nb","Bifidobacterium",0.548571428571429,"ns",0.260766815646726,24,0,"seroconv",0.992172211350294,0.450689764965633
"Escherichia/Shigella1",0.109,0.124,0.38,"zinb","Escherichia/Shigella",0.645,"ns",0.190440285364732,24,0,"seroconv",0.904109589041096,0.136574147623903
"Streptococcus1",0.161,0.158,0.31,"nb","Streptococcus",0.590769230769231,"ns",0.228582132275325,24,0,"seroconv",1,0.112184342232777
"Staphylococcus1",0.392,0.227,0.087,"nb","Staphylococcus",0.48,"ns",0.318758762624413,24,0,"seroconv",0.968688845401174,0.0384888045754215
"Bacteroides1",-0.757,0.407,0.065,"zinb","Bacteroides",0.48,"ns",0.318758762624413,24,0,"seroconv",0.356164383561644,0.029470945046977
"Veillonella1",-0.626,0.393,0.11,"zinb","Veillonella",0.48,"ns",0.318758762624413,24,0,"seroconv",0.837573385518591,0.0879755488328994
"Lactobacillus1",0.686,0.692,0.32,"zinb","Lactobacillus",0.590769230769231,"ns",0.228582132275325,24,0,"seroconv",0.667318982387476,0.0289259147840485
"Collinsella1",-0.397,0.383,0.3,"zinb","Collinsella",0.590769230769231,"ns",0.228582132275325,24,0,"seroconv",0.332681017612524,0.0240470193086311
"Haemophilus1",-0.686,0.859,0.43,"zinb","Haemophilus",0.645,"ns",0.190440285364732,24,0,"seroconv",0.311154598825832,0.00150949148060201
"Klebsiella1",0.107,0.397,0.79,"zinb","Klebsiella",0.96,"ns",0.0177287669604316,24,0,"seroconv",0.829745596868884,0.0534698274933012
"Enterococcus1",0.129,0.505,0.8,"zinb","Enterococcus",0.96,"ns",0.0177287669604316,24,0,"seroconv",0.665362035225049,0.016502614355626
"Rothia1",-0.219,0.268,0.42,"zinb","Rothia",0.645,"ns",0.190440285364732,24,0,"seroconv",0.806262230919765,0.00223894589328908
"unassigned_Lachnospiraceae1",-0.025,0.476,0.96,"zinb","unassigned_Lachnospiraceae",0.96,"ns",0.0177287669604316,24,0,"seroconv",0.297455968688845,0.00919941385663115
"Gemella1",-0.448,0.354,0.21,"zinb","Gemella",0.590769230769231,"ns",0.228582132275325,24,0,"seroconv",0.657534246575342,0.000493350784682833
"Enterobacter1",0.14,0.856,0.87,"zinb","Enterobacter",0.96,"ns",0.0177287669604316,24,0,"seroconv",0.317025440313112,0.00234222156167406
"Acinetobacter1",0.027,0.435,0.95,"zinb","Acinetobacter",0.96,"ns",0.0177287669604316,24,0,"seroconv",0.219178082191781,0.000272138185189387
"Corynebacterium_11",-0.143,0.307,0.64,"zinb","Corynebacterium_1",0.903529411764706,"ns",0.0440577056827807,24,0,"seroconv",0.673189823874755,0.000231099769733505
"Clostridium_sensu_stricto_11",0.382,0.346,0.27,"zinb","Clostridium_sensu_stricto_1",0.590769230769231,"ns",0.228582132275325,24,0,"seroconv",0.295499021526419,0.00403360354022749
"Atopobium1",-0.46,0.297,0.12,"zinb","Atopobium",0.48,"ns",0.318758762624413,24,0,"seroconv",0.217221135029354,0.000386173590344088
"Actinomyces1",0.039,0.323,0.91,"zinb","Actinomyces",0.96,"ns",0.0177287669604316,24,0,"seroconv",0.301369863013699,0.000704021623283737
"Finegoldia1",-0.614,0.571,0.28,"zinb","Finegoldia",0.590769230769231,"ns",0.228582132275325,24,0,"seroconv",0.26027397260274,6.03092678323278e-05
"Dolosigranulum1",-0.105,0.518,0.84,"zinb","Dolosigranulum",0.96,"ns",0.0177287669604316,24,0,"seroconv",0.401174168297456,0.000136627878707442
"Anaerococcus1",-1.105,0.573,0.056,"zinb","Anaerococcus",0.48,"ns",0.318758762624413,24,0,"seroconv",0.223091976516634,3.65585910014789e-05
"Peptoniphilus1",-0.852,0.55,0.12,"zinb","Peptoniphilus",0.48,"ns",0.318758762624413,24,0,"seroconv",0.23091976516634,2.71147575838555e-05
"Bifidobacterium2",-0.014,0.017,0.41,"nb","Bifidobacterium",0.69,"ns",0.161150909262745,24,0,"IgA",0.992172211350294,0.450689764965633
"Escherichia/Shigella2",0.027,0.036,0.45,"zinb","Escherichia/Shigella",0.69,"ns",0.161150909262745,24,0,"IgA",0.904109589041096,0.136574147623903
"Streptococcus2",0.056,0.045,0.21,"nb","Streptococcus",0.56,"ns",0.2518119729938,24,0,"IgA",1,0.112184342232777
"Staphylococcus2",0.048,0.065,0.46,"nb","Staphylococcus",0.69,"ns",0.161150909262745,24,0,"IgA",0.968688845401174,0.0384888045754215
"Bacteroides2",-0.229,0.106,0.033,"zinb","Bacteroides",0.396,"ns",0.402304814074488,24,0,"IgA",0.356164383561644,0.029470945046977
"Veillonella2",-0.164,0.113,0.15,"zinb","Veillonella",0.56,"ns",0.2518119729938,24,0,"IgA",0.837573385518591,0.0879755488328994
"Lactobacillus2",0.018,0.19,0.93,"zinb","Lactobacillus",0.970434782608696,"ns",0.0130336457520517,24,0,"IgA",0.667318982387476,0.0289259147840485
"Collinsella2",-0.086,0.105,0.41,"zinb","Collinsella",0.69,"ns",0.161150909262745,24,0,"IgA",0.332681017612524,0.0240470193086311
"Haemophilus2",0.022,0.242,0.93,"zinb","Haemophilus",0.970434782608696,"ns",0.0130336457520517,24,0,"IgA",0.311154598825832,0.00150949148060201
"Klebsiella2",0.041,0.113,0.72,"zinb","Klebsiella",0.96,"ns",0.0177287669604316,24,0,"IgA",0.829745596868884,0.0534698274933012
"Enterococcus2",-0.035,0.145,0.81,"zinb","Enterococcus",0.970434782608696,"ns",0.0130336457520517,24,0,"IgA",0.665362035225049,0.016502614355626
"Rothia2",-0.097,0.074,0.2,"zinb","Rothia",0.56,"ns",0.2518119729938,24,0,"IgA",0.806262230919765,0.00223894589328908
"unassigned_Lachnospiraceae2",0.02,0.106,0.85,"zinb","unassigned_Lachnospiraceae",0.970434782608696,"ns",0.0130336457520517,24,0,"IgA",0.297455968688845,0.00919941385663115
"Gemella2",-0.136,0.1,0.17,"zinb","Gemella",0.56,"ns",0.2518119729938,24,0,"IgA",0.657534246575342,0.000493350784682833
"Enterobacter2",0.32,0.241,0.19,"zinb","Enterobacter",0.56,"ns",0.2518119729938,24,0,"IgA",0.317025440313112,0.00234222156167406
"Acinetobacter2",0.008,0.087,0.93,"zinb","Acinetobacter",0.970434782608696,"ns",0.0130336457520517,24,0,"IgA",0.219178082191781,0.000272138185189387
"Corynebacterium_12",-0.068,0.085,0.42,"zinb","Corynebacterium_1",0.69,"ns",0.161150909262745,24,0,"IgA",0.673189823874755,0.000231099769733505
"Clostridium_sensu_stricto_12",0.113,0.103,0.27,"zinb","Clostridium_sensu_stricto_1",0.589090909090909,"ns",0.229817679287632,24,0,"IgA",0.295499021526419,0.00403360354022749
"Atopobium2",-0.574,0.247,0.022,"zinb","Atopobium",0.396,"ns",0.402304814074488,24,0,"IgA",0.217221135029354,0.000386173590344088
"Actinomyces2",0.001,0.092,0.99,"zinb","Actinomyces",0.99,"ns",0.00436480540245009,24,0,"IgA",0.301369863013699,0.000704021623283737
"Finegoldia2",-0.08,0.161,0.62,"zinb","Finegoldia",0.875294117647059,"ns",0.057845990168414,24,0,"IgA",0.26027397260274,6.03092678323278e-05
"Dolosigranulum2",-0.169,0.146,0.25,"zinb","Dolosigranulum",0.589090909090909,"ns",0.229817679287632,24,0,"IgA",0.401174168297456,0.000136627878707442
"Anaerococcus2",-0.291,0.159,0.07,"zinb","Anaerococcus",0.498,"ns",0.302770657240282,24,0,"IgA",0.223091976516634,3.65585910014789e-05
"Peptoniphilus2",-0.27,0.155,0.083,"zinb","Peptoniphilus",0.498,"ns",0.302770657240282,24,0,"IgA",0.23091976516634,2.71147575838555e-05
