"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"unassigned_Lachnospiraceae",-0.008,0.022,0.73,"zinb","unassigned_Lachnospiraceae",0.760416666666667,"ns",0.118948372919112,25,0,"age",0.426395939086294,0.0188830203380157
"Gemella",-0.12,0.02,9.1e-09,"zinb","Gemella",3.25e-08,"negatively correlated",7.48811663902113,25,0,"age",0.558375634517767,0.000636341728339171
"Enterobacter",-0.05,0.017,0.004,"zinb","Enterobacter",0.00714285714285714,"negatively correlated",2.14612803567824,25,0,"age",0.314720812182741,0.0205291106526952
"Parabacteroides",-0.051,0.016,0.0013,"zinb","Parabacteroides",0.0025,"negatively correlated",2.60205999132796,25,0,"age",0.477157360406091,0.0374706625894009
"Corynebacterium_1",-0.164,0.023,4e-11,"zinb","Corynebacterium_1",1.66666666666667e-10,"negatively correlated",9.77815125038364,25,0,"age",0.350253807106599,4.8757808385478e-05
"Clostridium_sensu_stricto_1",-0.014,0.024,0.56,"zinb","Clostridium_sensu_stricto_1",0.636363636363636,"ns",0.196294645143968,25,0,"age",0.451776649746193,0.0199927423917774
"Citrobacter",-0.013,0.021,0.53,"zinb","Citrobacter",0.630952380952381,"ns",0.200003416461093,25,0,"age",0.213197969543147,0.0205581489012215
"Granulicatella",-0.063,0.015,4.9e-05,"zinb","Granulicatella",0.0001225,"negatively correlated",3.91186391129945,25,0,"age",0.233502538071066,0.000219819744972167
"Atopobium",0.015,0.021,0.48,"zinb","Atopobium",0.6,"ns",0.221848749616356,25,0,"age",0.319796954314721,0.000201985426985511
"Actinomyces",-0.234,0.032,1.1e-11,"zinb","Actinomyces",5.5e-11,"negatively correlated",10.2596373105058,25,0,"age",0.456852791878173,0.00115487616358429
"Eggerthella",0.146,0.018,2.3e-13,"zinb","Eggerthella",1.91666666666667e-12,"positively correlated",11.71745341003,25,0,"age",0.304568527918782,0.000438738050061461
"Negativicoccus",0.058,0.021,0.0061,"zinb","Negativicoccus",0.0101666666666667,"positively correlated",1.99282141537288,25,0,"age",0.208121827411168,0.00208063665972743
"Prevotella",0.256,0.078,0.0013,"zinb","Prevotella",0.0025,"positively correlated",2.60205999132796,25,0,"age",0.233502538071066,0.000134274688721801
"Bifidobacterium1",-0.315,0.162,0.057,"zinb","Bifidobacterium",0.3,"ns",0.522878745280338,25,0,"seroconv",0.893401015228426,0.151326036254132
"Escherichia/Shigella1",0.354,0.241,0.15,"zinb","Escherichia/Shigella",0.535714285714286,"ns",0.271066772286538,25,0,"seroconv",0.868020304568528,0.214359376289658
"Streptococcus1",-0.393,0.447,0.38,"nb","Streptococcus",0.863636363636364,"ns",0.0636690798693772,25,0,"seroconv",0.974619289340102,0.0346479762205668
"Staphylococcus1",-0.34,0.636,0.6,"zinb","Staphylococcus",0.882352941176471,"ns",0.0543576623225926,25,0,"seroconv",0.766497461928934,0.0104984103093321
"Bacteroides1",0.178,0.249,0.48,"zinb","Bacteroides",0.882352941176471,"ns",0.0543576623225926,25,0,"seroconv",0.634517766497462,0.197510877230103
"Veillonella1",-0.306,0.451,0.5,"zinb","Veillonella",0.882352941176471,"ns",0.0543576623225926,25,0,"seroconv",0.888324873096447,0.138542099124326
"Lactobacillus1",-0.178,0.559,0.75,"zinb","Lactobacillus",0.9625,"ns",0.0165992618194617,25,0,"seroconv",0.50761421319797,0.013812863606309
"Collinsella1",0.04,0.637,0.95,"zinb","Collinsella",0.989583333333333,"ns",0.00454762775072063,25,0,"seroconv",0.258883248730964,0.0156003200957538
"Haemophilus1",0.12,0.886,0.89,"zinb","Haemophilus",0.989583333333333,"ns",0.00454762775072063,25,0,"seroconv",0.644670050761421,0.0267670371374601
"Klebsiella1",-0.696,1.272,0.59,"zinb","Klebsiella",0.882352941176471,"ns",0.0543576623225926,25,0,"seroconv",0.482233502538071,0.0623040407230987
"Enterococcus1",1.92,0.954,0.05,"zinb","Enterococcus",0.3,"ns",0.522878745280338,25,0,"seroconv",0.6751269035533,0.00966338614926401
"Rothia1",-0.827,0.606,0.18,"zinb","Rothia",0.5625,"ns",0.2498774732166,25,0,"seroconv",0.695431472081218,0.00261846171610805
"unassigned_Lachnospiraceae1",-0.167,0.558,0.77,"zinb","unassigned_Lachnospiraceae",0.9625,"ns",0.0165992618194617,25,0,"seroconv",0.426395939086294,0.0188830203380157
"Gemella1",-0.56,0.594,0.35,"zinb","Gemella",0.863636363636364,"ns",0.0636690798693772,25,0,"seroconv",0.558375634517767,0.000636341728339171
"Enterobacter1",-0.059,0.58,0.92,"zinb","Enterobacter",0.989583333333333,"ns",0.00454762775072063,25,0,"seroconv",0.314720812182741,0.0205291106526952
"Parabacteroides1",0.29,0.466,0.54,"zinb","Parabacteroides",0.882352941176471,"ns",0.0543576623225926,25,0,"seroconv",0.477157360406091,0.0374706625894009
"Corynebacterium_11",-1.351,0.701,0.06,"zinb","Corynebacterium_1",0.3,"ns",0.522878745280338,25,0,"seroconv",0.350253807106599,4.8757808385478e-05
"Clostridium_sensu_stricto_11",0.283,0.464,0.54,"zinb","Clostridium_sensu_stricto_1",0.882352941176471,"ns",0.0543576623225926,25,0,"seroconv",0.451776649746193,0.0199927423917774
"Citrobacter1",0.008,0.725,0.99,"zinb","Citrobacter",0.99,"ns",0.00436480540245009,25,0,"seroconv",0.213197969543147,0.0205581489012215
"Granulicatella1",0.67,0.645,0.3,"zinb","Granulicatella",0.833333333333333,"ns",0.0791812460476249,25,0,"seroconv",0.233502538071066,0.000219819744972167
"Atopobium1",-1.636,0.89,0.072,"zinb","Atopobium",0.3,"ns",0.522878745280338,25,0,"seroconv",0.319796954314721,0.000201985426985511
"Actinomyces1",-0.952,0.392,0.019,"zinb","Actinomyces",0.3,"ns",0.522878745280338,25,0,"seroconv",0.456852791878173,0.00115487616358429
"Eggerthella1",0.733,0.357,0.045,"zinb","Eggerthella",0.3,"ns",0.522878745280338,25,0,"seroconv",0.304568527918782,0.000438738050061461
"Negativicoccus1",-0.125,0.55,0.82,"zinb","Negativicoccus",0.976190476190476,"ns",0.010465433678165,25,0,"seroconv",0.208121827411168,0.00208063665972743
"Prevotella1",0.24,0.603,0.69,"zinb","Prevotella",0.958333333333333,"ns",0.0184834056940132,25,0,"seroconv",0.233502538071066,0.000134274688721801
"Bifidobacterium2",0.012,0.041,0.78,"zinb","Bifidobacterium",0.985263157894737,"ns",0.00644775655074254,25,1,"IgA",0.893401015228426,0.151381515386467
"Escherichia/Shigella2",0.029,0.068,0.67,"zinb","Escherichia/Shigella",0.974117647058824,"ns",0.0113885889294126,25,1,"IgA",0.868020304568528,0.214435155525483
"Streptococcus2",-0.04,0.125,0.75,"nb","Streptococcus",0.985263157894737,"ns",0.00644775655074254,25,1,"IgA",0.974619289340102,0.035227581743317
"Staphylococcus2",-0.076,0.178,0.67,"zinb","Staphylococcus",0.974117647058824,"ns",0.0113885889294126,25,1,"IgA",0.766497461928934,0.0105288849860172
"Bacteroides2",-0.001,0.069,0.99,"zinb","Bacteroides",0.99,"ns",0.00436480540245009,25,1,"IgA",0.634517766497462,0.197541651588457
"Veillonella2",-0.091,0.127,0.47,"zinb","Veillonella",0.974117647058824,"ns",0.0113885889294126,25,1,"IgA",0.888324873096447,0.138666695982406
"Lactobacillus2",0.138,0.146,0.35,"zinb","Lactobacillus",0.933333333333333,"ns",0.0299632233774433,25,1,"IgA",0.50761421319797,0.0138297821008855
"Collinsella2",0.092,0.194,0.64,"zinb","Collinsella",0.974117647058824,"ns",0.0113885889294126,25,1,"IgA",0.258883248730964,0.0156043149927426
"Haemophilus2",-0.028,0.251,0.91,"zinb","Haemophilus",0.99,"ns",0.00436480540245009,25,1,"IgA",0.644670050761421,0.0267758461698083
"Klebsiella2",0.061,0.361,0.87,"zinb","Klebsiella",0.99,"ns",0.00436480540245009,25,1,"IgA",0.482233502538071,0.0623562943414961
"Enterococcus2",0.481,0.267,0.078,"zinb","Enterococcus",0.88,"ns",0.0555173278498314,25,1,"IgA",0.6751269035533,0.00969408734303686
"Rothia2",-0.18,0.172,0.3,"zinb","Rothia",0.933333333333333,"ns",0.0299632233774433,25,1,"IgA",0.695431472081218,0.00262627860785464
"unassigned_Lachnospiraceae2",0.065,0.149,0.66,"zinb","unassigned_Lachnospiraceae",0.974117647058824,"ns",0.0113885889294126,25,1,"IgA",0.426395939086294,0.0188874240866092
"Gemella2",-0.26,0.161,0.11,"zinb","Gemella",0.88,"ns",0.0555173278498314,25,1,"IgA",0.558375634517767,0.000654204550922404
"Enterobacter2",0.061,0.154,0.69,"zinb","Enterobacter",0.974117647058824,"ns",0.0113885889294126,25,1,"IgA",0.314720812182741,0.0206151451464859
"Parabacteroides2",0.023,0.133,0.87,"zinb","Parabacteroides",0.99,"ns",0.00436480540245009,25,1,"IgA",0.477157360406091,0.0374759566198678
"Corynebacterium_12",-0.374,0.201,0.068,"zinb","Corynebacterium_1",0.88,"ns",0.0555173278498314,25,1,"IgA",0.350253807106599,4.89157033009489e-05
"Clostridium_sensu_stricto_12",0.003,0.129,0.98,"zinb","Clostridium_sensu_stricto_1",0.99,"ns",0.00436480540245009,25,1,"IgA",0.451776649746193,0.0200060454633687
"Citrobacter2",-0.254,0.214,0.24,"zinb","Citrobacter",0.933333333333333,"ns",0.0299632233774433,25,1,"IgA",0.213197969543147,0.0205619979625037
"Granulicatella2",0.343,0.349,0.33,"zinb","Granulicatella",0.933333333333333,"ns",0.0299632233774433,25,1,"IgA",0.233502538071066,0.000219924955131233
"Atopobium2",-0.147,0.251,0.56,"zinb","Atopobium",0.974117647058824,"ns",0.0113885889294126,25,1,"IgA",0.319796954314721,0.000202451631231628
"Eggerthella2",0.145,0.127,0.26,"zinb","Eggerthella",0.933333333333333,"ns",0.0299632233774433,25,1,"IgA",0.304568527918782,0.000439009339588804
"Negativicoccus2",-0.12,0.15,0.43,"zinb","Negativicoccus",0.974117647058824,"ns",0.0113885889294126,25,1,"IgA",0.208121827411168,0.00208621613322451
"Prevotella2",0.153,0.162,0.35,"zinb","Prevotella",0.933333333333333,"ns",0.0299632233774433,25,1,"IgA",0.233502538071066,0.000134619639795312
