"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"unassigned_Enterobacteriaceae",-0.01,0.01,0.35,"zinb","unassigned_Enterobacteriaceae",0.460526315789474,"ns",0.336745547930516,25,0,"age",0.213157894736842,0.00126164732333978
"Atopobium",0.25,0.01,5.7e-109,"zinb","Atopobium",7.125e-108,"positively correlated",107.147215131319,25,0,"age",0.215789473684211,0.000384183226687663
"Actinomyces",0.08,0.008,1.5e-22,"zinb","Actinomyces",6.25e-22,"positively correlated",21.2041199826559,25,0,"age",0.294736842105263,0.000763508666917524
"Finegoldia",0.099,0.068,0.15,"zinb","Finegoldia",0.234375,"ns",0.630088714928206,25,0,"age",0.26140350877193,4.24952576934254e-05
"Dolosigranulum",0.012,0.01,0.19,"zinb","Dolosigranulum",0.279411764705882,"ns",0.553755311753407,25,0,"age",0.413157894736842,0.000134340423545684
"Anaerococcus",0.039,0.107,0.72,"zinb","Anaerococcus",0.75,"ns",0.1249387366083,25,0,"age",0.232456140350877,6.52749005061289e-05
"Peptoniphilus",0,0.215,1,"zinb","Peptoniphilus",1,"ns",0,25,0,"age",0.214912280701754,0.000188005230786633
"Bifidobacterium1",0.069,0.037,0.063,"nb","Bifidobacterium",0.75,"ns",0.1249387366083,25,0,"seroconv",0.992105263157895,0.450266584626683
"Escherichia/Shigella1",-0.175,0.112,0.12,"zinb","Escherichia/Shigella",0.75,"ns",0.1249387366083,25,0,"seroconv",0.921929824561403,0.139370121530968
"Streptococcus1",0.086,0.1,0.39,"nb","Streptococcus",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",1,0.113700299634932
"Staphylococcus1",0.094,0.162,0.56,"nb","Staphylococcus",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.959649122807018,0.0349043883302583
"Bacteroides1",-0.135,0.245,0.58,"zinb","Bacteroides",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.340350877192982,0.0301513675655284
"Veillonella1",-0.361,0.233,0.12,"zinb","Veillonella",0.75,"ns",0.1249387366083,25,0,"seroconv",0.847368421052632,0.0781593897874106
"Lactobacillus1",0.018,0.478,0.97,"zinb","Lactobacillus",0.97,"ns",0.0132282657337552,25,0,"seroconv",0.645614035087719,0.0332338562035778
"Collinsella1",-0.5,0.255,0.051,"zinb","Collinsella",0.75,"ns",0.1249387366083,25,0,"seroconv",0.300877192982456,0.0210061378969007
"Haemophilus1",-0.102,0.507,0.84,"zinb","Haemophilus",0.954545454545455,"ns",0.020203386088287,25,0,"seroconv",0.330701754385965,0.00171592281236759
"Klebsiella1",0.014,0.221,0.95,"zinb","Klebsiella",0.97,"ns",0.0132282657337552,25,0,"seroconv",0.852631578947368,0.052457165126262
"Enterococcus1",-0.226,0.313,0.47,"zinb","Enterococcus",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.716666666666667,0.0224398883595698
"Rothia1",0.027,0.175,0.88,"zinb","Rothia",0.956521739130435,"ns",0.0193051551953867,25,0,"seroconv",0.791228070175439,0.00243930209166265
"unassigned_Lachnospiraceae1",-0.173,0.258,0.5,"zinb","unassigned_Lachnospiraceae",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.283333333333333,0.00754654660257397
"Gemella1",-0.125,0.217,0.56,"zinb","Gemella",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.642105263157895,0.000410169957876775
"Enterobacter1",-0.291,0.526,0.58,"zinb","Enterobacter",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.370175438596491,0.00354219128798271
"Acinetobacter1",-0.068,0.285,0.81,"zinb","Acinetobacter",0.954545454545455,"ns",0.020203386088287,25,0,"seroconv",0.23859649122807,0.000318247062864909
"Corynebacterium_11",0.064,0.113,0.57,"zinb","Corynebacterium_1",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.671052631578947,0.000219329284219026
"Clostridium_sensu_stricto_11",-0.188,0.28,0.5,"zinb","Clostridium_sensu_stricto_1",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.314035087719298,0.00527963680888582
"unassigned_Enterobacteriaceae1",-0.347,0.297,0.24,"zinb","unassigned_Enterobacteriaceae",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.213157894736842,0.00126164732333978
"Atopobium1",-0.207,0.57,0.72,"zinb","Atopobium",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.215789473684211,0.000384183226687663
"Actinomyces1",0.09,0.208,0.66,"zinb","Actinomyces",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.294736842105263,0.000763508666917524
"Finegoldia1",-0.242,0.335,0.47,"zinb","Finegoldia",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.26140350877193,4.24952576934254e-05
"Dolosigranulum1",-0.074,0.318,0.81,"zinb","Dolosigranulum",0.954545454545455,"ns",0.020203386088287,25,0,"seroconv",0.413157894736842,0.000134340423545684
"Anaerococcus1",-0.304,0.781,0.7,"zinb","Anaerococcus",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.232456140350877,6.52749005061289e-05
"Peptoniphilus1",-0.153,0.394,0.7,"zinb","Peptoniphilus",0.947368421052632,"ns",0.0234810958495229,25,0,"seroconv",0.214912280701754,0.000188005230786633
"Bifidobacterium2",0.004,0.008,0.65,"nb","Bifidobacterium",0.897727272727273,"ns",0.0468555808597272,25,0,"IgA",0.992105263157895,0.450266584626683
"Escherichia/Shigella2",-0.019,0.025,0.44,"zinb","Escherichia/Shigella",0.8,"ns",0.0969100130080564,25,0,"IgA",0.921929824561403,0.139370121530968
"Streptococcus2",0.012,0.022,0.6,"nb","Streptococcus",0.882352941176471,"ns",0.0543576623225926,25,0,"IgA",1,0.113700299634932
"Staphylococcus2",0.051,0.036,0.16,"nb","Staphylococcus",0.545454545454546,"ns",0.263241434774581,25,0,"IgA",0.959649122807018,0.0349043883302583
"Bacteroides2",-0.041,0.052,0.43,"zinb","Bacteroides",0.8,"ns",0.0969100130080564,25,0,"IgA",0.340350877192982,0.0301513675655284
"Veillonella2",-0.06,0.049,0.22,"zinb","Veillonella",0.545454545454546,"ns",0.263241434774581,25,0,"IgA",0.847368421052632,0.0781593897874106
"Lactobacillus2",-0.061,0.106,0.57,"zinb","Lactobacillus",0.882352941176471,"ns",0.0543576623225926,25,0,"IgA",0.645614035087719,0.0332338562035778
"Collinsella2",-0.111,0.055,0.044,"zinb","Collinsella",0.51875,"ns",0.285041890279851,25,0,"IgA",0.300877192982456,0.0210061378969007
"Haemophilus2",0.202,0.112,0.072,"zinb","Haemophilus",0.51875,"ns",0.285041890279851,25,0,"IgA",0.330701754385965,0.00171592281236759
"Klebsiella2",0.057,0.049,0.24,"zinb","Klebsiella",0.545454545454546,"ns",0.263241434774581,25,0,"IgA",0.852631578947368,0.052457165126262
"Enterococcus2",0.049,0.07,0.48,"zinb","Enterococcus",0.8,"ns",0.0969100130080564,25,0,"IgA",0.716666666666667,0.0224398883595698
"Rothia2",0.05,0.039,0.2,"zinb","Rothia",0.545454545454546,"ns",0.263241434774581,25,0,"IgA",0.791228070175439,0.00243930209166265
"unassigned_Lachnospiraceae2",-0.021,0.057,0.71,"zinb","unassigned_Lachnospiraceae",0.897727272727273,"ns",0.0468555808597272,25,0,"IgA",0.283333333333333,0.00754654660257397
"Gemella2",-0.082,0.047,0.083,"zinb","Gemella",0.51875,"ns",0.285041890279851,25,0,"IgA",0.642105263157895,0.000410169957876775
"Enterobacter2",0.086,0.117,0.46,"zinb","Enterobacter",0.8,"ns",0.0969100130080564,25,0,"IgA",0.370175438596491,0.00354219128798271
"Acinetobacter2",0.055,0.043,0.21,"zinb","Acinetobacter",0.545454545454546,"ns",0.263241434774581,25,0,"IgA",0.23859649122807,0.000318247062864909
"Corynebacterium_12",-0.009,0.025,0.72,"zinb","Corynebacterium_1",0.897727272727273,"ns",0.0468555808597272,25,0,"IgA",0.671052631578947,0.000219329284219026
"Clostridium_sensu_stricto_12",0.095,0.062,0.13,"zinb","Clostridium_sensu_stricto_1",0.545454545454546,"ns",0.263241434774581,25,0,"IgA",0.314035087719298,0.00527963680888582
"unassigned_Enterobacteriaceae2",0.091,0.065,0.16,"zinb","unassigned_Enterobacteriaceae",0.545454545454546,"ns",0.263241434774581,25,0,"IgA",0.213157894736842,0.00126164732333978
"Atopobium2",-0.313,0.125,0.013,"zinb","Atopobium",0.325,"ns",0.488116639021126,25,0,"IgA",0.215789473684211,0.000384183226687663
"Actinomyces2",-0.007,0.036,0.84,"zinb","Actinomyces",0.90625,"ns",0.0427519804209498,25,0,"IgA",0.294736842105263,0.000763508666917524
"Finegoldia2",0.02,0.074,0.79,"zinb","Finegoldia",0.897727272727273,"ns",0.0468555808597272,25,0,"IgA",0.26140350877193,4.24952576934254e-05
"Dolosigranulum2",0.022,0.07,0.76,"zinb","Dolosigranulum",0.897727272727273,"ns",0.0468555808597272,25,0,"IgA",0.413157894736842,0.000134340423545684
"Anaerococcus2",0.013,0.081,0.87,"zinb","Anaerococcus",0.90625,"ns",0.0427519804209498,25,0,"IgA",0.232456140350877,6.52749005061289e-05
"Peptoniphilus2",0.003,0.087,0.97,"zinb","Peptoniphilus",0.97,"ns",0.0132282657337552,25,0,"IgA",0.214912280701754,0.000188005230786633
