feature_id	feature	feature description	feature_full
g550	1.8.1.14	CoA-disulfide reductase	CoA-disulfide_reductase_(1.8.1.14)
g551	1.8.1.15	Mycothione reductase	Mycothione_reductase_(1.8.1.15)
g552	1.8.1.16	Glutathione amide reductase	Glutathione_amide_reductase_(1.8.1.16)
g553	1.8.1.2	Assimilatory sulfite reductase (NADPH)	Assimilatory_sulfite_reductase_(NADPH)_(1.8.1.2)
g554	1.8.1.4	Dihydrolipoyl dehydrogenase	Dihydrolipoyl_dehydrogenase_(1.8.1.4)
g555	1.8.1.7	Glutathione-disulfide reductase	Glutathione-disulfide_reductase_(1.8.1.7)
g556	1.8.1.8	Protein-disulfide reductase	Protein-disulfide_reductase_(1.8.1.8)
g557	1.8.1.9	Thioredoxin-disulfide reductase	Thioredoxin-disulfide_reductase_(1.8.1.9)
g558	1.8.2.1	Sulfite dehydrogenase	Sulfite_dehydrogenase_(1.8.2.1)
g559	1.8.2.3	Sulfide-cytochrome-c reductase (flavocytochrome c)	Sulfide-cytochrome-c_reductase_(flavocytochrome_c)_(1.8.2.3)
g560	1.8.2.4	Dimethyl sulfide:cytochrome c2 reductase	Dimethyl_sulfide:cytochrome_c2_reductase_(1.8.2.4)
g561	1.8.4.11	Peptide-methionine (S)-S-oxide reductase	Peptide-methionine_(S)-S-oxide_reductase_(1.8.4.11)
g562	1.8.4.12	Peptide-methionine (R)-S-oxide reductase	Peptide-methionine_(R)-S-oxide_reductase_(1.8.4.12)
g563	1.8.4.13	L-methionine (S)-S-oxide reductase	L-methionine_(S)-S-oxide_reductase_(1.8.4.13)
g564	1.8.4.14	L-methionine (R)-S-oxide reductase	L-methionine_(R)-S-oxide_reductase_(1.8.4.14)
g565	1.8.4.2	Protein-disulfide reductase (glutathione)	Protein-disulfide_reductase_(glutathione)_(1.8.4.2)
g566	1.8.4.8	Phosphoadenylyl-sulfate reductase (thioredoxin)	Phosphoadenylyl-sulfate_reductase_(thioredoxin)_(1.8.4.8)
g567	1.8.5.3	Dimethylsulfoxide reductase	Dimethylsulfoxide_reductase_(1.8.5.3)
g568	1.8.5.7	NO NAME	NO_NAME_(1.8.5.7)
g569	1.8.7.1	Assimilatory sulfite reductase (ferredoxin)	Assimilatory_sulfite_reductase_(ferredoxin)_(1.8.7.1)
g570	1.8.98.1	CoB--CoM heterodisulfide reductase	CoB--CoM_heterodisulfide_reductase_(1.8.98.1)
g571	1.8.99.2	Adenylyl-sulfate reductase	Adenylyl-sulfate_reductase_(1.8.99.2)
g572	1.8.99.3	Hydrogensulfite reductase	Hydrogensulfite_reductase_(1.8.99.3)
g573	1.8.99.5	Dissimilatory sulfite reductase	Dissimilatory_sulfite_reductase_(1.8.99.5)
g574	1.9.3.1	Cytochrome-c oxidase	Cytochrome-c_oxidase_(1.9.3.1)
g575	1.9.6.1	Nitrate reductase (cytochrome)	Nitrate_reductase_(cytochrome)_(1.9.6.1)
g576	1.97.1.12	Photosystem I	Photosystem_I_(1.97.1.12)
g577	1.97.1.4	[Formate-C-acetyltransferase]-activating enzyme	[Formate-C-acetyltransferase]-activating_enzyme_(1.97.1.4)
g578	1.97.1.9	Selenate reductase	Selenate_reductase_(1.97.1.9)
g579	2.1.1.101	Macrocin O-methyltransferase	Macrocin_O-methyltransferase_(2.1.1.101)
g580	2.1.1.104	Caffeoyl-CoA O-methyltransferase	Caffeoyl-CoA_O-methyltransferase_(2.1.1.104)
g581	2.1.1.107	Uroporphyrinogen-III C-methyltransferase	Uroporphyrinogen-III_C-methyltransferase_(2.1.1.107)
g582	2.1.1.10	Homocysteine S-methyltransferase	Homocysteine_S-methyltransferase_(2.1.1.10)
g583	2.1.1.113	Site-specific DNA-methyltransferase (cytosine-N(4)-specific)	Site-specific_DNA-methyltransferase_(cytosine-N(4)-specific)_(2.1.1.113)
g584	2.1.1.11	Magnesium protoporphyrin IX methyltransferase	Magnesium_protoporphyrin_IX_methyltransferase_(2.1.1.11)
g585	2.1.1.130	Precorrin-2 C(20)-methyltransferase	Precorrin-2_C(20)-methyltransferase_(2.1.1.130)
g586	2.1.1.131	Precorrin-3B C(17)-methyltransferase	Precorrin-3B_C(17)-methyltransferase_(2.1.1.131)
g587	2.1.1.132	Precorrin-6B C(5,15)-methyltransferase (decarboxylating)	Precorrin-6B_C(5,15)-methyltransferase_(decarboxylating)_(2.1.1.132)
g588	2.1.1.133	Precorrin-4 C(11)-methyltransferase	Precorrin-4_C(11)-methyltransferase_(2.1.1.133)
g589	2.1.1.13	Methionine synthase	Methionine_synthase_(2.1.1.13)
g590	2.1.1.144	Trans-aconitate 2-methyltransferase	Trans-aconitate_2-methyltransferase_(2.1.1.144)
g591	2.1.1.148	Thymidylate synthase (FAD)	Thymidylate_synthase_(FAD)_(2.1.1.148)
g592	2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	5-methyltetrahydropteroyltriglutamate--homocysteine_S-methyltransferase_(2.1.1.14)
g593	2.1.1.151	Cobalt-factor II C(20)-methyltransferase	Cobalt-factor_II_C(20)-methyltransferase_(2.1.1.151)
g594	2.1.1.152	Precorrin-6A synthase (deacetylating)	Precorrin-6A_synthase_(deacetylating)_(2.1.1.152)
g595	2.1.1.156	Glycine/sarcosine N-methyltransferase	Glycine/sarcosine_N-methyltransferase_(2.1.1.156)
g596	2.1.1.157	Sarcosine/dimethylglycine N-methyltransferase	Sarcosine/dimethylglycine_N-methyltransferase_(2.1.1.157)
g597	2.1.1.163	Demethylmenaquinone methyltransferase	Demethylmenaquinone_methyltransferase_(2.1.1.163)
g598	2.1.1.164	Demethylrebeccamycin-D-glucose O-methyltransferase	Demethylrebeccamycin-D-glucose_O-methyltransferase_(2.1.1.164)
g599	2.1.1.166	23S rRNA (uridine(2552)-2'-O)-methyltransferase	23S_rRNA_(uridine(2552)-2'-O)-methyltransferase_(2.1.1.166)
g600	2.1.1.170	16S rRNA (guanine(527)-N(7))-methyltransferase	16S_rRNA_(guanine(527)-N(7))-methyltransferase_(2.1.1.170)
g601	2.1.1.171	16S rRNA (guanine(966)-N(2))-methyltransferase	16S_rRNA_(guanine(966)-N(2))-methyltransferase_(2.1.1.171)
g602	2.1.1.172	16S rRNA (guanine(1207)-N(2))-methyltransferase	16S_rRNA_(guanine(1207)-N(2))-methyltransferase_(2.1.1.172)
g603	2.1.1.173	23S rRNA (guanine(2445)-N(2))-methyltransferase	23S_rRNA_(guanine(2445)-N(2))-methyltransferase_(2.1.1.173)
g604	2.1.1.174	23S rRNA (guanine(1835)-N(2))-methyltransferase	23S_rRNA_(guanine(1835)-N(2))-methyltransferase_(2.1.1.174)
g605	2.1.1.176	16S rRNA (cytosine(967)-C(5))-methyltransferase	16S_rRNA_(cytosine(967)-C(5))-methyltransferase_(2.1.1.176)
g606	2.1.1.177	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase	23S_rRNA_(pseudouridine(1915)-N(3))-methyltransferase_(2.1.1.177)
g607	2.1.1.178	16S rRNA (cytosine(1407)-C(5))-methyltransferase	16S_rRNA_(cytosine(1407)-C(5))-methyltransferase_(2.1.1.178)
g608	2.1.1.179	16S rRNA (guanine(1405)-N(7))-methyltransferase	16S_rRNA_(guanine(1405)-N(7))-methyltransferase_(2.1.1.179)
g609	2.1.1.181	23S rRNA (adenine(1618)-N(6))-methyltransferase	23S_rRNA_(adenine(1618)-N(6))-methyltransferase_(2.1.1.181)
g610	2.1.1.182	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	16S_rRNA_(adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase_(2.1.1.182)
g611	2.1.1.184	23S rRNA (adenine(2085)-N(6))-dimethyltransferase	23S_rRNA_(adenine(2085)-N(6))-dimethyltransferase_(2.1.1.184)
g612	2.1.1.185	23S rRNA (guanosine(2251)-2'-O)-methyltransferase	23S_rRNA_(guanosine(2251)-2'-O)-methyltransferase_(2.1.1.185)
g613	2.1.1.186	23S rRNA (cytidine(2498)-2'-O)-methyltransferase	23S_rRNA_(cytidine(2498)-2'-O)-methyltransferase_(2.1.1.186)
g614	2.1.1.187	23S rRNA (guanine(745)-N(1))-methyltransferase	23S_rRNA_(guanine(745)-N(1))-methyltransferase_(2.1.1.187)
g615	2.1.1.188	23S rRNA (guanine(748)-N(1))-methyltransferase	23S_rRNA_(guanine(748)-N(1))-methyltransferase_(2.1.1.188)
g616	2.1.1.189	23S rRNA (uracil(747)-C(5))-methyltransferase	23S_rRNA_(uracil(747)-C(5))-methyltransferase_(2.1.1.189)
g617	2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase	23S_rRNA_(uracil(1939)-C(5))-methyltransferase_(2.1.1.190)
g618	2.1.1.191	23S rRNA (cytosine(1962)-C(5))-methyltransferase	23S_rRNA_(cytosine(1962)-C(5))-methyltransferase_(2.1.1.191)
g619	2.1.1.192	23S rRNA (adenine(2503)-C(2))-methyltransferase	23S_rRNA_(adenine(2503)-C(2))-methyltransferase_(2.1.1.192)
g620	2.1.1.193	16S rRNA (uracil(1498)-N(3))-methyltransferase	16S_rRNA_(uracil(1498)-N(3))-methyltransferase_(2.1.1.193)
g621	2.1.1.195	Cobalt-precorrin-5B (C(1))-methyltransferase	Cobalt-precorrin-5B_(C(1))-methyltransferase_(2.1.1.195)
g622	2.1.1.197	Malonyl-[acyl-carrier protein] O-methyltransferase	Malonyl-[acyl-carrier_protein]_O-methyltransferase_(2.1.1.197)
g623	2.1.1.198	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	16S_rRNA_(cytidine(1402)-2'-O)-methyltransferase_(2.1.1.198)
g624	2.1.1.199	16S rRNA (cytosine(1402)-N(4))-methyltransferase	16S_rRNA_(cytosine(1402)-N(4))-methyltransferase_(2.1.1.199)
g625	2.1.1.200	tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase	tRNA_(cytidine(32)/uridine(32)-2'-O)-methyltransferase_(2.1.1.200)
g626	2.1.1.201	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	2-methoxy-6-polyprenyl-1,4-benzoquinol_methylase_(2.1.1.201)
g627	2.1.1.207	tRNA (cytidine(34)-2'-O)-methyltransferase	tRNA_(cytidine(34)-2'-O)-methyltransferase_(2.1.1.207)
g628	2.1.1.208	23S rRNA (uridine(2479)-2'-O)-methyltransferase	23S_rRNA_(uridine(2479)-2'-O)-methyltransferase_(2.1.1.208)
g629	2.1.1.210	Demethylspheroidene O-methyltransferase	Demethylspheroidene_O-methyltransferase_(2.1.1.210)
g630	2.1.1.217	tRNA (adenine(22)-N(1))-methyltransferase	tRNA_(adenine(22)-N(1))-methyltransferase_(2.1.1.217)
g631	2.1.1.220	tRNA (adenine(58)-N(1))-methyltransferase	tRNA_(adenine(58)-N(1))-methyltransferase_(2.1.1.220)
g632	2.1.1.222	2-polyprenyl-6-hydroxyphenol methylase	2-polyprenyl-6-hydroxyphenol_methylase_(2.1.1.222)
g633	2.1.1.223	tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase	tRNA(1)(Val)_(adenine(37)-N(6))-methyltransferase_(2.1.1.223)
g634	2.1.1.224	23S rRNA (adenine(2503)-C(8))-methyltransferase	23S_rRNA_(adenine(2503)-C(8))-methyltransferase_(2.1.1.224)
g635	2.1.1.226	23S rRNA (cytidine(1920)-2'-O)-methyltransferase	23S_rRNA_(cytidine(1920)-2'-O)-methyltransferase_(2.1.1.226)
g636	2.1.1.227	16S rRNA (cytidine(1409)-2'-O)-methyltransferase	16S_rRNA_(cytidine(1409)-2'-O)-methyltransferase_(2.1.1.227)
g637	2.1.1.228	tRNA (guanine(37)-N(1))-methyltransferase	tRNA_(guanine(37)-N(1))-methyltransferase_(2.1.1.228)
g638	2.1.1.230	23S rRNA (adenosine(1067)-2'-O)-methyltransferase	23S_rRNA_(adenosine(1067)-2'-O)-methyltransferase_(2.1.1.230)
g639	2.1.1.234	N,N-dimethyltransferase	N,N-dimethyltransferase_(2.1.1.234)
g640	2.1.1.235	dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase	dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose_N,N-dimethyltransferase_(2.1.1.235)
g641	2.1.1.242	16S rRNA (guanine(1516)-N(2))-methyltransferase	16S_rRNA_(guanine(1516)-N(2))-methyltransferase_(2.1.1.242)
g642	2.1.1.254	Erythromycin 3''-O-methyltransferase	Erythromycin_3''-O-methyltransferase_(2.1.1.254)
g643	2.1.1.258	Co-methyltransferase	Co-methyltransferase_(2.1.1.258)
g644	2.1.1.264	23S rRNA (guanine(2069)-N(7))-methyltransferase	23S_rRNA_(guanine(2069)-N(7))-methyltransferase_(2.1.1.264)
g645	2.1.1.265	Tellurite methyltransferase	Tellurite_methyltransferase_(2.1.1.265)
g646	2.1.1.266	23S rRNA (adenine(2030)-N(6))-methyltransferase	23S_rRNA_(adenine(2030)-N(6))-methyltransferase_(2.1.1.266)
g647	2.1.1.271	Cobalt-precorrin-4 methyltransferase	Cobalt-precorrin-4_methyltransferase_(2.1.1.271)
g648	2.1.1.288	Aklanonic acid methyltransferase	Aklanonic_acid_methyltransferase_(2.1.1.288)
g649	2.1.1.294	3-phospho-methyltransferase	3-phospho-methyltransferase_(2.1.1.294)
g650	2.1.1.297	Peptide chain release factor N(5)-glutamine methyltransferase	Peptide_chain_release_factor_N(5)-glutamine_methyltransferase_(2.1.1.297)
g651	2.1.1.298	Ribosomal protein L3 N(5)-glutamine methyltransferase	Ribosomal_protein_L3_N(5)-glutamine_methyltransferase_(2.1.1.298)
g652	2.1.1.33	tRNA (guanine(46)-N(7))-methyltransferase	tRNA_(guanine(46)-N(7))-methyltransferase_(2.1.1.33)
g653	2.1.1.34	tRNA (guanosine(18)-2'-O)-methyltransferase	tRNA_(guanosine(18)-2'-O)-methyltransferase_(2.1.1.34)
g654	2.1.1.35	tRNA (uracil(54)-C(5))-methyltransferase	tRNA_(uracil(54)-C(5))-methyltransferase_(2.1.1.35)
g655	2.1.1.37	DNA (cytosine-5-)-methyltransferase	DNA_(cytosine-5-)-methyltransferase_(2.1.1.37)
g656	2.1.1.43	Histone-lysine N-methyltransferase	Histone-lysine_N-methyltransferase_(2.1.1.43)
g657	2.1.1.44	L-histidine N(alpha)-methyltransferase	L-histidine_N(alpha)-methyltransferase_(2.1.1.44)
g658	2.1.1.45	Thymidylate synthase	Thymidylate_synthase_(2.1.1.45)
g659	2.1.1.51	Transferred entry	Transferred_entry_(2.1.1.51)
g660	2.1.1.52	Transferred entry	Transferred_entry_(2.1.1.52)
g661	2.1.1.56	 ;  Q06996, L SENDF    ;  O55528, L SENDO	_;__Q06996,_L_SENDF____;__O55528,_L_SENDO_(2.1.1.56)
g662	2.1.1.61	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	tRNA_(5-methylaminomethyl-2-thiouridylate)-methyltransferase_(2.1.1.61)
g663	2.1.1.62	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase	mRNA_(2'-O-methyladenosine-N(6)-)-methyltransferase_(2.1.1.62)
g664	2.1.1.63	Methylated-DNA--[protein]-cysteine S-methyltransferase	Methylated-DNA--[protein]-cysteine_S-methyltransferase_(2.1.1.63)
g665	2.1.1.64	3-demethylubiquinol 3-O-methyltransferase	3-demethylubiquinol_3-O-methyltransferase_(2.1.1.64)
g666	2.1.1.66	Transferred entry	Transferred_entry_(2.1.1.66)
g667	2.1.1.67	Thiopurine S-methyltransferase	Thiopurine_S-methyltransferase_(2.1.1.67)
g668	2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific)	Site-specific_DNA-methyltransferase_(adenine-specific)_(2.1.1.72)
g669	2.1.1.74	(FADH(2)-oxidizing)	(FADH(2)-oxidizing)_(2.1.1.74)
g670	2.1.1.77	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	Protein-L-isoaspartate(D-aspartate)_O-methyltransferase_(2.1.1.77)
g671	2.1.1.79	Cyclopropane-fatty-acyl-phospholipid synthase	Cyclopropane-fatty-acyl-phospholipid_synthase_(2.1.1.79)
g672	2.1.1.80	Protein-glutamate O-methyltransferase	Protein-glutamate_O-methyltransferase_(2.1.1.80)
g673	2.1.1.8	Histamine N-methyltransferase	Histamine_N-methyltransferase_(2.1.1.8)
g674	2.1.1.n11	Methylphosphotriester-DNA--[protein]-cysteine S-methyltransferase	Methylphosphotriester-DNA--[protein]-cysteine_S-methyltransferase_(2.1.1.n11)
g675	2.1.2.10	Aminomethyltransferase	Aminomethyltransferase_(2.1.2.10)
g676	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase	3-methyl-2-oxobutanoate_hydroxymethyltransferase_(2.1.2.11)
g677	2.1.2.13	UDP-4-amino-4-deoxy-L-arabinose formyltransferase	UDP-4-amino-4-deoxy-L-arabinose_formyltransferase_(2.1.2.13)
g678	2.1.2.1	Glycine hydroxymethyltransferase	Glycine_hydroxymethyltransferase_(2.1.2.1)
g679	2.1.2.2	Phosphoribosylglycinamide formyltransferase	Phosphoribosylglycinamide_formyltransferase_(2.1.2.2)
g680	2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase	Phosphoribosylaminoimidazolecarboxamide_formyltransferase_(2.1.2.3)
g681	2.1.2.5	Glutamate formimidoyltransferase	Glutamate_formimidoyltransferase_(2.1.2.5)
g682	2.1.2.8	Deoxycytidylate 5-hydroxymethyltransferase	Deoxycytidylate_5-hydroxymethyltransferase_(2.1.2.8)
g683	2.1.2.9	Methionyl-tRNA formyltransferase	Methionyl-tRNA_formyltransferase_(2.1.2.9)
g684	2.1.3.10	Malonyl-S-ACP:biotin-protein carboxyltransferase	Malonyl-S-ACP:biotin-protein_carboxyltransferase_(2.1.3.10)
g685	2.1.3.15	NO NAME	NO_NAME_(2.1.3.15)
g686	2.1.3.1	Methylmalonyl-CoA carboxytransferase	Methylmalonyl-CoA_carboxytransferase_(2.1.3.1)
g687	2.1.3.2	Aspartate carbamoyltransferase	Aspartate_carbamoyltransferase_(2.1.3.2)
g688	2.1.3.3	Ornithine carbamoyltransferase	Ornithine_carbamoyltransferase_(2.1.3.3)
g689	2.1.3.6	Putrescine carbamoyltransferase	Putrescine_carbamoyltransferase_(2.1.3.6)
g690	2.1.3.9	N-acetylornithine carbamoyltransferase	N-acetylornithine_carbamoyltransferase_(2.1.3.9)
g691	2.1.4.1	Glycine amidinotransferase	Glycine_amidinotransferase_(2.1.4.1)
g692	2.1.4.2	Scyllo-inosamine-4-phosphate amidinotransferase	Scyllo-inosamine-4-phosphate_amidinotransferase_(2.1.4.2)
g693	2.10.1.1	Molybdopterin molybdotransferase	Molybdopterin_molybdotransferase_(2.10.1.1)
g694	2.2.1.10	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate_synthase_(2.2.1.10)
g695	2.2.1.1	Transketolase	Transketolase_(2.2.1.1)
g696	2.2.1.2	Transaldolase	Transaldolase_(2.2.1.2)
g697	2.2.1.3	Formaldehyde transketolase	Formaldehyde_transketolase_(2.2.1.3)
g698	2.2.1.6	Acetolactate synthase	Acetolactate_synthase_(2.2.1.6)
g699	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose-5-phosphate_synthase_(2.2.1.7)
g700	2.2.1.9	synthase	synthase_(2.2.1.9)
g701	2.3.1.102	N(6)-hydroxylysine O-acetyltransferase	N(6)-hydroxylysine_O-acetyltransferase_(2.3.1.102)
g702	2.3.1.109	Arginine N-succinyltransferase	Arginine_N-succinyltransferase_(2.3.1.109)
g703	2.3.1.111	Mycocerosate synthase	Mycocerosate_synthase_(2.3.1.111)
g704	2.3.1.117	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase_(2.3.1.117)
g705	2.3.1.118	N-hydroxyarylamine O-acetyltransferase	N-hydroxyarylamine_O-acetyltransferase_(2.3.1.118)
g706	2.3.1.122	Trehalose O-mycolyltransferase	Trehalose_O-mycolyltransferase_(2.3.1.122)
g707	2.3.1.128	Ribosomal-protein-alanine N-acetyltransferase	Ribosomal-protein-alanine_N-acetyltransferase_(2.3.1.128)
g708	2.3.1.129	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine_O-acyltransferase_(2.3.1.129)
g709	2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase	Dihydrolipoyllysine-residue_acetyltransferase_(2.3.1.12)
g710	2.3.1.136	Polysialic-acid O-acetyltransferase	Polysialic-acid_O-acetyltransferase_(2.3.1.136)
g711	2.3.1.157	Glucosamine-1-phosphate N-acetyltransferase	Glucosamine-1-phosphate_N-acetyltransferase_(2.3.1.157)
g712	2.3.1.15	Glycerol-3-phosphate 1-O-acyltransferase	Glycerol-3-phosphate_1-O-acyltransferase_(2.3.1.15)
g713	2.3.1.164	Isopenicillin-N N-acyltransferase	Isopenicillin-N_N-acyltransferase_(2.3.1.164)
g714	2.3.1.168	Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase	Dihydrolipoyllysine-residue_(2-methylpropanoyl)transferase_(2.3.1.168)
g715	2.3.1.169	CO-methylating acetyl-CoA synthase	CO-methylating_acetyl-CoA_synthase_(2.3.1.169)
g716	2.3.1.16	Acetyl-CoA C-acyltransferase	Acetyl-CoA_C-acyltransferase_(2.3.1.16)
g717	2.3.1.174	3-oxoadipyl-CoA thiolase	3-oxoadipyl-CoA_thiolase_(2.3.1.174)
g718	2.3.1.179	Beta-ketoacyl-[acyl-carrier-protein] synthase II	Beta-ketoacyl-[acyl-carrier-protein]_synthase_II_(2.3.1.179)
g719	2.3.1.180	Beta-ketoacyl-[acyl-carrier-protein] synthase III	Beta-ketoacyl-[acyl-carrier-protein]_synthase_III_(2.3.1.180)
g720	2.3.1.181	Lipoyl(octanoyl) transferase	Lipoyl(octanoyl)_transferase_(2.3.1.181)
g721	2.3.1.182	(R)-citramalate synthase	(R)-citramalate_synthase_(2.3.1.182)
g722	2.3.1.183	Phosphinothricin acetyltransferase	Phosphinothricin_acetyltransferase_(2.3.1.183)
g723	2.3.1.184	Acyl-homoserine-lactone synthase	Acyl-homoserine-lactone_synthase_(2.3.1.184)
g724	2.3.1.187	Acetyl-S-ACP:malonate ACP transferase	Acetyl-S-ACP:malonate_ACP_transferase_(2.3.1.187)
g725	2.3.1.189	Mycothiol synthase	Mycothiol_synthase_(2.3.1.189)
g726	2.3.1.18	Galactoside O-acetyltransferase	Galactoside_O-acetyltransferase_(2.3.1.18)
g727	2.3.1.190	Acetoin dehydrogenase	Acetoin_dehydrogenase_(2.3.1.190)
g728	2.3.1.191	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	UDP-3-O-(3-hydroxymyristoyl)glucosamine_N-acyltransferase_(2.3.1.191)
g729	2.3.1.193	tRNA(Met) cytidine acetyltransferase	tRNA(Met)_cytidine_acetyltransferase_(2.3.1.193)
g730	2.3.1.197	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose_3-N-acetyltransferase_(2.3.1.197)
g731	2.3.1.19	Phosphate butyryltransferase	Phosphate_butyryltransferase_(2.3.1.19)
g732	2.3.1.1	Amino-acid N-acetyltransferase	Amino-acid_N-acetyltransferase_(2.3.1.1)
g733	2.3.1.200	Lipoyl amidotransferase	Lipoyl_amidotransferase_(2.3.1.200)
g734	2.3.1.201	UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase	UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate_N-acetyltransferase_(2.3.1.201)
g735	2.3.1.202	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine_N-acetyltransferase_(2.3.1.202)
g736	2.3.1.203	UDP-N-acetylbacillosamine N-acetyltransferase	UDP-N-acetylbacillosamine_N-acetyltransferase_(2.3.1.203)
g737	2.3.1.204	Octanoyl-[GcvH]:protein N-octanoyltransferase	Octanoyl-[GcvH]:protein_N-octanoyltransferase_(2.3.1.204)
g738	2.3.1.207	Beta-ketodecanoyl-[acyl-carrier-protein] synthase	Beta-ketodecanoyl-[acyl-carrier-protein]_synthase_(2.3.1.207)
g739	2.3.1.209	dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase	dTDP-4-amino-4,6-dideoxy-D-glucose_acyltransferase_(2.3.1.209)
g740	2.3.1.20	Diacylglycerol O-acyltransferase	Diacylglycerol_O-acyltransferase_(2.3.1.20)
g741	2.3.1.210	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase	dTDP-4-amino-4,6-dideoxy-D-galactose_acyltransferase_(2.3.1.210)
g742	2.3.1.222	Phosphate propanoyltransferase	Phosphate_propanoyltransferase_(2.3.1.222)
g743	2.3.1.227	GDP-perosamine N-acetyltransferase	GDP-perosamine_N-acetyltransferase_(2.3.1.227)
g744	2.3.1.230	2-heptyl-4(1H)-quinolone synthase	2-heptyl-4(1H)-quinolone_synthase_(2.3.1.230)
g745	2.3.1.234	N(6)-L-threonylcarbamoyladenine synthase	N(6)-L-threonylcarbamoyladenine_synthase_(2.3.1.234)
g746	2.3.1.241	Kdo(2)-lipid IV(A) lauroyltransferase	Kdo(2)-lipid_IV(A)_lauroyltransferase_(2.3.1.241)
g747	2.3.1.242	Kdo(2)-lipid IV(A) palmitoleoyltransferase	Kdo(2)-lipid_IV(A)_palmitoleoyltransferase_(2.3.1.242)
g748	2.3.1.243	Lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	Lauroyl-Kdo(2)-lipid_IV(A)_myristoyltransferase_(2.3.1.243)
g749	2.3.1.245	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase	3-hydroxy-5-phosphonooxypentane-2,4-dione_thiolase_(2.3.1.245)
g750	2.3.1.247	3-keto-5-aminohexanoate cleavage enzyme	3-keto-5-aminohexanoate_cleavage_enzyme_(2.3.1.247)
g751	2.3.1.251	NO NAME	NO_NAME_(2.3.1.251)
g752	2.3.1.254	NO NAME	NO_NAME_(2.3.1.254)
g753	2.3.1.266	NO NAME	NO_NAME_(2.3.1.266)
g754	2.3.1.267	NO NAME	NO_NAME_(2.3.1.267)
g755	2.3.1.274	NO NAME	NO_NAME_(2.3.1.274)
g756	2.3.1.275	NO NAME	NO_NAME_(2.3.1.275)
g757	2.3.1.28	Chloramphenicol O-acetyltransferase	Chloramphenicol_O-acetyltransferase_(2.3.1.28)
g758	2.3.1.29	Glycine C-acetyltransferase	Glycine_C-acetyltransferase_(2.3.1.29)
g759	2.3.1.30	Serine O-acetyltransferase	Serine_O-acetyltransferase_(2.3.1.30)
g760	2.3.1.31	Homoserine O-acetyltransferase	Homoserine_O-acetyltransferase_(2.3.1.31)
g761	2.3.1.35	Glutamate N-acetyltransferase	Glutamate_N-acetyltransferase_(2.3.1.35)
g762	2.3.1.37	5-aminolevulinate synthase	5-aminolevulinate_synthase_(2.3.1.37)
g763	2.3.1.38	[Acyl-carrier-protein] S-acetyltransferase	[Acyl-carrier-protein]_S-acetyltransferase_(2.3.1.38)
g764	2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase	[Acyl-carrier-protein]_S-malonyltransferase_(2.3.1.39)
g765	2.3.1.40	Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase	Acyl-[acyl-carrier-protein]--phospholipid_O-acyltransferase_(2.3.1.40)
