feature_id	feature	feature description	feature_full
g118	1.1.1.39	Malate dehydrogenase (decarboxylating)	Malate_dehydrogenase_(decarboxylating)_(1.1.1.39)
g119	1.1.1.3	Homoserine dehydrogenase	Homoserine_dehydrogenase_(1.1.1.3)
g120	1.1.1.405	NO NAME	NO_NAME_(1.1.1.405)
g121	1.1.1.408	NO NAME	NO_NAME_(1.1.1.408)
g122	1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	Malate_dehydrogenase_(oxaloacetate-decarboxylating)_(NADP(+))_(1.1.1.40)
g123	1.1.1.411	NO NAME	NO_NAME_(1.1.1.411)
g124	1.1.1.412	NO NAME	NO_NAME_(1.1.1.412)
g125	1.1.1.414	NO NAME	NO_NAME_(1.1.1.414)
g126	1.1.1.41	Isocitrate dehydrogenase (NAD(+))	Isocitrate_dehydrogenase_(NAD(+))_(1.1.1.41)
g127	1.1.1.42	Isocitrate dehydrogenase (NADP(+))	Isocitrate_dehydrogenase_(NADP(+))_(1.1.1.42)
g128	1.1.1.43	Phosphogluconate 2-dehydrogenase	Phosphogluconate_2-dehydrogenase_(1.1.1.43)
g129	1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	Phosphogluconate_dehydrogenase_(NADP(+)-dependent,_decarboxylating)_(1.1.1.44)
g130	1.1.1.46	L-arabinose 1-dehydrogenase	L-arabinose_1-dehydrogenase_(1.1.1.46)
g131	1.1.1.47	Glucose 1-dehydrogenase (NAD(P)(+))	Glucose_1-dehydrogenase_(NAD(P)(+))_(1.1.1.47)
g132	1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+))	Glucose-6-phosphate_dehydrogenase_(NADP(+))_(1.1.1.49)
g133	1.1.1.4	(R,R)-butanediol dehydrogenase	(R,R)-butanediol_dehydrogenase_(1.1.1.4)
g134	1.1.1.50	3-alpha-hydroxysteroid 3-dehydrogenase (Si-specific)	3-alpha-hydroxysteroid_3-dehydrogenase_(Si-specific)_(1.1.1.50)
g135	1.1.1.51	3(or 17)-beta-hydroxysteroid dehydrogenase	3(or_17)-beta-hydroxysteroid_dehydrogenase_(1.1.1.51)
g136	1.1.1.52	3-alpha-hydroxycholanate dehydrogenase	3-alpha-hydroxycholanate_dehydrogenase_(1.1.1.52)
g137	1.1.1.53	3-alpha(or 20-beta)-hydroxysteroid dehydrogenase	3-alpha(or_20-beta)-hydroxysteroid_dehydrogenase_(1.1.1.53)
g138	1.1.1.56	Ribitol 2-dehydrogenase	Ribitol_2-dehydrogenase_(1.1.1.56)
g139	1.1.1.57	Fructuronate reductase	Fructuronate_reductase_(1.1.1.57)
g140	1.1.1.58	Tagaturonate reductase	Tagaturonate_reductase_(1.1.1.58)
g141	1.1.1.5	Transferred entry	Transferred_entry_(1.1.1.5)
g142	1.1.1.60	2-hydroxy-3-oxopropionate reductase	2-hydroxy-3-oxopropionate_reductase_(1.1.1.60)
g143	1.1.1.61	4-hydroxybutyrate dehydrogenase	4-hydroxybutyrate_dehydrogenase_(1.1.1.61)
g144	1.1.1.64	Testosterone 17-beta-dehydrogenase (NADP(+))	Testosterone_17-beta-dehydrogenase_(NADP(+))_(1.1.1.64)
g145	1.1.1.65	Pyridoxine 4-dehydrogenase	Pyridoxine_4-dehydrogenase_(1.1.1.65)
g146	1.1.1.67	Mannitol 2-dehydrogenase	Mannitol_2-dehydrogenase_(1.1.1.67)
g147	1.1.1.69	Gluconate 5-dehydrogenase	Gluconate_5-dehydrogenase_(1.1.1.69)
g148	1.1.1.6	Glycerol dehydrogenase	Glycerol_dehydrogenase_(1.1.1.6)
g149	1.1.1.76	(S,S)-butanediol dehydrogenase	(S,S)-butanediol_dehydrogenase_(1.1.1.76)
g150	1.1.1.77	Lactaldehyde reductase	Lactaldehyde_reductase_(1.1.1.77)
g151	1.1.1.79	Glyoxylate reductase (NADP(+))	Glyoxylate_reductase_(NADP(+))_(1.1.1.79)
g152	1.1.1.80	Isopropanol dehydrogenase (NADP(+))	Isopropanol_dehydrogenase_(NADP(+))_(1.1.1.80)
g153	1.1.1.81	Hydroxypyruvate reductase	Hydroxypyruvate_reductase_(1.1.1.81)
g154	1.1.1.83	D-malate dehydrogenase (decarboxylating)	D-malate_dehydrogenase_(decarboxylating)_(1.1.1.83)
g155	1.1.1.85	3-isopropylmalate dehydrogenase	3-isopropylmalate_dehydrogenase_(1.1.1.85)
g156	1.1.1.86	Ketol-acid reductoisomerase (NADP(+))	Ketol-acid_reductoisomerase_(NADP(+))_(1.1.1.86)
g157	1.1.1.87	Homoisocitrate dehydrogenase	Homoisocitrate_dehydrogenase_(1.1.1.87)
g158	1.1.1.88	Hydroxymethylglutaryl-CoA reductase	Hydroxymethylglutaryl-CoA_reductase_(1.1.1.88)
g159	1.1.1.8	Glycerol-3-phosphate dehydrogenase (NAD(+))	Glycerol-3-phosphate_dehydrogenase_(NAD(+))_(1.1.1.8)
g160	1.1.1.90	Aryl-alcohol dehydrogenase	Aryl-alcohol_dehydrogenase_(1.1.1.90)
g161	1.1.1.91	Aryl-alcohol dehydrogenase (NADP(+))	Aryl-alcohol_dehydrogenase_(NADP(+))_(1.1.1.91)
g162	1.1.1.93	Tartrate dehydrogenase	Tartrate_dehydrogenase_(1.1.1.93)
g163	1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	Glycerol-3-phosphate_dehydrogenase_(NAD(P)(+))_(1.1.1.94)
g164	1.1.1.95	Phosphoglycerate dehydrogenase	Phosphoglycerate_dehydrogenase_(1.1.1.95)
g165	1.1.1.9	D-xylulose reductase	D-xylulose_reductase_(1.1.1.9)
g166	1.1.2.3	L-lactate dehydrogenase (cytochrome)	L-lactate_dehydrogenase_(cytochrome)_(1.1.2.3)
g167	1.1.2.4	D-lactate dehydrogenase (cytochrome)	D-lactate_dehydrogenase_(cytochrome)_(1.1.2.4)
g168	1.1.3.15	(S)-2-hydroxy-acid oxidase	(S)-2-hydroxy-acid_oxidase_(1.1.3.15)
