"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"X1ef24a460c9407f352a964d2a211914e","Escherichia/Shigella (RSV74)",6,NA,10,0.555972324830811,1,NA,0.555972324830811,FALSE
"X572be56789b840dc21f0dfad380396b3","Bacteroides (RSV75)",4,NA,9,NA,4,NA,NA,FALSE
"X1cb79d5275187534b0c9403c523c210f","Veillonella (RSV76)",4,NA,1,NA,2,NA,NA,FALSE
"X5679bfcacfc25255f3acedc9bd2c8afd","Klebsiella (RSV77)",0,NA,1,NA,0,NA,NA,FALSE
"X6aee73dafee612f6712c469d7d9474f0","Clostridium_sensu_stricto_1 (RSV78)",17,0.999812106919053,31,0.989989528041101,9,NA,0.989989528041101,FALSE
"Xa822eed692bc6f11f3e7a953ac0a23e4","Lactobacillus (RSV79)",59,0.999999941433796,21,0.990852007402731,2,NA,0.990852007402731,FALSE
"X232af231b1a3a8ca6ef3bf5432418b64","Haemophilus (RSV80)",14,0.76020331209508,8,NA,12,0.999265554987791,0.76020331209508,FALSE
"X990ca7dc83ec1f7499b25325f985cce0","Parabacteroides (RSV81)",2,NA,1,NA,3,NA,NA,FALSE
"X51f7c8ee44363f94d016d6907b20aced","Bacteroides (RSV82)",3,NA,12,0.924218912953971,3,NA,0.924218912953971,FALSE
"X2e60d98fba9c68f58e7051d47b5547e0","unassigned Proteobacteria (RSV83)",4,NA,0,NA,1,NA,NA,FALSE
"X013d22a2068848f7feb2742276eded4e","Streptococcus (RSV84)",205,0.923294999729352,60,0.73050227564618,23,0.999832282208374,0.73050227564618,FALSE
"X218f40f443caf002f5ad5aa59ee08859","Parabacteroides (RSV85)",0,NA,24,0.363161463410482,1,NA,0.363161463410482,FALSE
"Xdfa833b266bd2993b86feab3617b34c3","Akkermansia (RSV86)",3,NA,19,0.664270281403379,3,NA,0.664270281403379,FALSE
"X157ba9d2b318f400b654ab995f7d7d4e","Acinetobacter (RSV87)",79,0.0572356068188193,75,0.825800274551539,3,NA,0.0572356068188193,TRUE
"X70d55baf78e9ac4d0babeac5dcbae5c2","Bacteroides (RSV88)",1,NA,11,0.965177575112999,5,NA,0.965177575112999,FALSE
"X927948a3ccf40d7671afc0d5334d3eb6","Prevotella_9 (RSV89)",21,0.999952671043294,48,0.996980686734366,1,NA,0.996980686734366,FALSE
"Xb6a1cfc87c3ffa7f96227d4a372d8dd7","Subdoligranulum (RSV90)",28,0.996294057346051,28,0.811300298680297,10,0.99988562998252,0.811300298680297,FALSE
"X6c969690776c7fd66aa8107738d75bf4","Streptococcus (RSV91)",32,0.973683978544225,35,0.766862371179107,23,0.999820555207545,0.766862371179107,FALSE
"Xfb7a1c0b3625f00ee42dbfcbaa001f12","Phascolarctobacterium (RSV92)",3,NA,16,0.606134020493347,3,NA,0.606134020493347,FALSE
"Xd4d386b7d01baf327f6b43aa568cb9e7","Bacteroides (RSV93)",1,NA,4,NA,3,NA,NA,FALSE
"X875f9ef9a121a3002ea097444690a20a","Clostridium_sensu_stricto_1 (RSV94)",22,0.986837096634135,10,0.373105610939739,7,NA,0.373105610939739,FALSE
"X208134d9710bcf4724a053b364b131ae","Bacteroides (RSV95)",1,NA,13,0.563830527469869,2,NA,0.563830527469869,FALSE
