"","Estimate","Std.Error","pvalue","method","genus","padj","signif","pscale","n_tested","failed_convergence","nsamples_country1","nsamples_country2","ninfants_country1","ninfants_country2","comparison"
"Holdemanella",1.185,0.373,0.0016,"zinb","Holdemanella",0.00327619047619048,"MLW",2.48463085649841,43,0,1147,285,307,107,"IND-MLW"
"Slackia",1.245,0.285,1.6e-05,"zinb","Slackia",4.3e-05,"MLW",4.36653154442041,43,0,1147,285,307,107,"IND-MLW"
"Senegalimassilia",0.403,0.204,0.049,"zinb","Senegalimassilia",0.08428,"ns",1.07427547306394,43,0,1147,285,307,107,"IND-MLW"
"Atopobium1",0.865,0.471,0.067,"zinb","Atopobium",0.0993448275862069,"ns",1.00285473961854,43,0,1147,285,307,107,"IND-MLW"
"Actinomyces1",0.378,0.42,0.37,"zinb","Actinomyces",0.482121212121212,"ns",0.316843760231306,43,0,1147,285,307,107,"IND-MLW"
"Lawsonella",3.445,0.481,3.7e-12,"zinb","Lawsonella",1.76777777777778e-11,"MLW",10.7525723297927,43,0,1147,285,307,107,"IND-MLW"
"Finegoldia1",0.743,0.424,0.08,"zinb","Finegoldia",0.114666666666667,"ns",0.940562812148132,43,0,1147,285,307,107,"IND-MLW"
"Ezakiella",3.724,0.475,3.8e-14,"zinb","Ezakiella",2.33428571428571e-13,"MLW",12.6318459878179,43,0,1147,285,307,107,"IND-MLW"
"Dolosigranulum1",-0.194,0.333,0.56,"zinb","Dolosigranulum",0.678947368421053,"ns",0.16816389065358,43,0,1147,285,307,107,"IND-MLW"
"Anaerococcus1",0.153,0.68,0.82,"zinb","Anaerococcus",0.880975609756098,"ns",0.0550361150782673,43,0,1147,285,307,107,"IND-MLW"
"unassigned_Saccharimonadales",0.014,0.232,0.95,"zinb","unassigned_Saccharimonadales",0.97,"ns",0.0132282657337552,43,0,1147,285,307,107,"IND-MLW"
"Negativicoccus1",1.733,0.899,0.055,"zinb","Negativicoccus",0.0891851851851852,"ns",1.0497072815732,43,0,1147,285,307,107,"IND-MLW"
"Prevotella1",3.58,0.434,2.1e-15,"zinb","Prevotella",1.505e-14,"MLW",13.8224635000701,43,0,1147,285,307,107,"IND-MLW"
"Peptoniphilus1",0.304,1.496,0.84,"zinb","Peptoniphilus",0.880975609756098,"ns",0.0550361150782673,43,0,1147,285,307,107,"IND-MLW"
"Streptococcus1",-0.854,0.101,6.7e-16,"nb","Streptococcus",5.762e-15,"IND",14.2394267460556,43,0,1147,285,307,107,"IND-MLW"
"Bifidobacterium2",-0.391,0.095,5.9e-05,"zinb","Bifidobacterium",0.00022125,"MLW",3.65511672063014,45,0,285,226,107,60,"MLW-UK"
"Escherichia.Shigella2",-0.079,0.099,0.42,"zinb","Escherichia.Shigella",0.497368421052632,"ns",0.303321792443566,45,0,285,226,107,60,"MLW-UK"
"Streptococcus2",-1.021,0.222,8.5e-06,"nb","Streptococcus",4.25e-05,"MLW",4.37161106994969,45,0,285,226,107,60,"MLW-UK"
"Staphylococcus2",-1.163,0.296,0.00013,"zinb","Staphylococcus",0.00039,"MLW",3.4089353929735,45,0,285,226,107,60,"MLW-UK"
"Bacteroides2",0.616,0.133,7.9e-06,"zinb","Bacteroides",4.25e-05,"UK",4.37161106994969,45,0,285,226,107,60,"MLW-UK"
"Veillonella2",0.578,0.277,0.038,"zinb","Veillonella",0.057,"ns",1.24412514432751,45,0,285,226,107,60,"MLW-UK"
"Lactobacillus2",-2.171,0.61,0.00049,"zinb","Lactobacillus",0.00129705882352941,"MLW",2.88704032757442,45,0,285,226,107,60,"MLW-UK"
"Collinsella2",-0.349,0.311,0.26,"zinb","Collinsella",0.325,"ns",0.488116639021126,45,0,285,226,107,60,"MLW-UK"
"Haemophilus2",4.12,0.542,2e-12,"zinb","Haemophilus",4.5e-11,"UK",10.3467874862247,45,0,285,226,107,60,"MLW-UK"
"Klebsiella2",1.879,0.445,4e-05,"zinb","Klebsiella",0.000163636363636364,"UK",3.78612018005492,45,0,285,226,107,60,"MLW-UK"
"Enterococcus2",1.373,0.441,0.0022,"zinb","Enterococcus",0.0045,"UK",2.34678748622466,45,0,285,226,107,60,"MLW-UK"
"Rothia2",-0.791,0.358,0.028,"zinb","Rothia",0.045,"MLW",1.34678748622466,45,0,285,226,107,60,"MLW-UK"
"unassigned_Lachnospiraceae2",0.589,0.307,0.057,"zinb","unassigned_Lachnospiraceae",0.082741935483871,"ns",1.08227432438644,45,0,285,226,107,60,"MLW-UK"
"Gemella2",0.333,0.312,0.29,"zinb","Gemella",0.352702702702703,"ns",0.452591212392695,45,0,285,226,107,60,"MLW-UK"
"Prevotella_91",-2.496,0.88,0.0051,"zinb","Prevotella_9",0.00918,"MLW",2.03715731879876,45,0,285,226,107,60,"MLW-UK"
"Dialister1",-1.73,0.495,0.00061,"zinb","Dialister",0.00144473684210526,"MLW",2.84021125216672,45,0,285,226,107,60,"MLW-UK"
"Cutibacterium1",-0.016,0.624,0.98,"zinb","Cutibacterium",1,"ns",0,45,0,285,226,107,60,"MLW-UK"
"Enterobacter2",2.363,0.411,4.1e-08,"zinb","Enterobacter",3.075e-07,"UK",6.51215487988856,45,0,285,226,107,60,"MLW-UK"
"Parabacteroides2",0.325,0.28,0.25,"zinb","Parabacteroides",0.321428571428571,"ns",0.492915521902894,45,0,285,226,107,60,"MLW-UK"
"Acinetobacter2",-1.69,0.592,0.0049,"zinb","Acinetobacter",0.00918,"MLW",2.03715731879876,45,0,285,226,107,60,"MLW-UK"
"Enhydrobacter1",-6.382,0.945,2.3e-10,"zinb","Enhydrobacter",2.5875e-09,"MLW",8.58711964153503,45,0,285,226,107,60,"MLW-UK"
"Corynebacterium_12",-2.807,0.262,1.1e-20,"zinb","Corynebacterium_1",4.95e-19,"MLW",18.3053948010664,45,0,285,226,107,60,"MLW-UK"
"Clostridium_sensu_stricto_12",0.078,0.338,0.82,"zinb","Clostridium_sensu_stricto_1",0.9225,"ns",0.035033625168902,45,0,285,226,107,60,"MLW-UK"
"unassigned_Enterobacteriaceae2",0.886,0.587,0.13,"zinb","unassigned_Enterobacteriaceae",0.177272727272727,"ns",0.751358073795707,45,0,285,226,107,60,"MLW-UK"
"Phascolarctobacterium1",-0.042,0.408,0.92,"zinb","Phascolarctobacterium",0.985714285714286,"ns",0.00624894927700149,45,0,285,226,107,60,"MLW-UK"
"Succinivibrio1",-50.146,848626.473,1,"zinb","Succinivibrio",1,"ns",0,45,0,285,226,107,60,"MLW-UK"
"Citrobacter1",1.009,0.466,0.032,"zinb","Citrobacter",0.0496551724137931,"UK",1.30403550580371,45,0,285,226,107,60,"MLW-UK"
"Sutterella1",-0.957,0.382,0.013,"zinb","Sutterella",0.0225,"MLW",1.64781748188864,45,0,285,226,107,60,"MLW-UK"
"Granulicatella2",-0.151,0.641,0.81,"zinb","Granulicatella",0.9225,"ns",0.035033625168902,45,0,285,226,107,60,"MLW-UK"
"Micrococcus1",-7.036,1.333,4e-07,"zinb","Micrococcus",2.57142857142857e-06,"MLW",5.58982553491095,45,0,285,226,107,60,"MLW-UK"
"Holdemanella1",-1.508,0.664,0.025,"zinb","Holdemanella",0.0416666666666667,"MLW",1.38021124171161,45,0,285,226,107,60,"MLW-UK"
"Slackia1",-2.839,0.881,0.0015,"zinb","Slackia",0.00321428571428571,"MLW",2.49291552190289,45,0,285,226,107,60,"MLW-UK"
