"","feature_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"250","t907","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera elsdenii","Megasphaera elsdenii",0.082705,0.5096,54.3,0.095824,0.55714,53.7,0.018691,0.091256,56.9
"195","t40545","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella wadsworthensis","Sutterella wadsworthensis",0.082092,0.444264,23.5,0.026489,0.157715,16.6,0.3534,0.981828,56.9
"95","t197614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pasteurianus","Streptococcus pasteurianus",0.081984,0.547633,40.2,0.09802,0.600047,39.9,0.003738,0.007226,41.4
"48","t1502","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium perfringens","Clostridium perfringens",0.079531,0.850075,63.3,0.034355,0.255277,59.7,0.299957,1.982027,81
"53","t1550024","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium lactatiformans","Ruthenibacterium lactatiformans",0.07312,0.804353,32.3,0.08571,0.882108,30.4,0.011686,0.07041,41.4
"52","t1547","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","Erysipelatoclostridium ramosum","Erysipelatoclostridium ramosum",0.071441,0.541813,35.5,0.082501,0.592606,33.2,0.017472,0.10033,46.6
"85","t1812935","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter roggenkampii","Enterobacter roggenkampii",0.069148,0.974196,71.8,0.081558,1.069176,71.7,0.008597,0.032105,72.4
"174","t33010","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium avidum","Cutibacterium avidum",0.068368,0.631888,42.5,0.078599,0.692857,42.4,0.018445,0.060303,43.1
"24","t1316410","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. HSISS1","Streptococcus sp. HSISS1",0.064654,0.17316,83,0.066148,0.185272,85.9,0.057366,0.094698,69
"217","t584","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus mirabilis","Proteus mirabilis",0.051194,0.394341,24.6,0.06165,0.432253,24.4,0.000178,0.000559,25.9
"47","t150055","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus lutetiensis","Streptococcus lutetiensis",0.04886,0.334941,62.5,0.053333,0.357797,66.1,0.027038,0.187721,44.8
"177","t33039","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter [Ruminococcus] torques","Mediterraneibacter [Ruminococcus] torques",0.047287,0.492745,47.2,0.040107,0.488744,43.1,0.082324,0.514762,67.2
"172","t328813","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes onderdonkii","Alistipes onderdonkii",0.045181,0.791529,15.2,0.052143,0.868547,11.7,0.011209,0.059552,32.8
"115","t227942","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus gastricus","Limosilactobacillus gastricus",0.044893,0.438702,44,0.031195,0.386482,45.6,0.111731,0.635254,36.2
"166","t28901","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","Salmonella enterica",0.042689,0.101445,90,0.037999,0.082982,89,0.065569,0.163327,94.8
"204","t47715","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lacticaseibacillus rhamnosus","Lacticaseibacillus rhamnosus",0.040437,0.291629,29.6,0.042141,0.301726,31.1,0.032124,0.238354,22.4
"29","t1335","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equinus","Streptococcus equinus",0.0385,0.064973,98.5,0.039806,0.068238,99.6,0.032124,0.04576,93.1
"66","t1633","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus vaginalis","Limosilactobacillus vaginalis",0.037668,0.255956,30.5,0.028052,0.170114,31.1,0.084586,0.494886,27.6
"223","t624","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella sonnei","Shigella sonnei",0.037423,0.07212,54.3,0.037519,0.075246,52.3,0.03695,0.054891,63.8
"45","t1496","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides","Clostridioides difficile","Clostridioides difficile",0.036857,0.149571,73.6,0.042828,0.163403,70,0.007722,0.017523,91.4
"109","t2109685","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella sp. GAM18","Olsenella sp. GAM18",0.036261,0.35915,39,0.018208,0.193917,32.9,0.124348,0.757532,69
"216","t582","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Morganella morganii","Morganella morganii",0.036019,0.474193,35.5,0.010541,0.075087,35.3,0.160333,1.137727,36.2
"36","t1358","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis","Lactococcus lactis",0.035532,0.575749,49.3,0.042651,0.631953,44.2,0.000798,0.000997,74.1
"214","t571","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella oxytoca","Klebsiella oxytoca",0.035242,0.286185,74.5,0.02876,0.269771,73.9,0.066866,0.356732,77.6
"170","t315405","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gallolyticus","Streptococcus gallolyticus",0.03474,0.200052,78.6,0.041362,0.219065,80.2,0.002433,0.00419,70.7
"96","t2003188","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Parolsenella","Parolsenella catena","Parolsenella catena",0.034325,0.189846,47.2,0.033576,0.199868,43.5,0.037979,0.131667,65.5
"246","t84112","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella lenta","Eggerthella lenta",0.033963,0.191496,51.3,0.039081,0.209738,48.1,0.00899,0.018366,67.2
"100","t202956","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter towneri","Acinetobacter towneri",0.032339,0.341229,17.9,4.6e-05,0.000209,7.8,0.189905,0.814921,67.2
"87","t1834196","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium sp. YL32","Lachnoclostridium sp. YL32",0.031974,0.393436,39.9,0.036788,0.431544,34.6,0.008484,0.035937,65.5
"208","t545","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter koseri","Citrobacter koseri",0.030469,0.440124,34.6,0.03655,0.483043,34.3,0.000797,0.002387,36.2
"58","t1590","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus","Lactiplantibacillus plantarum","Lactiplantibacillus plantarum",0.029647,0.102269,56.6,0.03293,0.110806,58.3,0.013624,0.036453,48.3
"226","t649756","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Anaerostipes hadrus",0.029542,0.347631,67.2,0.033282,0.381272,66.4,0.011293,0.035272,70.7
"148","t2763022","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. M10","Bacteroides sp. M10",0.026634,0.169608,29,0.020921,0.167091,21.9,0.054509,0.180311,63.8
"220","t621","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella boydii","Shigella boydii",0.026103,0.09158,77.7,0.022376,0.061412,77,0.044286,0.175963,81
"17","t1303","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus oralis","Streptococcus oralis",0.025145,0.057879,100,0.019683,0.036068,100,0.051798,0.112583,100
"4","t113107","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus australis","Streptococcus australis",0.024058,0.054608,98.5,0.017878,0.025495,98.6,0.054209,0.116004,98.3
"157","t28118","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus","Odoribacter splanchnicus",0.023388,0.283717,32.6,0.021232,0.309328,26.1,0.033909,0.081435,63.8
"60","t1597","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lacticaseibacillus paracasei","Lacticaseibacillus paracasei",0.023353,0.121627,54,0.018641,0.104942,54.8,0.046348,0.181953,50
"5","t1134687","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis","Klebsiella michiganensis",0.023112,0.159389,69.5,0.024829,0.173616,69.6,0.014734,0.048222,69
"222","t623","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella flexneri","Shigella flexneri",0.023075,0.060062,76.8,0.023406,0.065063,76.3,0.021457,0.02392,79.3
"150","t2785531","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. HF-162","Bacteroides sp. HF-162",0.022863,0.107027,27.9,0.014884,0.084973,22.3,0.061795,0.175345,55.2
"213","t564","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia fergusonii","Escherichia fergusonii",0.022854,0.122708,80.1,0.021472,0.124059,79.9,0.0296,0.116689,81
"20","t1311","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae","Streptococcus agalactiae",0.022742,0.041713,88,0.021552,0.040269,89,0.02855,0.048116,82.8
"51","t1531","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster clostridioformis","Enterocloster clostridioformis",0.021481,0.260778,27,0.024636,0.285984,24.7,0.006084,0.026907,37.9
"3","t111015","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces radicidentis","Actinomyces radicidentis",0.019948,0.253136,15.2,0.024019,0.277775,15.2,8.4e-05,0.000273,15.5
"49","t1520","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii","Clostridium beijerinckii",0.019689,0.278614,25.5,0.00496,0.04831,25.4,0.091555,0.667198,25.9
"123","t248315","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella rodentium","Veillonella rodentium",0.019604,0.040191,83.9,0.019736,0.041239,82.7,0.018962,0.034942,89.7
