feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t1297617	dose1_shedding	1	0.000848771609579431	0.000635956659091077	281	97	0.183083155756519	0.804272969078972
t2774055	dose1_shedding	1	0.000738091672434836	0.000520806423402345	281	69	0.157537480380468	0.804272969078972
t39485	dose1_shedding	1	0.000671525146863483	0.000612926936140486	281	76	0.274196991032857	0.804272969078972
t1351	dose1_shedding	1	-0.0102563117494702	0.0106067172240233	281	264	0.334399563570648	0.851780051817577
t165179	dose1_shedding	1	0.00655621190940709	0.00695478555323939	281	200	0.34665467225134	0.851780051817577
t197	dose1_shedding	1	-0.00355667700831471	0.00364467773163151	281	52	0.329981669412047	0.851780051817577
t545	dose1_shedding	1	-0.00319488471061966	0.0033735099733453	281	241	0.344432505035187	0.851780051817577
t1270	dose1_shedding	1	-0.00013284085504344	0.000143880199064934	281	74	0.356662174424597	0.852026305569871
t562	dose1_shedding	1	-0.0240853778126017	0.0355783915467879	281	277	0.498988129151118	0.855512099784885
t573	dose1_shedding	1	0.0228527974046151	0.0297046368568663	281	274	0.442345667771867	0.855512099784885
t823	dose1_shedding	1	0.0139973064764394	0.0169244409534004	281	120	0.408917254973371	0.855512099784885
t29466	dose1_shedding	1	-0.00934071770208844	0.0131567669814832	281	267	0.478324744642909	0.855512099784885
t1596	dose1_shedding	1	-0.0100083842973366	0.0132965450268867	281	212	0.452261439156696	0.855512099784885
t74426	dose1_shedding	1	-0.00408444504021461	0.00806098088905014	281	201	0.612770225615621	0.855512099784885
t1624	dose1_shedding	1	0.00250275369605423	0.0066231919014028	281	222	0.705809087324768	0.855512099784885
t1290	dose1_shedding	1	-0.00227726424882586	0.00580335373198952	281	281	0.695058696924456	0.855512099784885
t437897	dose1_shedding	1	-0.00323127278743009	0.00399135175154429	281	136	0.418878093681436	0.855512099784885
t853	dose1_shedding	1	0.00533499702814881	0.00630203652854959	281	249	0.397970804246988	0.855512099784885
t40545	dose1_shedding	1	-0.00174607081227772	0.00288507054814022	281	69	0.545532046708713	0.855512099784885
t187327	dose1_shedding	1	0.00175246116411878	0.00403184052988525	281	130	0.664148579966981	0.855512099784885
t208479	dose1_shedding	1	-0.00273449115362034	0.00574768622746809	281	149	0.634621139780829	0.855512099784885
t1547	dose1_shedding	1	0.00154610037032758	0.00412844902775998	281	166	0.708317520398922	0.855512099784885
t1550024	dose1_shedding	1	0.00234910512212836	0.00400265404168591	281	86	0.557754270699434	0.855512099784885
