"","feature_id","mean","sd","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","lr_unadjusted_p","lr_adjusted_p","wilcox_p","fisher_padj","lr_unadjusted_padj","lr_adjusted_padj","wilcox_padj","mean_diff","prev_diff","enriched_responder_mean","enriched_responder_prev","rf_rank","rf_top20","rf_n","crossval_median","crossval_quartile_1","crossval_quartile_3","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_name","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_coef_adjusted","maaslin_stderr_adjusted","maaslin_pval_adjusted","maaslin_qval_adjusted","maaslin_qval_filt","maaslin_qval_adjusted_filt","country","country_clean","module"
"37","t2109685",0.0340413330762189,0.0690422080414605,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",NA,"Olsenella",17,26,65.4,0.0475307692307692,0.0937318249869521,13,21,61.9,0.285709523809524,1.26210541592403,1,0.805085880283907,0.628349850584745,0.476135791805193,1,0.995797491995547,0.980225766912202,0.89499826448288,0.238178754578755,-3.50000000000001,TRUE,FALSE,60,0,21,0.444444444444444,0.375,0.555555555555556,0.00377710065152652,0.0111046319944773,0.735335726863223,"dose1_shedding1",0.86628592479777,47,30,0.00350855596859621,0.0117611824139413,0.766968199026565,0.958710248783206,0.86628592479777,0.942275215946923,"Malawi","MLW","Genus"
"38","t216816",0.047244686476539,0.0890750991138428,"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,"Bifidobacterium",26,26,100,30.0656269230769,26.2597956758168,21,21,100,34.3438,28.9751154149729,NA,NA,NA,0.71067059365436,NA,NA,NA,0.953081488074444,4.27817307692308,0,TRUE,FALSE,42,0,21,0.444444444444444,0.375,0.555555555555556,0.0487030855614918,0.0996288558915117,0.627325418422464,"dose1_shedding1",0.859043534657247,47,47,-0.0150208194531314,0.094553483409492,0.874558684248931,0.986172378320332,0.859043534657247,0.953811020336917,"Malawi","MLW","Genus"
"39","t239935",0.0331977127633274,0.0673562908852645,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"Akkermansia",15,26,57.7,0.114103846153846,0.57869894451659,11,21,52.4,1.68548095238095,7.70989686238532,0.773841448983406,0.715900935766425,0.845886744036627,0.831175716343992,1,0.995797491995547,0.997177920843515,0.953081488074444,1.57137710622711,-5.3,TRUE,FALSE,63,0,21,0.444444444444444,0.375,0.555555555555556,0.0246996422264994,0.0280549002192348,0.383318447274052,"dose1_shedding1",0.854996795116778,47,26,0.0284070000034736,0.0284406578468261,0.323742238672737,0.926625282290228,0.854996795116778,0.796661927804713,"Malawi","MLW","Genus"
"40","t2479767",0.0666280697309324,0.124126083654726,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia",NA,"Blautia",22,26,84.6,0.0103423076923077,0.0186535824565025,20,21,95.2,0.0287142857142857,0.0660541996069462,0.362262775768789,0.265689720816977,0.995637249665418,0.86398155270355,0.920862293112062,0.923491925542356,0.997177920843515,0.964966409513056,0.018371978021978,10.6,TRUE,TRUE,15,1,21,0.444444444444444,0.375,0.555555555555556,0.00324013248748895,0.00310935186077888,0.302949929657325,"dose1_shedding1",0.854996795116778,47,42,0.00441514016605177,0.00315398504189907,0.169076600946022,0.86226510224873,0.854996795116778,0.796661927804713,"Malawi","MLW","Genus"
"41","t2582419",0.0578368035096809,0.106728179233907,"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister",NA,"Dialister",16,26,61.5,0.0267807692307692,0.113883227981054,8,21,38.1,0.0062047619047619,0.0261800014551275,0.146806829667813,0.113461303168233,0.0998016058463518,0.0719850222805592,0.920862293112062,0.923491925542356,0.967591823777518,0.89499826448288,-0.0205760073260073,-23.4,FALSE,FALSE,30,0,21,0.444444444444444,0.375,0.555555555555556,-0.00421722877217187,0.00361475846649426,0.249489462063045,"dose1_shedding1",0.854996795116778,47,24,-0.00404298936421931,0.00375564338318742,0.287992834419927,0.926625282290228,0.854996795116778,0.796661927804713,"Malawi","MLW","Genus"
"42","t2714355",0.0445658918282259,0.0930540287601861,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter",NA,"Oscillibacter",15,26,57.7,0.00587307692307692,0.025567206459718,8,21,38.1,0.00153333333333333,0.0047684728512736,0.24431462056292,0.18449922010864,0.0981299081332758,0.231890774547587,0.920862293112062,0.923491925542356,0.967591823777518,0.89499826448288,-0.00433974358974359,-19.6,FALSE,FALSE,47,0,21,0.444444444444444,0.375,0.555555555555556,-0.00142300085016643,0.00169376467806214,0.405271177676729,"dose1_shedding1",0.854996795116778,47,23,-0.00137729159374444,0.00172785448941893,0.429978778463285,0.935345596706508,0.854996795116778,0.840413066996421,"Malawi","MLW","Genus"
"43","t2774055",0.0129676586633514,0.0266877437460644,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera",NA,"Kluyvera",3,26,11.5,0.00302307692307692,0.0139305221062904,5,21,23.8,0.000880952380952381,0.00343956669474791,0.437243020714135,0.274498585138347,0.307415842105242,0.351679641079709,1,0.923491925542356,0.967591823777518,0.89499826448288,-0.00214212454212454,12.3,FALSE,TRUE,84,0,21,0.444444444444444,0.375,0.555555555555556,-0.000394991211095465,0.00130742279849429,0.763956836407113,"dose1_shedding1",0.887592471872147,47,8,-0.000196810193034931,0.00136576492219536,0.886125491690155,0.986172378320332,0.887592471872147,0.953811020336917,"Malawi","MLW","Genus"
"44","t28118",0.0605218624550658,0.114603491783417,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",NA,"Odoribacter",17,26,65.4,0.0582692307692308,0.114768221278299,11,21,52.4,0.0126857142857143,0.0288411214364887,0.389595585547411,0.368079334242314,0.510373123700799,0.143922946373155,0.920862293112062,0.944841653609006,0.967591823777518,0.89499826448288,-0.0455835164835165,-13,FALSE,FALSE,26,0,21,0.444444444444444,0.375,0.555555555555556,-0.00843554446677807,0.00470991902167927,0.0800181459142008,"dose1_shedding1",0.854996795116778,47,28,-0.00799706136735013,0.00501250553316589,0.11829836769067,0.786132598857709,0.854996795116778,0.796661927804713,"Malawi","MLW","Genus"
"45","t28141",0.0203486929708705,0.0406613728308004,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter",NA,"Cronobacter",7,26,26.9,0.000215384615384615,0.000484720379346532,7,21,33.3,0.00314761904761905,0.0131309793636126,0.751860572753393,0.633321189659399,0.465967546954392,0.551568697878984,1,0.995797491995547,0.967591823777518,0.89499826448288,0.00293223443223443,6.4,TRUE,TRUE,77,0,21,0.444444444444444,0.375,0.555555555555556,0.00129426209459987,0.00109029007738989,0.241424735537389,"dose1_shedding1",0.854996795116778,47,14,0.00171753985309279,0.00107686149505634,0.118404136997172,0.786132598857709,0.854996795116778,0.796661927804713,"Malawi","MLW","Genus"
"46","t2823316",0.024995305022302,0.048858748139102,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena",NA,"Faecalicatena",14,26,53.8,0.00147692307692308,0.00333014206211179,7,21,33.3,0.00115238095238095,0.00220263910970886,0.238849345282732,0.163092615079476,0.340929702558034,0.391389152831277,0.920862293112062,0.923491925542356,0.967591823777518,0.89499826448288,-0.000324542124542125,-20.5,FALSE,FALSE,75,0,21,0.444444444444444,0.375,0.555555555555556,-0.00036997787873825,0.000906991364448577,0.685268428433002,"dose1_shedding1",0.860154184047097,47,21,0.000212240725959562,0.000878064375869532,0.810206433676946,0.973152978997449,0.860154184047097,0.94327438725558,"Malawi","MLW","Genus"
