"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India (IPV)","rab.win.India (OPV)","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"17","Cutibacterium",0.0473603667217363,0.0923620627753626,"Cutibacterium","India (OPV)",16,183,8.7,0.1,0.4,"India (IPV)",9,99,9.1,0,0.1,1,1,-0.4,FALSE,49,0,"ns",-1.93426024180388,-2.07848737717181,-1.85129933494439,0.303629099728967,5.36521181858095,0.0477550966852147,0.473400000088918,0.5225872460316,0.880140671255474,0.483196902700564,0.862995100763778,0.052,0.017,0.035,0.5,0.4,0.55
"18","Dermabacter",0.0624851927948173,0.136197018573858,"Dermabacter","India (OPV)",6,183,3.3,0,0,"India (IPV)",8,99,8.1,0,0,0.0893407843566322,0.763408315838366,-4.8,FALSE,45,0,"ns",-2.1272447463104,-2.1079021872207,-2.1343975665914,-0.0850490941840665,4.99475324461677,-0.0163159534744303,0.49100000003001,0.475680046733924,0.84865571087412,0.561610750705731,0.884222013841466,0.001,0.007,-0.006,0.5,0.4,0.55
"19","Dialister",0.0312391080476984,0.058976531759906,"Dialister","India (OPV)",16,183,8.7,0,0.4,"India (IPV)",8,99,8.1,0,0.1,1,1,0.6,TRUE,60,0,"ns",-1.86829230950243,-1.9406446461765,-1.83150614421742,0.114514075561294,5.16959635600254,0.0179403037032861,0.489600000034682,0.589536543934399,0.901195852904468,0.578195390508304,0.899181159128006,0.043,0.008,0.035,0.5,0.4,0.55
"20","Dolosigranulum",0.238956899273187,0.427287970073677,"Dolosigranulum","India (OPV)",93,183,50.8,0,0,"India (IPV)",60,99,60.6,0,0,0.133309291279709,0.763408315838366,-9.8,FALSE,12,1,"ns",2.39066560751471,2.73642927730905,2.14485582776216,-0.611992668443396,6.18818525377206,-0.0900304638088844,0.454509098333204,0.347279554455158,0.85388138276837,0.256632869268702,0.842620179533296,0.017,0.019,-0.002,0.5,0.4,0.55
"21","Eggerthella",0.166440983428401,0.317123317334556,"Eggerthella","India (OPV)",45,183,24.6,0.2,0.5,"India (IPV)",24,99,24.2,0.2,0.7,1,1,0.400000000000002,TRUE,21,0,"ns",-1.13821789969698,-1.33941253176518,-1.03504517752585,0.181790191224641,8.3619566399102,0.023330946889332,0.488400000038687,0.67288192545144,0.930467885909806,0.597225582803368,0.9066268444216,0.157,0.187,-0.03,0.5,0.4,0.55
"22","Enterobacter",0.205506092296116,0.380104159622371,"Enterobacter","India (OPV)",72,183,39.3,0.6,2.7,"India (IPV)",31,99,31.3,0.4,1.5,0.196887517142257,0.786014612944574,8,TRUE,15,1,"ns",-0.214564663769615,-0.786926987567313,0.120790999076787,0.952707598188567,8.39593028768833,0.106175779175295,0.443200000191809,0.15067391413268,0.746631432516469,0.160442677607902,0.758609773329434,0.581,0.368,0.213,0.5,0.4,0.55
"23","Enterococcus",0.479254264715242,0.859478812757241,"Enterococcus","India (OPV)",155,183,84.7,2.5,5.3,"India (IPV)",82,99,82.8,2.6,5.2,0.734165453585274,1,1.90000000000001,TRUE,2,1,"ns",8.70486046889345,8.83860260381762,8.64478654179279,-0.150474423435096,7.12916475867625,-0.0201417158592122,0.489702059622409,0.836995892337102,0.958687667070819,0.78094700687703,0.94657999784146,2.518,2.592,-0.0740000000000003,0.5,0.4,0.55
"24","Erysipelatoclostridium",0.0811031343959594,0.158697403184947,"Erysipelatoclostridium","India (OPV)",27,183,14.8,0,0.1,"India (IPV)",10,99,10.1,0,0.2,0.355723380187082,0.872198671103498,4.7,TRUE,39,0,"ns",-1.70154460888931,-1.95036289913274,-1.56241101783543,0.415610994047247,5.92275264913871,0.0635160074171517,0.463307338655216,0.413679250576172,0.841206154180621,0.381348505606737,0.819805071713317,0.029,0.035,-0.006,0.5,0.4,0.55
"25","Escherichia/Shigella",0.462273007904446,0.826231863736594,"Escherichia/Shigella","India (OPV)",176,183,96.2,13.7,13.4,"India (IPV)",93,99,93.9,11.9,10.7,0.389212716962412,0.872198671103498,2.3,TRUE,4,1,"ns",13.0834849998052,13.0303360412205,13.1260344418947,0.113609639060941,3.83304817954212,0.020438415257702,0.485200000049376,0.585358996246161,0.916743334660897,0.698689887321564,0.94046738622587,13.827,12.018,1.809,0.5,0.4,0.55
"26","Eubacterium",0.0655268065774834,0.135738772250834,"Eubacterium","India (OPV)",15,183,8.2,0.2,1.1,"India (IPV)",11,99,11.1,0.3,1,0.518081694591257,0.934797824142583,-2.9,FALSE,43,0,"ns",-1.91330580119835,-1.93158811319822,-1.90345566451028,0.0372734087330624,6.0105429521506,0.00493763474311605,0.496500699871688,0.582482979762063,0.901716354397802,0.551962750307042,0.893030214970355,0.232,0.294,-0.062,0.5,0.4,0.55
