"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India (IPV)","rab.win.India (OPV)","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"128","Prevotella_2",0.0722330531953749,0.139739847958503,"Prevotella_2","India (OPV)",126,201,62.7,0.8,2,"India (IPV)",51,87,58.6,0.8,1.3,0.513426441248727,0.987418018578752,4.1,TRUE,51,0,"ns",4.07323937728609,3.73888375525353,4.19100472402978,0.150572361027804,9.04587538578287,0.016507240792931,0.491600000028008,0.688607643022029,0.975773853728389,0.788700260114584,0.979506714971361,0.799,0.763,0.036,0.5,0.45,0.6
"129","Prevotella_7",0.0499461271526371,0.098385614494164,"Prevotella_7","India (OPV)",91,201,45.3,0.7,1.5,"India (IPV)",37,87,42.5,0.5,1.4,0.699782147619883,1,2.8,TRUE,94,0,"ns",-0.323415051917491,-0.595140643493108,-0.202431878556059,0.518788280722564,9.98689261508609,0.0551162494862032,0.472000000093627,0.530799017653783,0.970481100092327,0.507660253896414,0.966708941979852,0.713,0.543,0.17,0.5,0.45,0.6
"130","Prevotella_9",0.144466812674661,0.295036809233113,"Prevotella_9","India (OPV)",183,201,91,7.9,10.5,"India (IPV)",78,87,89.7,7.4,10.2,0.825964524604924,1,1.3,TRUE,1,1,"ns",9.53073592777758,9.16674843183826,9.64196480522035,0.491200220793877,5.95557736045033,0.0674731924936904,0.461000000130796,0.348313587150868,0.967591157033549,0.325845341038166,0.959780833060491,7.904,7.367,0.537,0.5,0.45,0.6
"131","Prevotellaceae_NK3B31_group",0.0320570338206407,0.0625274472967232,"Prevotellaceae_NK3B31_group","India (OPV)",37,201,18.4,0,0.1,"India (IPV)",22,87,25.3,0,0.1,0.204488785301591,0.987418018578752,-6.9,FALSE,121,0,"ns",-2.78640880593538,-2.68679663248495,-2.82617479755177,-0.179555567713838,6.13323694605138,-0.0270140234970637,0.487200000042695,0.503609754712048,0.965377814281556,0.541899933903684,0.969372870554871,0.014,0.028,-0.014,0.5,0.45,0.6
"132","Prevotellaceae_UCG-003",0.0107907621278878,0.0219467024372753,"Prevotellaceae_UCG-003","India (OPV)",25,201,12.4,0,0.1,"India (IPV)",7,87,8,0,0.4,0.314226399580874,0.987418018578752,4.4,TRUE,178,0,"ns",-3.44502655009783,-3.78545637015698,-3.29388791179829,0.584708170367506,6.00886909054421,0.0860081837825303,0.455200000150542,0.354780007357417,0.94842774681274,0.309228142175137,0.936134015849686,0.023,0.047,-0.024,0.5,0.45,0.6
"133","Raoultibacter",0.0199269106651268,0.0382358215665153,"Raoultibacter","India (OPV)",44,201,21.9,0,0,"India (IPV)",16,87,18.4,0,0,0.532101345737054,0.987418018578752,3.5,TRUE,149,0,"ns",-2.74507533733993,-3.09331983762728,-2.61008103394851,0.404795422842016,6.03181220493462,0.0607131325826124,0.471305738948155,0.505391491788646,0.96905729847922,0.4795754358032,0.966737028186767,0.008,0.007,0.001,0.5,0.45,0.6
"134","Rikenellaceae_RC9_gut_group",0.0382821034392949,0.0723710905408607,"Rikenellaceae_RC9_gut_group","India (OPV)",83,201,41.3,0.3,0.8,"India (IPV)",36,87,41.4,0.4,1.2,1,1,-0.100000000000001,FALSE,112,0,"ns",-0.731627878601788,-0.693375050288362,-0.74870321008338,0.00131907122376074,8.87415077150542,0.000125896857696515,0.499900019996334,0.734804987917531,0.977727911062499,0.777696737202545,0.981221798697457,0.318,0.374,-0.056,0.5,0.45,0.6
"135","Romboutsia",0.0745677211489595,0.135768970818761,"Romboutsia","India (OPV)",152,201,75.6,0.6,1.1,"India (IPV)",62,87,71.3,0.7,1.4,0.464301043461484,0.987418018578752,4.3,TRUE,49,0,"ns",5.09699632010231,4.93625214385899,5.14943283698499,0.29777627841309,7.48801136985086,0.0352600901962665,0.478904219226586,0.582576931143398,0.972414037520873,0.603480747056128,0.973825786686624,0.628,0.7,-0.072,0.5,0.45,0.6
"136","Roseburia",0.0966613050273718,0.17684580176562,"Roseburia","India (OPV)",180,201,89.6,0.7,1.3,"India (IPV)",80,87,92,0.7,1.6,0.666213442422352,1,-2.40000000000001,FALSE,20,1,"ns",5.99366797680574,5.67018901165466,6.13831528149074,0.296692787044833,3.78497316079243,0.0635923276390763,0.461800000128081,0.723850553729094,0.974841458335781,0.229008193211538,0.958508778380229,0.726,0.695,0.031,0.5,0.45,0.6
"137","Rothia",0.0574868111258933,0.109398754016672,"Rothia","India (OPV)",97,201,48.3,0,0,"India (IPV)",46,87,52.9,0,0.1,0.521739327583685,0.987418018578752,-4.6,FALSE,82,0,"ns",-0.0535030145543383,0.0883240947601669,-0.115458901123075,-0.142596815788374,6.69610403778586,-0.0172188397757649,0.490600000031345,0.597591247319143,0.97219174325084,0.687780629458309,0.974908607200229,0.015,0.025,-0.01,0.5,0.45,0.6
