"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"384","RSV2",0.13031709930565,0.232988563935644,"Escherichia/Shigella (RSV2)","India",270,255,282,0.957446808510638,0.904255319148936,0.112802695035461,0.110096053351287,"Malawi",58,58,61,0.950819672131147,0.950819672131147,0.172150819672131,0.185541065268537,0.736112368256084,0.321674992530218,NA,NA,0.414044105592383,0,0.00662713637949086,-0.0465643529822113,TRUE,FALSE,11,1,"ns","ns",0.895,0.0605112895385329
"107","RSV12",0.108988903401812,0.202926159651777,"Collinsella (RSV12)","India",61,46,282,0.216312056737589,0.163120567375887,0.0115218439716312,0.0465139490745451,"Malawi",31,22,61,0.508196721311475,0.360655737704918,0.0111127868852459,0.0325523090901986,1.0308677212478e-05,0.00115240569435159,9.42940768553132e-05,1,0.0054205749326908,1,-0.291884664573887,-0.197535170329032,FALSE,FALSE,12,1,"2","2",0.895,0.0605112895385329
"154","RSV13",0.103781517680415,0.189866973279928,"Bifidobacterium (RSV13)","India",167,155,282,0.592198581560284,0.549645390070922,0.0255941843971631,0.04968412995017,"Malawi",28,26,61,0.459016393442623,0.426229508196721,0.0082472131147541,0.0208993977689269,0.064378368044794,0.0903486376529503,0.0957974758944065,1,0.139930207096643,0,0.133182188117661,0.123415881874201,TRUE,TRUE,13,1,"1","ns",0.895,0.0605112895385329
"385","RSV20",0.100666025483765,0.197686137794934,"Veillonella (RSV20)","India",144,99,282,0.51063829787234,0.351063829787234,0.00989716312056738,0.0275666092392297,"Malawi",40,30,61,0.655737704918033,0.491803278688525,0.0124990163934426,0.0255485551910421,0.0472584919370952,0.042526803821613,0.0753712358586493,1,0.0806105087364902,1,-0.145099407045692,-0.140739448901291,FALSE,FALSE,14,1,"2","2",0.895,0.0605112895385329
"857","RSV446",0.0986399436721235,0.173295285562669,"Acinetobacter (RSV446)","India",0,0,282,0,0,0,0,"Malawi",17,5,61,0.278688524590164,0.0819672131147541,0.000772459016393443,0.00279014017314406,2.26951584480991e-14,0.000154839844298271,2.35273142578627e-12,1,0.00122904126411753,1,-0.278688524590164,-0.0819672131147541,FALSE,FALSE,15,1,"2","2",0.895,0.0605112895385329
"1256","RSV843",0.0905874856196622,0.16185074006975,"Prevotella (RSV843)","India",10,0,282,0.0354609929078014,0,9.21985815602837e-06,6.58702587830853e-05,"Malawi",20,6,61,0.327868852459016,0.0983606557377049,0.000380327868852459,0.00125584761179202,4.28079407452838e-10,2.56539387003052e-05,1.58198803563125e-08,1,0.000325805021493876,1,-0.292407859551215,-0.0983606557377049,FALSE,FALSE,16,1,"2","2",0.895,0.0605112895385329
"25","RSV1034",0.0897747075643122,0.16630253983517,"Dialister (RSV1034)","India",4,0,282,0.0141843971631206,0,8.51063829787234e-07,7.49750722057683e-06,"Malawi",16,2,61,0.262295081967213,0.0327868852459016,9.24590163934426e-05,0.00024996436904557,4.57810042465635e-10,0.031200450104854,1.58198803563125e-08,1,NA,NA,-0.248110684804093,-0.0327868852459016,FALSE,FALSE,17,1,"2","ns",0.895,0.0605112895385329
"36","RSV106",0.0893352588041627,0.176125099309012,"Streptococcus (RSV106)","India",108,37,282,0.382978723404255,0.131205673758865,0.000642127659574468,0.00219822536269848,"Malawi",4,1,61,0.0655737704918033,0.0163934426229508,0.00012,0.000734810633201961,2.94575872278516e-07,0.00613816309422922,5.38900566344815e-06,1,0.0190133344626125,1,0.317404952912452,0.114812231135914,TRUE,TRUE,18,1,"1","1",0.895,0.0605112895385329
"921","RSV49",0.0869309574196752,0.167096930431579,"Veillonella (RSV49)","India",76,52,282,0.269503546099291,0.184397163120567,0.00299007092198582,0.0124035156591466,"Malawi",29,20,61,0.475409836065574,0.327868852459016,0.00619803278688525,0.015689870067411,0.00215581317068135,0.0156753675102222,0.00540691851678951,1,0.0370185981671144,1,-0.205906289966283,-0.143471689338449,FALSE,FALSE,19,1,"2","2",0.895,0.0605112895385329
"626","RSV30",0.08678472609612,0.154884311440336,"Rothia (RSV30)","India",187,86,282,0.663120567375887,0.304964539007092,0.00230411347517731,0.00561418007322092,"Malawi",38,29,61,0.622950819672131,0.475409836065574,0.00699803278688525,0.0140781919790471,0.555067826360218,0.0161039163650536,0.620957172654776,0,0.0371854068793055,1,0.0401697477037554,-0.170445297058482,TRUE,FALSE,20,1,"ns","2",0.895,0.0605112895385329
"306","RSV170",0.0863545088926082,0.165575932677022,"Lactobacillus (RSV170)","India",71,42,282,0.25177304964539,0.148936170212766,0.00119234042553191,0.00393872906833329,"Malawi",2,0,61,0.0327868852459016,0,5.24590163934426e-06,3.61296995732988e-05,4.35020940052216e-05,0.000319248359913966,0.000255267004445734,1,0.00213392324784598,1,0.218986164399488,0.148936170212766,TRUE,TRUE,21,0,"1","1",0.895,0.0605112895385329
"186","RSV1367",0.0850557675705144,0.153933328612924,"Negativicoccus (RSV1367)","India",2,0,282,0.00709219858156028,0,4.25531914893617e-07,5.31864917770389e-06,"Malawi",16,2,61,0.262295081967213,0.0327868852459016,0.000264918032786885,0.00152536184007907,1.91128599594625e-11,0.031200450104854,1.18881988947857e-09,1,NA,NA,-0.255202883385653,-0.0327868852459016,FALSE,FALSE,22,0,"2","ns",0.895,0.0605112895385329
"1136","RSV6966",0.0827866979242019,0.149716448257877,"Prevotella (RSV6966)","India",0,0,282,0,0,0,0,"Malawi",15,1,61,0.245901639344262,0.0163934426229508,9.57377049180328e-05,0.000311750215270674,1.17593812295136e-12,0.177842565597668,9.14291890594684e-11,1,NA,NA,-0.245901639344262,-0.0163934426229508,FALSE,FALSE,23,0,"2","ns",0.895,0.0605112895385329
"806","RSV404",0.0823750875798804,0.152483251137378,"Tyzzerella_3 (RSV404)","India",21,7,282,0.074468085106383,0.024822695035461,0.000507659574468085,0.00530580996775677,"Malawi",17,9,61,0.278688524590164,0.147540983606557,0.00154491803278689,0.00697901297294272,3.45795335578637e-05,0.000421949938533114,0.000210867351695992,1,0.00267938210968527,1,-0.204220439483781,-0.122718288571096,FALSE,FALSE,24,0,"2","2",0.895,0.0605112895385329
"680","RSV324",0.0808068796843014,0.163709692497336,"Enterococcus (RSV324)","India",70,40,282,0.24822695035461,0.141843971631206,0.00107205673758865,0.00579525631484721,"Malawi",1,1,61,0.0163934426229508,0.0163934426229508,2.62295081967213e-05,0.000204859007892634,5.98469380427979e-06,0.00380902155021339,5.81637429103443e-05,1,0.0130742091047865,1,0.231833507731659,0.125450529008255,TRUE,TRUE,25,0,"1","1",0.895,0.0605112895385329
"1219","RSV792",0.0807075357735719,0.151899310501727,"Corynebacterium_1 (RSV792)","India",117,1,282,0.414893617021277,0.00354609929078014,9.13475177304965e-05,0.000176115538985372,"Malawi",13,0,61,0.213114754098361,0,2.22950819672131e-05,5.68152984862044e-05,0.00341611889362383,1,0.00804858315088645,1,NA,NA,0.201778862922916,0.00354609929078014,TRUE,TRUE,26,0,"1","ns",0.895,0.0605112895385329
