"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.Malawi","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"28","Dolosigranulum",0.100318533248014,0.180792257693994,"Dolosigranulum","India",132,289,45.7,0,0,"Malawi",24,68,35.3,0,0,0.135892459121605,0.196739828877547,10.4,TRUE,27,0,"ns",1.71548852531916,2.08787123500891,0.40816565219537,-1.6100605366437,6.08151897612968,-0.244891392309854,0.387867647578321,0.0109882634592785,0.0492436449587922,0.00580083642451714,0.0281781520605021,0.013,0.006,0.007,0.8,0.75,0.85
"29","Eggerthella",0.0287584870281451,0.0563609632559098,"Eggerthella","India",33,289,11.4,0.1,0.4,"Malawi",4,68,5.9,0,0,0.266950285036638,0.349921319575053,5.5,TRUE,63,0,"ns",-1.03818833787825,-0.828982723036555,-1.8867713916103,-1.17852148210478,5.59401903659298,-0.18625338334746,0.395818975898219,0.0292843105439817,0.093636409073747,0.0402909709465511,0.101706723737903,0.065,0.005,0.06,0.8,0.75,0.85
"30","Enhydrobacter",0.279662025750773,0.517180645039552,"Enhydrobacter","India",8,289,2.8,0,0,"Malawi",23,68,33.8,0,0.1,2.14626322049381e-12,1.0409376619395e-10,-31,FALSE,10,1,"2",-0.984365176536166,-1.10820691387672,-0.209079101135055,1.5311355056541,5.67857562515844,0.247442282794263,0.391913623287532,0.0232199094781955,0.0704524687288011,0.0186796203746863,0.0588250959674259,0,0.024,-0.024,0.8,0.75,0.85
"31","Enterobacter",0.106535482715189,0.197117781328837,"Enterobacter","India",98,289,33.9,0.3,1.5,"Malawi",17,68,25,0,0.2,0.194222782204387,0.273037824258341,8.9,TRUE,26,0,"ns",0.205716062246863,0.466666749110708,-0.941899209189636,-1.7312994037444,7.6723160509945,-0.210622759919852,0.395589249274056,0.0149854644226407,0.0648540988624795,0.0202891684557025,0.0700733670458003,0.281,0.042,0.239,0.8,0.75,0.85
"32","Enterococcus",0.384098054004206,0.706447849647827,"Enterococcus","India",206,289,71.3,1.8,6.3,"Malawi",30,68,44.1,0.5,1.9,5.10255860660343e-05,0.000176767208871619,27.2,TRUE,4,1,"1",5.99374527193366,7.29177923423235,1.19326253429888,-4.38620436595787,8.87545325912241,-0.476620619543842,0.301860786698779,5.20619370375917e-07,2.28966622608862e-05,2.74542163634288e-07,8.54307899092896e-06,1.78,0.469,1.311,0.8,0.75,0.85
"33","Erysipelatoclostridium",0.0216583859927751,0.0421786046244403,"Erysipelatoclostridium","India",23,289,8,0,0.3,"Malawi",9,68,13.2,0,0.1,0.235005870159512,0.319396388675384,-5.2,FALSE,74,0,"ns",-1.07109803886219,-0.977417005475392,-1.49115515128114,-0.545962467542467,5.52176200339301,-0.0848974139719543,0.447966919597294,0.273206886031644,0.454751484320302,0.308814070544773,0.455095663824542,0.05,0.01,0.04,0.8,0.75,0.85
"34","Escherichia/Shigella",0.285788908298006,0.508110022812475,"Escherichia/Shigella","India",274,289,94.8,12.9,15.3,"Malawi",65,68,95.6,20.2,21.7,1,1,-0.799999999999997,FALSE,9,1,"ns",13.6891146013925,13.6683548613482,13.7722519647776,0.202853632045614,5.87231135118015,0.028744608390034,0.482306985372063,0.895405118005878,0.942979648257531,0.609100329208389,0.757855437794771,12.945,20.27,-7.325,0.8,0.75,0.85
"35","Ezakiella",0.0607818325325548,0.12110663315809,"Ezakiella","India",19,289,6.6,0,0,"Malawi",14,68,20.6,0,0,0.00160875010764864,0.00380606732785166,-14,FALSE,41,0,"2",-1.00160252068746,-0.988431896027089,-1.05312743479526,0.127353127222451,5.24847339721293,0.0228197062324012,0.489547438594117,0.515016206200984,0.681809136426706,0.554012177574101,0.686540757365554,0.001,0.009,-0.008,0.8,0.75,0.85
"36","Faecalibacterium",0.0259175889816958,0.0501462914961381,"Faecalibacterium","India",7,289,2.4,0.1,1.3,"Malawi",6,68,8.8,0,0.1,0.0217206514657437,0.0405173690803297,-6.4,FALSE,66,0,"2",-1.31244551141631,-1.18848018871361,-1.83796648788924,-0.541439749663569,4.87781058239937,-0.09088015178963,0.449115552718658,0.379450231788988,0.566278313649035,0.272232985115904,0.416970572323116,0.13,0.009,0.121,0.8,0.75,0.85
"37","Finegoldia",0.0739721923235752,0.148185247986451,"Finegoldia","India",63,289,21.8,0,0,"Malawi",16,68,23.5,0,0.1,0.747292482514458,0.814464840493286,-1.7,FALSE,37,0,"ns",0.0161781153168246,0.13314338830698,-0.506318179207591,-0.447773662685267,5.63722356377211,-0.0753557576415556,0.466452206030627,0.475256346446694,0.665044181734551,0.397204529179505,0.562626327112133,0.006,0.015,-0.009,0.8,0.75,0.85
"38","Flavonifractor",0.0209476821240527,0.0424628119051113,"Flavonifractor","India",18,289,6.2,0.1,0.5,"Malawi",7,68,10.3,0.1,0.5,0.287374198476549,0.37167063002967,-4.1,FALSE,75,0,"ns",-1.17541223163732,-1.07472756235554,-1.66036646243967,-0.568362580619434,5.4435968011987,-0.0869229950184617,0.448069853172155,0.47244998710771,0.658781530623977,0.321167251347947,0.473210707559,0.064,0.076,-0.012,0.8,0.75,0.85
"39","Fusobacterium",0.0389247920662228,0.082522535933568,"Fusobacterium","India",13,289,4.5,0,0,"Malawi",8,68,11.8,0,0,0.0390717506529423,0.0642366070056849,-7.3,FALSE,60,0,"ns",-1.18143965523798,-1.10359434712566,-1.54024783489457,-0.325848207952072,4.97325816520848,-0.0584685797918244,0.470818014834719,0.515147756534297,0.683018175855523,0.421331967429062,0.567034202847832,0.002,0.002,0,0.8,0.75,0.85
