"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Anaeroglobus",0.00122603861569818,0.00304130337596048,"Anaeroglobus","Anaeroglobus","Malawi",0,0,68,0,0,0,0,"UK",1,1,53,0.0188679245283019,0.0188679245283019,6.56603773584906e-05,0.000478014762541438,0.43801652892562,0.43801652892562,NA,NA,NA,NA,-0.0188679245283019,-0.0188679245283019,FALSE,FALSE,218,0,"ns","ns",0.8695,0.0787833623414118
"Dietzia",0.00118297237158311,0.00294166833183456,"Dietzia","Dietzia","Malawi",3,0,68,0.0441176470588235,0,3.52941176470588e-06,2.04256720149119e-05,"UK",0,0,53,0,0,0,0,0.255371900826446,1,NA,NA,NA,NA,0.0441176470588235,0,TRUE,FALSE,219,0,"ns","ns",0.8695,0.0787833623414118
"Halomonas",0.00118181092325586,0.00262707505566926,"Halomonas","Halomonas","Malawi",1,0,68,0.0147058823529412,0,4.11764705882353e-06,3.39549875050866e-05,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,220,0,"ns","ns",0.8695,0.0787833623414118
"Pantoea",0.00112599031645654,0.00242708827419169,"Pantoea","Pantoea","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,2.26415094339623e-06,1.64832676738427e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,221,0,"ns","ns",0.8695,0.0787833623414118
"Allisonella",0.00106689931359228,0.00230674260476377,"Allisonella","Allisonella","Malawi",1,1,68,0.0147058823529412,0.0147058823529412,4.52941176470588e-05,0.000373504862555953,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0.0147058823529412,TRUE,TRUE,222,0,"ns","ns",0.8695,0.0787833623414118
"S5-A14a",0.000978318265663271,0.00227881137135229,"S5-A14a","S5-A14a","Malawi",2,0,68,0.0294117647058824,0,1.76470588235294e-06,1.07815730680941e-05,"UK",0,0,53,0,0,0,0,0.503581267217631,1,NA,NA,NA,NA,0.0294117647058824,0,TRUE,FALSE,223,0,"ns","ns",0.8695,0.0787833623414118
"unassigned_Caulobacteraceae",0.000969611354367464,0.00239392326276759,"unassigned_Caulobacteraceae","unassigned_Caulobacteraceae","Malawi",1,0,68,0.0147058823529412,0,5.88235294117647e-07,4.85071250072666e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,224,0,"ns","ns",0.8695,0.0787833623414118
"Parvimonas",0.000852065622361651,0.00188100113896118,"Parvimonas","Parvimonas","Malawi",1,0,68,0.0147058823529412,0,5.88235294117647e-07,4.85071250072666e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,225,0,"ns","ns",0.8695,0.0787833623414118
"Cloacibacillus",0.000823066923923771,0.00173467414856746,"Cloacibacillus","Cloacibacillus","Malawi",1,1,68,0.0147058823529412,0.0147058823529412,3.76470588235294e-05,0.000310445600046506,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0.0147058823529412,TRUE,TRUE,226,0,"ns","ns",0.8695,0.0787833623414118
"Lachnospiraceae_NK3A20_group",0.000801243266504403,0.00170562019080996,"Lachnospiraceae_NK3A20_group","Lachnospiraceae_NK3A20_group","Malawi",1,1,68,0.0147058823529412,0.0147058823529412,1.94117647058824e-05,0.00016007351252398,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0.0147058823529412,TRUE,TRUE,227,0,"ns","ns",0.8695,0.0787833623414118
"Cronobacter",0.000769802035687929,0.00170982928306156,"Cronobacter","Cronobacter","Malawi",0,0,68,0,0,0,0,"UK",1,1,53,0.0188679245283019,0.0188679245283019,0.000137358490566038,0.000999984905546456,0.43801652892562,0.43801652892562,NA,NA,NA,NA,-0.0188679245283019,-0.0188679245283019,FALSE,FALSE,228,0,"ns","ns",0.8695,0.0787833623414118
