"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Erysipelatoclostridium",0.0321963087072669,0.0638675027553463,"Erysipelatoclostridium","Erysipelatoclostridium","India",21,15,287,0.0731707317073171,0.0522648083623693,0.000885714285714286,0.00899817142041031,"Malawi",10,3,75,0.133333333333333,0.04,0.000944533333333333,0.00587054173413768,0.106779416810405,1,0.136773635015575,0,1,0,-0.0601626016260163,0.0122648083623693,FALSE,TRUE,58,0,"ns","ns",0.848,0.0706821023736532
"Cutibacterium",0.03199786403229,0.0582685454123124,"Cutibacterium","Cutibacterium","India",42,17,287,0.146341463414634,0.0592334494773519,0.000351777003484321,0.00218732633175007,"Malawi",10,1,75,0.133333333333333,0.0133333333333333,4.48e-05,0.000233697425074575,0.855128099498292,0.137761075453768,0.894354159108305,0,0.218797002191279,0,0.0130081300813008,0.0459001161440186,TRUE,TRUE,59,0,"ns","ns",0.848,0.0706821023736532
"Sphingomonas",0.0309070499362741,0.0585255896018265,"Sphingomonas","Sphingomonas","India",0,0,287,0,0,0,0,"Malawi",10,1,75,0.133333333333333,0.0133333333333333,9.49333333333333e-05,0.000585695182536827,8.82391238266447e-08,0.207182320441989,6.706173410825e-07,1,NA,NA,-0.133333333333333,-0.0133333333333333,FALSE,FALSE,60,0,"2","ns",0.848,0.0706821023736532
"Olsenella",0.0298261028205879,0.056295276085244,"Olsenella","Olsenella","India",15,8,287,0.0522648083623693,0.0278745644599303,0.000148292682926829,0.00110572171067126,"Malawi",11,5,75,0.146666666666667,0.0666666666666667,0.00182453333333333,0.0100201222268714,0.0098061750165918,0.154175776240512,0.0164397639984039,1,0.231263664360768,0,-0.0944018583042973,-0.0387921022067364,FALSE,FALSE,61,0,"2","ns",0.848,0.0706821023736532
"Psychrobacter",0.0296657236975621,0.0581632900192367,"Psychrobacter","Psychrobacter","India",1,1,287,0.00348432055749129,0.00348432055749129,1.01742160278746e-05,0.000172362150141479,"Malawi",7,2,75,0.0933333333333333,0.0266666666666667,8.58666666666667e-05,0.000414425989654246,8.66879984895105e-05,0.110184774235676,0.000267092752102816,1,NA,NA,-0.089849012775842,-0.0231823461091754,FALSE,FALSE,62,0,"2","ns",0.848,0.0706821023736532
"Gardnerella",0.0296411872307359,0.0620624305838464,"Gardnerella","Gardnerella","India",2,0,287,0.00696864111498258,0,9.75609756097561e-07,1.26997094383771e-05,"Malawi",9,0,75,0.12,0,2.45333333333333e-05,0.000109622119159452,1.79545727043134e-05,1,7.31007602961333e-05,1,NA,NA,-0.113031358885017,0,FALSE,FALSE,63,0,"2","ns",0.848,0.0706821023736532
"Bilophila",0.0295089305344506,0.057789994397694,"Bilophila","Bilophila","India",7,2,287,0.024390243902439,0.00696864111498258,3.02439024390244e-05,0.000299116899095618,"Malawi",10,5,75,0.133333333333333,0.0666666666666667,0.000417066666666667,0.00163334408527441,0.000472548867784003,0.00503783937017481,0.00114618236015694,1,0.0129544440947352,1,-0.108943089430894,-0.0596980255516841,FALSE,FALSE,64,0,"2","2",0.848,0.0706821023736532
"Kocuria",0.02934563899921,0.0584844253529836,"Kocuria","Kocuria","India",7,1,287,0.024390243902439,0.00348432055749129,7.66550522648084e-06,0.000106789379800231,"Malawi",7,1,75,0.0933333333333333,0.0133333333333333,3.52e-05,0.000173356062265859,0.0124233837221763,0.371895134754595,0.0199474048496915,1,NA,NA,-0.0689430894308943,-0.00984901277584204,FALSE,FALSE,65,0,"2","ns",0.848,0.0706821023736532
"Catenibacterium",0.0291538559563773,0.0589940812934011,"Catenibacterium","Catenibacterium","India",14,7,287,0.0487804878048781,0.024390243902439,0.000398745644599303,0.00380310268458304,"Malawi",11,6,75,0.146666666666667,0.08,0.00104533333333333,0.00566423137920028,0.00791283795510622,0.0325963379304324,0.0134636347295837,1,0.0620548847141496,1,-0.0978861788617886,-0.055609756097561,FALSE,FALSE,66,0,"2","2",0.848,0.0706821023736532
"Fusobacterium",0.029032900925977,0.0531581968407645,"Fusobacterium","Fusobacterium","India",12,1,287,0.0418118466898955,0.00348432055749129,0.00085212543554007,0.0143293505095719,"Malawi",6,2,75,0.08,0.0266666666666667,0.015168,0.09552352318189,0.227536551487382,0.110184774235676,0.27594858371874,0,NA,NA,-0.0381881533101045,-0.0231823461091754,FALSE,FALSE,67,0,"ns","ns",0.848,0.0706821023736532
"Campylobacter",0.0285353813041148,0.0534527456438693,"Campylobacter","Campylobacter","India",11,5,287,0.0383275261324042,0.0174216027874564,0.00159609756097561,0.017319199785822,"Malawi",10,1,75,0.133333333333333,0.0133333333333333,0.0008512,0.00715697221199323,0.00409180917088925,1,0.00818361834177851,1,NA,NA,-0.0950058072009292,0.00408826945412311,FALSE,TRUE,68,0,"2","ns",0.848,0.0706821023736532
"Stenotrophomonas",0.0267935970351501,0.0506281774052803,"Stenotrophomonas","Stenotrophomonas","India",5,0,287,0.0174216027874564,0,1.67247386759582e-06,1.44838000344868e-05,"Malawi",10,6,75,0.133333333333333,0.08,0.000416533333333333,0.00182384320489346,0.000105548591184434,6.7164651224309e-05,0.000316645773553301,1,0.00036050898784816,1,-0.115911730545877,-0.08,FALSE,FALSE,69,0,"2","2",0.848,0.0706821023736532
"Brevibacterium",0.0267508579750203,0.0583618466107337,"Brevibacterium","Brevibacterium","India",2,1,287,0.00696864111498258,0.00348432055749129,6.41114982578397e-06,9.95831080039292e-05,"Malawi",8,1,75,0.106666666666667,0.0133333333333333,0.000160533333333333,0.00122573297799045,7.76313124860755e-05,0.371895134754595,0.000252856274954646,1,NA,NA,-0.0996980255516841,-0.00984901277584204,FALSE,FALSE,70,0,"2","ns",0.848,0.0706821023736532
"Flavonifractor",0.0263598032029094,0.054500483785755,"Flavonifractor","Flavonifractor","India",16,6,287,0.0557491289198606,0.0209059233449477,0.000789268292682927,0.00781683259641364,"Malawi",9,8,75,0.12,0.106666666666667,0.00299893333333333,0.0114096364645089,0.070024098989682,0.00248099914810715,0.0928226428467878,1,0.00786834031367975,1,-0.0642508710801394,-0.0857607433217189,FALSE,FALSE,71,0,"2","2",0.848,0.0706821023736532
"Lelliottia",0.0261554400468676,0.049660006832066,"Lelliottia","Lelliottia","India",1,0,287,0.00348432055749129,0,1.39372822299652e-07,2.36112534440382e-06,"Malawi",6,2,75,0.08,0.0266666666666667,0.0001104,0.000669613523064066,0.000392045351809309,0.0424695061293828,0.000971590654483939,1,NA,NA,-0.0765156794425087,-0.0266666666666667,FALSE,FALSE,72,0,"2","ns",0.848,0.0706821023736532
"Tyzzerella_3",0.0250300621593917,0.0480747731808438,"Tyzzerella_3","Tyzzerella_3","India",18,12,287,0.0627177700348432,0.0418118466898955,0.00037602787456446,0.00264955140138683,"Malawi",3,2,75,0.04,0.0266666666666667,0.000259733333333333,0.00180640749445856,0.586248879388857,0.743082619160317,0.655219335787546,0,NA,NA,0.0227177700348432,0.0151451800232288,TRUE,TRUE,73,0,"ns","ns",0.848,0.0706821023736532
"Subdoligranulum",0.0248683879545279,0.0539297257590007,"Subdoligranulum","Subdoligranulum","India",2,2,287,0.00696864111498258,0.00696864111498258,1.90940766550523e-05,0.000244933018244437,"Malawi",9,2,75,0.12,0.0266666666666667,0.000148266666666667,0.000861043322721687,1.79545727043134e-05,0.191103576513114,7.31007602961333e-05,1,NA,NA,-0.113031358885017,-0.0196980255516841,FALSE,FALSE,74,0,"2","ns",0.848,0.0706821023736532
"Lactococcus",0.0237967917782441,0.058844614223397,"Lactococcus","Lactococcus","India",18,3,287,0.0627177700348432,0.0104529616724739,9.14285714285714e-05,0.000982340779258098,"Malawi",1,0,75,0.0133333333333333,0,1.06666666666667e-06,9.23760430703401e-06,0.141080030578577,1,0.17673762072481,0,NA,NA,0.0493844367015099,0.0104529616724739,TRUE,TRUE,75,0,"ns","ns",0.848,0.0706821023736532
"Alistipes",0.0235349564098862,0.0487476584385828,"Alistipes","Alistipes","India",2,1,287,0.00696864111498258,0.00348432055749129,0.000120836236933798,0.00202822858336397,"Malawi",8,6,75,0.106666666666667,0.08,0.00109493333333333,0.00671729924278479,7.76313124860755e-05,0.000392045351809309,0.000252856274954646,1,0.00162849607674636,1,-0.0996980255516841,-0.0765156794425087,FALSE,FALSE,76,0,"2","2",0.848,0.0706821023736532
"Neisseria",0.0225872204695715,0.0433947688522305,"Neisseria","Neisseria","India",8,0,287,0.0278745644599303,0,2.92682926829268e-06,2.13480533671961e-05,"Malawi",3,0,75,0.04,0,3.73333333333333e-06,2.09744589424359e-05,0.70392076195433,1,NA,NA,NA,NA,-0.0121254355400697,0,FALSE,FALSE,77,0,"ns","ns",0.848,0.0706821023736532
"Megamonas",0.0221629093717596,0.0407004877403088,"Megamonas","Megamonas","India",17,12,287,0.0592334494773519,0.0418118466898955,0.00174216027874564,0.0154622624590272,"Malawi",7,7,75,0.0933333333333333,0.0933333333333333,0.0101082666666667,0.0652786147750927,0.299772553225825,0.0845100912414936,0.35231001100767,0,0.141922432562705,0,-0.0340998838559814,-0.0515214866434379,FALSE,FALSE,78,0,"ns","ns",0.848,0.0706821023736532
"Prevotella_2",0.0216095864169944,0.0442353258245919,"Prevotella_2","Prevotella_2","India",4,4,287,0.0139372822299652,0.0139372822299652,0.00015191637630662,0.00206487274705104,"Malawi",10,3,75,0.133333333333333,0.04,0.0014368,0.00849316611769149,4.23073579202628e-05,0.158716197841537,0.000155581896868063,1,NA,NA,-0.119396051103368,-0.0260627177700348,FALSE,FALSE,79,0,"2","ns",0.848,0.0706821023736532
"Helcobacillus",0.0203604246712565,0.0439998899699578,"Helcobacillus","Helcobacillus","India",0,0,287,0,0,0,0,"Malawi",6,2,75,0.08,0.0266666666666667,6.61333333333333e-05,0.000405182285748877,6.7164651224309e-05,0.0424695061293828,0.000239274069986601,1,NA,NA,-0.08,-0.0266666666666667,FALSE,FALSE,80,0,"2","ns",0.848,0.0706821023736532
"Tyzzerella_4",0.0194136404535528,0.0383447018748502,"Tyzzerella_4","Tyzzerella_4","India",9,4,287,0.0313588850174216,0.0139372822299652,0.000221045296167247,0.0025249341793063,"Malawi",6,4,75,0.08,0.0533333333333333,0.0002816,0.00159304488323462,0.0950165495655226,0.0609836687462663,0.124504444258271,0,0.109770603743279,0,-0.0486411149825784,-0.0393960511033682,FALSE,FALSE,81,0,"ns","ns",0.848,0.0706821023736532
"Pseudoclavibacter",0.0187018162233779,0.042036484485228,"Pseudoclavibacter","Pseudoclavibacter","India",0,0,287,0,0,0,0,"Malawi",7,3,75,0.0933333333333333,0.04,0.000101866666666667,0.000530957048533483,1.30178677934756e-05,0.00861187207623597,5.93614771382487e-05,1,NA,NA,-0.0933333333333333,-0.04,FALSE,FALSE,82,0,"2","ns",0.848,0.0706821023736532
"Cronobacter",0.0180937461755453,0.0402544652723647,"Cronobacter","Cronobacter","India",12,3,287,0.0418118466898955,0.0104529616724739,0.000136864111498258,0.0018747881723704,"Malawi",1,1,75,0.0133333333333333,0.0133333333333333,0.000105066666666667,0.00090990402424285,0.317787862980883,1,NA,NA,NA,NA,0.0284785133565621,-0.00288037166085947,TRUE,FALSE,83,0,"ns","ns",0.848,0.0706821023736532
"Eggerthella",0.0169466461299955,0.0354362086021707,"Eggerthella","Eggerthella","India",19,10,287,0.0662020905923345,0.0348432055749129,0.00038397212543554,0.00262598837321935,"Malawi",4,1,75,0.0533333333333333,0.0133333333333333,3.41333333333333e-05,0.000189188118401088,0.796578816320766,0.471514478327083,0.848691449164181,0,NA,NA,0.0128687572590012,0.0215098722415796,TRUE,TRUE,84,0,"ns","ns",0.848,0.0706821023736532
"Weissella",0.0164807161188881,0.0304099398236688,"Weissella","Weissella","India",10,0,287,0.0348432055749129,0,6.41114982578397e-06,4.78124060151024e-05,"Malawi",2,0,75,0.0266666666666667,0,2.13333333333333e-06,1.29753751529719e-05,1,1,NA,NA,NA,NA,0.00817653890824622,0,TRUE,FALSE,85,0,"ns","ns",0.848,0.0706821023736532
"Dermabacter",0.0160094228678337,0.0335963157066841,"Dermabacter","Dermabacter","India",12,2,287,0.0418118466898955,0.00696864111498258,4.22299651567944e-05,0.000535649964056803,"Malawi",5,0,75,0.0666666666666667,0,1.92e-05,0.000101098827752714,0.362708814638729,1,0.421926580294032,0,NA,NA,-0.0248548199767712,0.00696864111498258,FALSE,TRUE,86,0,"ns","ns",0.848,0.0706821023736532
"Lachnoclostridium",0.0158100751918182,0.029014050958441,"Lachnoclostridium","Lachnoclostridium","India",20,15,287,0.0696864111498258,0.0522648083623693,0.000428989547038328,0.00247673059293099,"Malawi",10,5,75,0.133333333333333,0.0666666666666667,0.00119466666666667,0.00567247058366304,0.0970822906790694,0.578458650676558,0.12576569474334,0,0.659529989312464,0,-0.0636469221835076,-0.0144018583042973,FALSE,FALSE,87,0,"ns","ns",0.848,0.0706821023736532
