"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Akkermansia",0.0073216445562506,0.0148533548887878,"Akkermansia","Akkermansia","India",6,6,289,0.0207612456747405,0.0207612456747405,0.00228636678200692,0.019778349930922,"UK",4,1,71,0.0563380281690141,0.0140845070422535,4.11267605633803e-05,0.000299712001264903,0.113044205262148,1,0.214394182393728,0,NA,NA,-0.0355767824942736,0.00667673863248696,FALSE,TRUE,74,0,"ns","ns",0.898,0.0703239258393226
"Fusobacterium",0.00711508512395532,0.0225189524489289,"Fusobacterium","Fusobacterium","India",9,5,289,0.0311418685121107,0.0173010380622837,0.000606228373702422,0.00562269705601995,"UK",1,0,71,0.0140845070422535,0,5.63380281690141e-07,4.74712663277541e-06,0.69376726275061,0.587552739480561,NA,NA,NA,NA,0.0170573614698572,0.0173010380622837,TRUE,TRUE,75,0,"ns","ns",0.898,0.0703239258393226
"Fusicatenibacter",0.00704209648935079,0.0169351126762958,"Fusicatenibacter","Fusicatenibacter","India",4,2,289,0.013840830449827,0.0069204152249135,5.3840830449827e-05,0.000625670297999919,"UK",2,1,71,0.028169014084507,0.0140845070422535,4.28169014084507e-05,0.000328760369086193,0.337760736630759,0.483711738068191,NA,NA,NA,NA,-0.0143281836346801,-0.00716409181734003,FALSE,FALSE,76,0,"ns","ns",0.898,0.0703239258393226
"Odoribacter",0.00696827446720085,0.0158069258845867,"Odoribacter","Odoribacter","India",2,0,289,0.0069204152249135,0,2.7681660899654e-06,3.33846202909711e-05,"UK",3,3,71,0.0422535211267606,0.0422535211267606,0.000466478873239437,0.0034422513806235,0.0545358474018089,0.00741183091870134,NA,NA,NA,NA,-0.0353331059018471,-0.0422535211267606,FALSE,FALSE,77,0,"ns","ns",0.898,0.0703239258393226
"Eubacterium",0.00684551609469623,0.0132253187031694,"Eubacterium","Eubacterium","India",2,1,289,0.0069204152249135,0.00346020761245675,0.000138961937716263,0.00235528018545957,"UK",2,0,71,0.028169014084507,0,5.07042253521127e-06,3.44289429503152e-05,0.175674203638288,1,NA,NA,NA,NA,-0.0212485988595935,0.00346020761245675,FALSE,TRUE,78,0,"ns","ns",0.898,0.0703239258393226
"Subdoligranulum",0.00683331976195276,0.014323978817143,"Subdoligranulum","Subdoligranulum","India",6,3,289,0.0207612456747405,0.0103806228373702,0.000245536332179931,0.00354537763516559,"UK",3,2,71,0.0422535211267606,0.028169014084507,0.000503098591549296,0.00337423963563827,0.387962692854212,0.25643310779594,NA,NA,NA,NA,-0.0214922754520201,-0.0177883912471368,FALSE,FALSE,79,0,"ns","ns",0.898,0.0703239258393226
"Coprococcus_3",0.00681015100762585,0.0161610425796365,"Coprococcus_3","Coprococcus_3","India",5,3,289,0.0173010380622837,0.0103806228373702,2.71280276816609e-05,0.000250256231628037,"UK",2,1,71,0.028169014084507,0.0140845070422535,0.000125070422535211,0.00101605240759019,0.628098402379082,0.586390916211492,NA,NA,NA,NA,-0.0108679760222233,-0.00370388420488328,FALSE,FALSE,80,0,"ns","ns",0.898,0.0703239258393226
"Lawsonella",0.00678899015705392,0.0138932334474759,"Lawsonella","Lawsonella","India",2,0,289,0.0069204152249135,0,8.30449826989619e-07,1.19896790166356e-05,"UK",1,0,71,0.0140845070422535,0,1.12676056338028e-06,9.49425326555083e-06,0.483711738068191,1,NA,NA,NA,NA,-0.00716409181734003,0,FALSE,FALSE,81,0,"ns","ns",0.898,0.0703239258393226
"Butyrivibrio",0.00631144852861536,0.014800469261849,"Butyrivibrio","Butyrivibrio","India",0,0,289,0,0,0,0,"UK",1,0,71,0.0140845070422535,0,1.12676056338028e-06,9.49425326555083e-06,0.197222222222222,1,NA,NA,NA,NA,-0.0140845070422535,0,FALSE,FALSE,82,0,"ns","ns",0.898,0.0703239258393226
"Paeniclostridium",0.00622560525191182,0.0162043126879464,"Paeniclostridium","Paeniclostridium","India",4,0,289,0.013840830449827,0,3.73702422145329e-06,3.83317034907514e-05,"UK",1,1,71,0.0140845070422535,0.0140845070422535,0.000133521126760563,0.00112506901196777,1,0.197222222222222,NA,NA,NA,NA,-0.000243676592426531,-0.0140845070422535,FALSE,FALSE,83,0,"ns","ns",0.898,0.0703239258393226
