"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"912","g1819","3.6.4.13","RNA helicase","RNA_helicase_(3.6.4.13)","RNA_helicase_(3.6.4.13)",0.041993,0.013757,100,0.04234,0.013227,100,0.040297,0.016121,100
"386","g1345","3.1.26.4","Ribonuclease H","Ribonuclease_H_(3.1.26.4)","Ribonuclease_H_(3.1.26.4)",0.040813,0.011087,100,0.04179,0.010322,100,0.036045,0.013353,100
"663","g1595","3.4.21.92","Endopeptidase Clp","Endopeptidase_Clp_(3.4.21.92)","Endopeptidase_Clp_(3.4.21.92)",0.040632,0.015982,100,0.042579,0.015441,100,0.031135,0.015278,100
"1057","g195","1.11.1.15","Peroxiredoxin","Peroxiredoxin_(1.11.1.15)","Peroxiredoxin_(1.11.1.15)",0.040146,0.009342,100,0.04017,0.009296,100,0.04003,0.009647,100
"734","g1659","3.5.1.2","Glutaminase","Glutaminase_(3.5.1.2)","Glutaminase_(3.5.1.2)",0.039627,0.008479,100,0.040594,0.008329,100,0.034906,0.007635,100
"1408","g2265","6.1.1.6","Lysine--tRNA ligase","Lysine--tRNA_ligase_(6.1.1.6)","Lysine--tRNA_ligase_(6.1.1.6)",0.03868,0.010285,100,0.039197,0.009383,100,0.036159,0.013696,100
"183","g1162","2.7.6.1","Ribose-phosphate diphosphokinase","Ribose-phosphate_diphosphokinase_(2.7.6.1)","Ribose-phosphate_diphosphokinase_(2.7.6.1)",0.03821,0.014061,100,0.039594,0.01318,100,0.031459,0.016246,100
"2201","g830","2.4.1.1","Glycogen phosphorylase","Glycogen_phosphorylase_(2.4.1.1)","Glycogen_phosphorylase_(2.4.1.1)",0.037735,0.010348,100,0.038381,0.009668,100,0.034583,0.01281,100
"1919","g577","1.97.1.4","[Formate-C-acetyltransferase]-activating enzyme","[Formate-C-acetyltransferase]-activating_enzyme_(1.97.1.4)","[Formate-C-acetyltransferase]-activating_enzyme_(1.97.1.4)",0.036713,0.010555,100,0.038128,0.010088,100,0.02981,0.010128,100
"888","g1798","3.6.3.31","Polyamine-transporting ATPase","Polyamine-transporting_ATPase_(3.6.3.31)","Polyamine-transporting_ATPase_(3.6.3.31)",0.036553,0.011736,100,0.03851,0.011096,100,0.027005,0.010035,100
